sample_id,length,local_mode,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,n_features
L150_right_00006,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011204623177905566,86
L150_right_00007,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.019155003542843982,86
L150_right_00008,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.015912703552543664,86
L150_right_00009,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012777603539636926,86
L150_right_00010,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.023658330469068557,86
L150_right_00011,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008103409301490496,86
L150_right_00012,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01011604166299501,86
L150_right_00013,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008223544457674946,86
L150_right_00014,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0111431706964238,86
L150_right_00015,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.021353708268149498,86
L150_right_00016,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.005286268577571429,86
L150_right_00017,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013313889977670842,86
L150_right_00018,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.009320128709606315,86
L150_right_00019,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.019152095824334973,86
L150_right_00020,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011721357724061812,86
L150_right_00021,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010331446930300886,86
L150_right_00022,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010222910222947138,86
L150_right_00023,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.017715293698922767,86
L150_right_00024,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.013256056737787267,86
L150_right_00025,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.015512588990960861,86
L150_right_00026,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01954018858274765,86
L150_right_00027,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.019977990365615903,86
L150_right_00028,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.008439792662044632,86
L150_right_00029,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01281327499162532,86
L150_right_00030,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.019752003023232902,86
L150_right_00031,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.007854770591368163,86
L150_right_00032,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.022047253553957542,86
L150_right_00033,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01978806279057542,86
L150_right_00034,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.007383566686139674,86
L150_right_00035,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.023608155704419372,86
L150_right_00036,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012763659341808054,86
L150_right_00037,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.02003855027909855,86
L150_right_00038,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01140818607517796,86
L150_right_00039,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.009111015174898674,86
L150_right_00040,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010526835348653518,86
L150_right_00041,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.021006965868841817,86
L150_right_00042,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,1.734723475976807e-18,86
L150_right_00043,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011565981150126636,86
L150_right_00044,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0,86
L150_right_00045,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.00912294469974149,86
L150_right_00046,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011589182477194619,86
L150_right_00047,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.018696078063424118,86
L150_right_00048,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.009217562114476321,86
L150_right_00049,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.0,86
L150_right_00050,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.012974598126661803,86
L150_right_00051,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.015055542236060869,86
L150_right_00052,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010993353729337092,86
L150_right_00053,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010371984000911905,86
L150_right_00054,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.010150633932999475,86
L150_right_00055,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.01138664098318762,86
L150_right_00056,150,right,p_msp,P+MSP,contiguous_property,contiguous,property,0.011436157790239244,86
