length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,local_mismatch_6bp,pkm_weight_w050,PKM weight=0.5,297,500,1.0,0.9689985815634463,0.9528088761965056,0.24664730114688962,0.3072168629307672,0.1464608305342296,1.0
75,short_indel,pkm_weight_w050,PKM weight=0.5,297,500,1.0,0.992546810740072,0.9720744447550766,0.08408184107290752,0.23632833881078058,0.16730593209702135,1.0
75,substitution_1pct,pkm_weight_w075,PKM weight=0.75,297,500,1.0,0.9874615399090637,0.95824939671144,0.11009630940182495,0.28896562125442965,0.20075099156214873,1.0
75,N_3pct,pkm_weight_w075,PKM weight=0.75,297,500,1.0,0.9813260200043341,0.9677928874328664,0.1901489924813279,0.2537988644662869,0.19799092097780435,1.0
75,trim_5bp,pkm_weight_w075,PKM weight=0.75,297,500,1.0,0.9704162419767006,0.9519483594669859,0.239947975555771,0.31000528671904237,0.18476586627576805,1.0
75,substitution_1pct_N_3pct,pkm_weight_w075,PKM weight=0.75,297,500,1.0,0.9687161539946638,0.9325946921607892,0.24039275825198206,0.36716564021689063,0.1857808423653125,1.0
75,local_mismatch_6bp,pkm_weight_w075,PKM weight=0.75,297,500,1.0,0.9611502227033669,0.9272802974118034,0.27387678431188256,0.3813651385826733,0.1763484303359504,1.0
75,short_indel,pkm_weight_w075,PKM weight=0.75,297,500,1.0,0.9903885139380968,0.9628059344681634,0.09479230158181445,0.27274187238761566,0.20354963117240657,1.0
75,substitution_1pct,pkm_weight_w100,PKM weight=1,297,500,1.0,0.9844621633211338,0.9460304371272313,0.12159966151502169,0.3285408939740495,0.23286876993529376,1.0
75,N_3pct,pkm_weight_w100,PKM weight=1,297,500,1.0,0.976881064459897,0.9555343482061509,0.20991922775346314,0.29821331844857046,0.2282948528864242,1.0
75,trim_5bp,pkm_weight_w100,PKM weight=1,297,500,1.0,0.9572936087238372,0.9284076366815738,0.28762523903413295,0.37839726200306706,0.2056103629098362,1.0
75,substitution_1pct_N_3pct,pkm_weight_w100,PKM weight=1,297,500,1.0,0.9615419494180435,0.9142390448538529,0.2649240425704393,0.41415153031788965,0.21227645426169722,1.0
75,local_mismatch_6bp,pkm_weight_w100,PKM weight=1,297,500,1.0,0.9522227145000264,0.8982214262978618,0.3009764383429346,0.4511730717553504,0.2013184701718821,1.0
75,short_indel,pkm_weight_w100,PKM weight=1,297,500,1.0,0.98793345132585,0.9509036472837571,0.10536369304420108,0.31335596236117086,0.2357133711364124,1.0
75,substitution_1pct,cpkm_weight_w010,CPKM weight=0.1,297,500,1.0,0.9924693388758581,0.9756537039741534,0.08613201730887639,0.2206638719974584,0.11720822659148343,1.0
75,N_3pct,cpkm_weight_w010,CPKM weight=0.1,297,500,1.0,0.9887248912488149,0.9842604698748383,0.14903556131148407,0.1774233683103828,0.11736327269726896,1.0
75,trim_5bp,cpkm_weight_w010,CPKM weight=0.1,297,500,1.0,0.9924356228370173,0.9899541525631919,0.1222890240750674,0.14174516367698808,0.11834571716849678,1.0
75,substitution_1pct_N_3pct,cpkm_weight_w010,CPKM weight=0.1,297,500,1.0,0.9806890957403244,0.9580866181868974,0.18983405733725198,0.2895284907426511,0.10953661218029888,1.0
75,local_mismatch_6bp,cpkm_weight_w010,CPKM weight=0.1,297,500,1.0,0.9760641821729918,0.9681333289213299,0.21734427839848303,0.2524546273870019,0.10303417704019831,1.0
75,short_indel,cpkm_weight_w010,CPKM weight=0.1,297,500,1.0,0.9944948005095365,0.9809576272719243,0.07234527726715109,0.19515313333856715,0.11937394991286177,1.0
75,substitution_1pct,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9917802501747663,0.9734047610559001,0.09017684170903002,0.23063026786197827,0.1309735947260806,1.0
