length,local_mode,representation,representation_label,n_features,n_triplets,noise_l2_mean,local_l2_mean,macro_f1,macro_f1_sd,accuracy
69,left,cpkm_weight_w050,CPKM weight=0.5,297,250,0.2557809273853998,0.20359905450446308,0.7996635701495529,0.05288227808059616,0.8019999999999999
69,left,cpkm_weight_w075,CPKM weight=0.75,297,250,0.2832771690000179,0.22170834244318444,0.7565293247104222,0.051147833176578866,0.76
69,left,cpkm_weight_w100,CPKM weight=1,297,250,0.310835062745667,0.2403124501309731,0.7336803200971365,0.06486022188092841,0.7380000000000001
69,right,ck4p_msp,CK4P-MSP,222,250,0.2215141166591312,0.18434763199627965,0.7687081258375056,0.028127813402582278,0.77
69,right,pkm_weight_w010,PKM weight=0.1,297,250,0.22285594755953936,0.18498940345016424,0.7845969890952473,0.02403638661920203,0.786
69,right,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22954012727092019,0.18824427410562547,0.828352514921253,0.032223350189482254,0.8300000000000001
69,right,pkm_weight_w050,PKM weight=0.5,297,250,0.24967487859585435,0.19852495792058555,0.8240582635649274,0.04765428085933653,0.8260000000000002
69,right,pkm_weight_w075,PKM weight=0.75,297,250,0.2749893463429813,0.21219328441271249,0.7888500476947454,0.0338159965222587,0.792
69,right,pkm_weight_w100,PKM weight=1,297,250,0.30051205670307796,0.22656257965888305,0.773950456991288,0.04555046674267433,0.7779999999999999
69,right,cpkm_weight_w010,CPKM weight=0.1,297,250,0.22298950790855088,0.18517228008339365,0.7804808455406016,0.03378398080829792,0.782
69,right,cpkm_weight_w025,CPKM weight=0.25,297,250,0.23031183568104052,0.1893315530253042,0.8163361807440971,0.019675136832227564,0.818
69,right,cpkm_weight_w050,CPKM weight=0.5,297,250,0.25221328363692924,0.2022742698669641,0.846992105766177,0.027863377823543346,0.8480000000000001
69,right,cpkm_weight_w075,CPKM weight=0.75,297,250,0.27958409328510286,0.21916868685561053,0.8038112017416059,0.02230450742238329,0.806
69,right,cpkm_weight_w100,CPKM weight=1,297,250,0.3070756525344576,0.23667066917032112,0.7735417951733061,0.029632474964768965,0.7760000000000001
100,center,ck4p_msp,CK4P-MSP,222,250,0.20999528147548877,0.15463577341656493,0.9155534647223057,0.030341739324455604,0.916
100,center,pkm_weight_w010,PKM weight=0.1,297,250,0.21157416180949765,0.15489016997219882,0.9397539958385401,0.023011409301973672,0.9399999999999998
100,center,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.21943400812131528,0.15618849319737474,0.9679184518157896,0.020522335013375897,0.968
100,center,pkm_weight_w050,PKM weight=0.5,297,250,0.24304951546282635,0.1603714734127114,0.9739516419773346,0.017518312954196605,0.974
100,center,pkm_weight_w075,PKM weight=0.75,297,250,0.27260397407356973,0.16610123253312303,0.967961948605347,0.007505271668086124,0.968
100,center,pkm_weight_w100,PKM weight=1,297,250,0.30225640909382123,0.17229889079389024,0.9659497064615259,0.010238471244112429,0.966
100,center,cpkm_weight_w010,CPKM weight=0.1,297,250,0.21171663066123111,0.1549924785468072,0.9357282867648445,0.019790341090038025,0.9359999999999999
100,center,cpkm_weight_w025,CPKM weight=0.25,297,250,0.22025672141667377,0.1568053344698786,0.9578679053127253,0.01958134350064097,0.958
100,center,cpkm_weight_w050,CPKM weight=0.5,297,250,0.2457025552614913,0.16257084052434556,0.9558520517445833,0.020770788376519,0.9560000000000001
100,center,cpkm_weight_w075,CPKM weight=0.75,297,250,0.2772547309564738,0.17032028701286211,0.955910154603753,0.010267137980974214,0.9560000000000001
100,center,cpkm_weight_w100,CPKM weight=1,297,250,0.3087040718003977,0.1785560566846405,0.9539043477769686,0.010254974319633894,0.954
100,jittered,ck4p_msp,CK4P-MSP,222,250,0.21233931960126554,0.15522936661196993,0.9397416615785469,0.01919784442931051,0.9400000000000001
100,jittered,pkm_weight_w010,PKM weight=0.1,297,250,0.21381529500504814,0.1556484490261545,0.9458161281903555,0.017593272745266467,0.946
100,jittered,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22117378169461283,0.15777471549147698,0.963933852893384,0.013616401333472992,0.9640000000000001
100,jittered,pkm_weight_w050,PKM weight=0.5,297,250,0.24335277183187629,0.16450379131265935,0.9297876879838224,0.01914550161346371,0.93
100,jittered,pkm_weight_w075,PKM weight=0.75,297,250,0.27119172375488076,0.17349038982446655,0.9014873471077453,0.019786237930081774,0.9019999999999999
100,jittered,pkm_weight_w100,PKM weight=1,297,250,0.29918027243335155,0.1829911502201252,0.8891097034704135,0.02911226699064098,0.89
100,jittered,cpkm_weight_w010,CPKM weight=0.1,297,250,0.2140415496412439,0.15586332480164306,0.9498576656249222,0.016840187133492373,0.95
100,jittered,cpkm_weight_w025,CPKM weight=0.25,297,250,0.22248434493048522,0.15905827069333642,0.9579006192583941,0.01611490963077582,0.958
100,jittered,cpkm_weight_w050,CPKM weight=0.5,297,250,0.24764083317486382,0.1689769852620469,0.9198003069234991,0.009089003309377038,0.9200000000000002
100,jittered,cpkm_weight_w075,CPKM weight=0.75,297,250,0.2788635776966846,0.18188837212203715,0.8876589135703246,0.011642199157149131,0.8880000000000001
100,jittered,cpkm_weight_w100,CPKM weight=1,297,250,0.3100205935080754,0.19524226505371006,0.8713784897207815,0.016333741955149687,0.8720000000000001
100,left,ck4p_msp,CK4P-MSP,222,250,0.21182297920438584,0.1555066251811852,0.941799430492696,0.017311289427981595,0.942
100,left,pkm_weight_w010,PKM weight=0.1,297,250,0.2133334863350624,0.15613659951281306,0.9498843194463991,0.012696048836576,0.95
100,left,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22083606370972406,0.15932456255440863,0.951890510308788,0.01476431272704401,0.952
100,left,pkm_weight_w050,PKM weight=0.5,297,250,0.24326934502256836,0.16933138768765382,0.9235771242912871,0.013699447018568683,0.924
100,left,pkm_weight_w075,PKM weight=0.75,297,250,0.271230196152331,0.18252899216761795,0.8908117820422333,0.012204916034796998,0.892
100,left,pkm_weight_w100,PKM weight=1,297,250,0.29923383878952897,0.19631029726103447,0.8684271821263104,0.01138505151109864,0.8699999999999999
100,left,cpkm_weight_w010,CPKM weight=0.1,297,250,0.21353178013659174,0.1564815131038837,0.9418038574573376,0.01478347652280253,0.942
100,left,cpkm_weight_w025,CPKM weight=0.25,297,250,0.2219974304215232,0.16137156683605658,0.9519182504276984,0.011688658949320054,0.952
100,left,cpkm_weight_w050,CPKM weight=0.5,297,250,0.2471800512321083,0.17633809434174733,0.923749472755863,0.010264159656015896,0.924
100,left,cpkm_weight_w075,CPKM weight=0.75,297,250,0.27839989082507816,0.19543567050621416,0.871213221196246,0.022624471481387017,0.8720000000000001
100,left,cpkm_weight_w100,CPKM weight=1,297,250,0.3095337155445045,0.2148449761184835,0.8506873806106011,0.03372131441582319,0.852
100,right,ck4p_msp,CK4P-MSP,222,250,0.21151656623910817,0.15596974348221784,0.9376077011400851,0.028253066999242356,0.938
100,right,pkm_weight_w010,PKM weight=0.1,297,250,0.21305922530716526,0.15667198286223102,0.9416038497053953,0.032368996854657446,0.942
100,right,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22072384922674207,0.1602207493789605,0.9497214364381433,0.03070461988924004,0.95
100,right,pkm_weight_w050,PKM weight=0.5,297,250,0.2436711343440286,0.1713124285703802,0.9275657978786873,0.019738013182904017,0.9279999999999999
100,right,pkm_weight_w075,PKM weight=0.75,297,250,0.27231998219547154,0.18585205892805698,0.8827388979941413,0.02661186267573712,0.884
100,right,pkm_weight_w100,PKM weight=1,297,250,0.3010402332762029,0.2009546299161292,0.8683513568470641,0.03120381024760142,0.8699999999999999
100,right,cpkm_weight_w010,CPKM weight=0.1,297,250,0.21333123723222508,0.1569380236674253,0.9456750941992047,0.031102576895588856,0.9460000000000001
100,right,cpkm_weight_w025,CPKM weight=0.25,297,250,0.22233016710964854,0.1617973909185423,0.9476423830290347,0.03586512100425677,0.9480000000000001
100,right,cpkm_weight_w050,CPKM weight=0.5,297,250,0.24911042270964243,0.17668771340527256,0.9234827958552788,0.03190245917385007,0.924
100,right,cpkm_weight_w075,CPKM weight=0.75,297,250,0.2822608308518248,0.19571194358080987,0.888927548881403,0.03371414598688662,0.89
100,right,cpkm_weight_w100,CPKM weight=1,297,250,0.31525096598076924,0.21506345931809262,0.8746696662372153,0.044814153279344134,0.876
150,center,ck4p_msp,CK4P-MSP,222,250,0.17916978484237348,0.12179577919949845,0.9679366178806486,0.017279195451306482,0.968
150,center,pkm_weight_w010,PKM weight=0.1,297,250,0.18076273466758974,0.12207743535995272,0.9739601161502778,0.016295163635722188,0.9739999999999999
150,center,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.18865433108626564,0.12351135156043562,0.9799763697584236,0.01675498644144348,0.9799999999999999
150,center,pkm_weight_w050,PKM weight=0.5,297,250,0.2120891850573542,0.12809590398496395,0.9859853788269215,0.014989492828279839,0.986
150,center,pkm_weight_w075,PKM weight=0.75,297,250,0.24104329803999086,0.13430497177690148,0.9799763697584236,0.01675498644144348,0.9800000000000001
150,center,pkm_weight_w100,PKM weight=1,297,250,0.2698248962808191,0.140949437887594,0.9739456341693472,0.020664825820463723,0.9739999999999999
150,center,cpkm_weight_w010,CPKM weight=0.1,297,250,0.18101590469111184,0.12215731665725285,0.9759506389937214,0.01967680877306977,0.976
150,center,cpkm_weight_w025,CPKM weight=0.25,297,250,0.19011243605034822,0.12396946495623845,0.9799811745627958,0.012673181553731224,0.9800000000000001
150,center,cpkm_weight_w050,CPKM weight=0.5,297,250,0.21678318552593978,0.12965100340946273,0.9799835781666634,0.010977495064196017,0.9800000000000001
150,center,cpkm_weight_w075,CPKM weight=0.75,297,250,0.24928389167376835,0.13720468429977628,0.9719587155300238,0.014742941087729444,0.9719999999999999
150,center,cpkm_weight_w100,CPKM weight=1,297,250,0.2812769948906114,0.14516925487479307,0.9679474956574593,0.014739991059926044,0.968
150,jittered,ck4p_msp,CK4P-MSP,222,250,0.18049840290225805,0.12317928201522645,0.9739661311784662,0.013608952784753667,0.974
150,jittered,pkm_weight_w010,PKM weight=0.1,297,250,0.18217727175540263,0.12364269459058931,0.9799835781666634,0.010977495064196017,0.9800000000000001
150,jittered,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.19048436883857514,0.12598734720700755,0.9839923944353599,0.008009809125884766,0.984
150,jittered,pkm_weight_w050,PKM weight=0.5,297,250,0.21506767152852097,0.13334487141512877,0.9679551113259037,0.011706812350596573,0.968
150,jittered,pkm_weight_w075,PKM weight=0.75,297,250,0.2453060710699662,0.14305012417289906,0.9579223750565674,0.011739319019964,0.958
150,jittered,pkm_weight_w100,PKM weight=1,297,250,0.27526016330399283,0.15319265267881288,0.9438780676356979,0.016332764880568448,0.944
150,jittered,cpkm_weight_w010,CPKM weight=0.1,297,250,0.18244038783221378,0.12379780809043858,0.9779821775464091,0.009820288851000692,0.9780000000000001
150,jittered,cpkm_weight_w025,CPKM weight=0.25,297,250,0.19197680405348222,0.12691113894849007,0.9819909938151058,0.007492410306373803,0.982
150,jittered,cpkm_weight_w050,CPKM weight=0.5,297,250,0.21974670576691432,0.1365343989513692,0.9759831781266592,0.010216986483273299,0.976
150,jittered,cpkm_weight_w075,CPKM weight=0.75,297,250,0.25339281104667,0.1489747044531047,0.9478852683594967,0.02569067482827723,0.9480000000000001
150,jittered,cpkm_weight_w100,CPKM weight=1,297,250,0.28641171100909,0.16175682144077033,0.927803725972144,0.023218370535341294,0.9279999999999999
150,left,ck4p_msp,CK4P-MSP,222,250,0.18135675194209183,0.12250502026304397,0.979987189590984,0.008955910618377909,0.9800000000000001
150,left,pkm_weight_w010,PKM weight=0.1,297,250,0.18297274621659648,0.1231893441337456,0.9759843883504757,0.004908297893531973,0.9759999999999998
150,left,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.19098165643255544,0.1266356922518958,0.9859949980592297,0.00800350151499776,0.986
150,left,pkm_weight_w050,PKM weight=0.5,297,250,0.21477448888696266,0.13729954275561893,0.969954911305902,0.014185238507376336,0.97
150,left,pkm_weight_w075,PKM weight=0.75,297,250,0.2441622726570904,0.1510898242277958,0.9397850855311832,0.02109714981087753,0.9400000000000001
150,left,pkm_weight_w100,PKM weight=1,297,250,0.27335829268170814,0.16524851862137324,0.9133687090978487,0.03711105266823592,0.914
150,left,cpkm_weight_w010,CPKM weight=0.1,297,250,0.18325343552743809,0.12344291824308426,0.9819885902112382,0.009810708184044366,0.982
