representation,representation_label,n_features,fold,length,condition,macro_f1,accuracy,n_test_sources,baseline_macro_f1,retention_ratio
ck4p_msp,CK4P-MSP,222,5,75,clean,0.8538596704883523,0.8541666666666666,240,0.880025381689584,0.9702670948524287
ck4p_msp,CK4P-MSP,222,5,75,substitution_1pct,0.849624060150376,0.85,240,0.880025381689584,0.9654540401086616
ck4p_msp,CK4P-MSP,222,5,100,N_3pct,0.8623063683304647,0.8625,240,0.880025381689584,0.9798653382870616
ck4p_msp,CK4P-MSP,222,5,100,clean,0.8623063683304647,0.8625,240,0.880025381689584,0.9798653382870616
ck4p_msp,CK4P-MSP,222,5,100,substitution_1pct,0.8581757508342602,0.8583333333333333,240,0.880025381689584,0.9751715901496226
pkm_weight_w010,PKM weight=0.1,297,1,69,N_3pct,0.8958170547481377,0.8958333333333334,240,0.880025381689584,1.0179445654490498
pkm_weight_w010,PKM weight=0.1,297,1,69,clean,0.9083333333333333,0.9083333333333333,240,0.880025381689584,1.0321671990748722
pkm_weight_w010,PKM weight=0.1,297,1,69,substitution_1pct,0.883300916921367,0.8833333333333333,240,0.880025381689584,1.0037220917713694
pkm_weight_w010,PKM weight=0.1,297,1,75,N_3pct,0.9041650028646331,0.9041666666666667,240,0.880025381689584,1.0274305965229125
pkm_weight_w010,PKM weight=0.1,297,1,75,clean,0.9083333333333333,0.9083333333333333,240,0.880025381689584,1.0321671990748722
pkm_weight_w010,PKM weight=0.1,297,1,75,substitution_1pct,0.8874824191279886,0.8875,240,0.880025381689584,1.0084736617756271
pkm_weight_w010,PKM weight=0.1,297,1,100,N_3pct,0.8915989159891599,0.8916666666666667,240,0.880025381689584,1.0131513641996956
pkm_weight_w010,PKM weight=0.1,297,1,100,clean,0.8956866426745944,0.8958333333333334,240,0.880025381689584,1.0177963741851876
pkm_weight_w010,PKM weight=0.1,297,1,100,substitution_1pct,0.8830409356725146,0.8833333333333333,240,0.880025381689584,1.0034266670549217
pkm_weight_w010,PKM weight=0.1,297,2,69,N_3pct,0.8557692307692308,0.8583333333333333,240,0.880025381689584,0.9724369871312312
pkm_weight_w010,PKM weight=0.1,297,2,69,clean,0.8642533936651584,0.8666666666666667,240,0.880025381689584,0.9820778032627371
pkm_weight_w010,PKM weight=0.1,297,2,69,substitution_1pct,0.8563784849338214,0.8583333333333333,240,0.880025381689584,0.9731293014408717
pkm_weight_w010,PKM weight=0.1,297,2,75,N_3pct,0.8648268093494791,0.8666666666666667,240,0.880025381689584,0.9827293932012224
pkm_weight_w010,PKM weight=0.1,297,2,75,clean,0.8598502946329033,0.8625,240,0.880025381689584,0.9770744259467312
pkm_weight_w010,PKM weight=0.1,297,2,75,substitution_1pct,0.8686417486184431,0.8708333333333333,240,0.880025381689584,0.9870644264267865
pkm_weight_w010,PKM weight=0.1,297,2,100,N_3pct,0.8648268093494791,0.8666666666666667,240,0.880025381689584,0.9827293932012224
pkm_weight_w010,PKM weight=0.1,297,2,100,clean,0.872737556561086,0.875,240,0.880025381689584,0.991718619394243
pkm_weight_w010,PKM weight=0.1,297,2,100,substitution_1pct,0.872737556561086,0.875,240,0.880025381689584,0.991718619394243
pkm_weight_w010,PKM weight=0.1,297,3,69,N_3pct,0.8537375285124759,0.8541666666666666,240,0.880025381689584,0.9701283011557719
pkm_weight_w010,PKM weight=0.1,297,3,69,clean,0.8494878405686015,0.85,240,0.880025381689584,0.965299249593969
pkm_weight_w010,PKM weight=0.1,297,3,69,substitution_1pct,0.8535947712418301,0.8541666666666666,240,0.880025381689584,0.9699660816634527
pkm_weight_w010,PKM weight=0.1,297,3,75,N_3pct,0.8616328028092735,0.8625,240,0.880025381689584,0.9790999449981793
pkm_weight_w010,PKM weight=0.1,297,3,75,clean,0.8655368022970796,0.8666666666666667,240,0.880025381689584,0.9835361800989337
pkm_weight_w010,PKM weight=0.1,297,3,75,substitution_1pct,0.8534312784631223,0.8541666666666666,240,0.880025381689584,0.9697802997733963
pkm_weight_w010,PKM weight=0.1,297,3,100,N_3pct,0.8866320264525271,0.8875,240,0.880025381689584,1.0075073343342198
