retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
0.995,0.9628424504190879,0.9316956852094341,0.26490993817615915,0.3696060267928277,0.0693083182652948,0.9925,100,art_illumina,ck4p_msp,400,222,0.589740990990991,130.9225
0.995,0.7925219086984977,0.6444670191165177,0.6203425908657603,0.8376007235087709,0.37773082591342133,0.995,100,art_illumina,ckmer5_count_l2,400,512,0.1563671875,80.06
0.9975,0.9937713852036445,0.9817165789072194,0.041680756754860875,0.18731150590337736,0.26678784808110423,0.9975,125,art_illumina,ck4,400,136,0.5112316176470588,69.5275
1.0,0.9980577793060865,0.9908560812632096,0.03010022622987245,0.13523248010657604,0.13573430324108124,1.0,125,art_illumina,ck4_p,400,147,0.5409438775510204,79.51875
1.0,0.998126794020067,0.9912186982648414,0.029655165249182866,0.1325224357592797,0.13748550824587583,1.0,125,art_illumina,ck4_msp,400,211,0.6134241706161138,129.4325
1.0,0.998712781226248,0.9938937815262698,0.024553034505244296,0.1105098594061042,0.09243062201634715,1.0,125,art_illumina,ck4p_msp,400,222,0.62803490990991,139.42375
0.9975,0.9897339117490438,0.9645275724552095,0.06020181616922998,0.2653337539150239,0.5322757851461908,0.9975,125,art_illumina,ckmer5_count_l2,400,512,0.18959716796875,97.07375
0.9975,0.9949961876388944,0.9873446940110112,0.03358501929160698,0.15793098572764408,0.24071730339624725,0.9975,150,art_illumina,ck4,400,136,0.5636856617647059,76.66125
1.0,0.9986173683094495,0.9936703067762176,0.024560386653855727,0.11251393267438647,0.12251112996245149,1.0,150,art_illumina,ck4_p,400,147,0.5894727891156463,86.6525
1.0,0.9987342015676732,0.9937429369770675,0.024010942647606594,0.11186641108572722,0.12419905430805742,1.0,150,art_illumina,ck4_msp,400,211,0.6472985781990521,136.58
1.0,0.9990924287385116,0.9957683391859256,0.02001530106557657,0.09199631069774365,0.08346688977882658,1.0,150,art_illumina,ck4p_msp,400,222,0.6602308558558558,146.57125
0.9975,0.9920342813013333,0.9737354613228206,0.04957963572955739,0.2287772621829998,0.5032484204822535,0.9975,150,art_illumina,ckmer5_count_l2,400,512,0.2204736328125,112.8825
