label,length,status,n_rows,n_pairs,fq_path,sam_path
Burkholderia_multivorans,50,generated,1396,698,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L50_ART_.sam
Burkholderia_multivorans,60,generated,1164,582,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L60_ART_.sam
Burkholderia_multivorans,69,reused_external,1012,506,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L69_ART_.sam
Burkholderia_multivorans,75,reused_external,930,465,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L75_ART_.sam
Burkholderia_multivorans,100,reused_external,696,348,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L100_ART_.sam
Burkholderia_multivorans,125,reused_external,554,277,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L125_ART_.sam
Burkholderia_multivorans,150,reused_external,462,231,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_multivorans_L150_ART_.sam
Burkholderia_cepacia,50,generated,1716,858,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L50_ART_.sam
Burkholderia_cepacia,60,generated,1430,715,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L60_ART_.sam
Burkholderia_cepacia,69,reused_external,1242,621,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L69_ART_.sam
Burkholderia_cepacia,75,reused_external,1142,571,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Burkholderia_cepacia_L75_ART_.sam
