family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,75,N_3pct,240,136,0.9672845842541087,0.9521262230012393,0.2526623529811455,0.30943101630650977
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,75,N_3pct,240,147,0.9948998103961693,0.9932356592616044,0.10047713961466392,0.11631284181892781
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,75,N_3pct,240,136,0.967304370376084,0.953321231115187,0.2526092510403533,0.3055441946091745
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,75,N_3pct,240,147,0.9949065197607474,0.9933837142316319,0.10042689331672167,0.11503285005819107
canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,75,N_3pct,240,136,0.9673911884571514,0.9512877769313223,0.25187907144842886,0.3121288933103466
canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,75,N_3pct,240,147,0.9949198974640531,0.9932853775602661,0.10022929497514885,0.11588459236658671
canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,75,N_3pct,240,136,0.9680564639071129,0.9497414271240593,0.24889754366957043,0.31704431833900415
canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,75,N_3pct,240,147,0.9949832777660271,0.9930767916696149,0.09949909631838201,0.11767078279561045
k-mer,k=4,4,,False,False,75,substitution_1pct,240,256,0.9761187557883254,0.9085181090676542,0.14910526603652927,0.4277420974320153
k-mer,k=5,5,,False,False,75,substitution_1pct,240,1023,0.9625596458011721,0.8717796942986114,0.18726438201827733,0.5063991075594899
k-mer,k=6,6,,False,False,75,substitution_1pct,240,3812,0.9519021868372407,0.834553971449985,0.21238670160591683,0.5752321766904502
k-mer,k=7,7,,False,False,75,substitution_1pct,240,9355,0.9496609675914657,0.8275918128562627,0.21629465890030802,0.587210499217513
k-mer,k=8,8,,False,False,75,substitution_1pct,240,13525,0.9539249257174472,0.8296602604978347,0.20628207011705474,0.5836771877707054
k-mer,k=9,9,,False,False,75,substitution_1pct,240,15165,0.9554576667537662,0.8390225320219842,0.2028504836244781,0.5674106437389121
canonical k-mer,k=4,4,,True,False,75,substitution_1pct,240,136,0.9803195667113965,0.9253681803245339,0.13528496793735184,0.38634652351067966
canonical k-mer,k=5,5,,True,False,75,substitution_1pct,240,512,0.966057358290454,0.8797735233756607,0.1779025472120493,0.490360024113587
canonical k-mer,k=6,6,,True,False,75,substitution_1pct,240,2050,0.9524406642876136,0.8333333333333349,0.21110370173403226,0.5773502691896262
canonical k-mer,k=7,7,,True,False,75,substitution_1pct,240,6352,0.9455226990649561,0.8094090202587596,0.2254386078842464,0.6173993240029815
canonical k-mer,k=8,8,,True,False,75,substitution_1pct,240,11656,0.9486871191623915,0.8137565556030559,0.2176062941424948,0.6103124235630489
canonical k-mer,k=9,9,,True,False,75,substitution_1pct,240,14428,0.9527995520740791,0.8301508307753283,0.2087191236614387,0.5828364594372436
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,75,substitution_1pct,240,136,0.9803195667113965,0.9253681803245339,0.13528496793735184,0.38634652351067966
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,75,substitution_1pct,240,147,0.9978789623767768,0.9920968903412662,0.0443941133118562,0.12572262575715706
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,75,substitution_1pct,240,136,0.9793836665592527,0.9250970119053152,0.13867990737055116,0.3870476440046238
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,75,substitution_1pct,240,147,0.9977744708290174,0.991751818662599,0.045528025897798405,0.12843810864568644
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,75,substitution_1pct,240,136,0.9791853630944852,0.9277264806957966,0.13909236050555923,0.3801865778938552
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,75,substitution_1pct,240,147,0.9977617695030236,0.9920553859552736,0.045614374392587614,0.12605148549333436
canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,75,substitution_1pct,240,136,0.9791340656537038,0.9234952039551478,0.13912383682144505,0.3911643483415727
canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,75,substitution_1pct,240,147,0.9977569287059787,0.9920994672462198,0.045620142046487205,0.12570153847534207
canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,75,substitution_1pct,240,136,0.9793526003897453,0.9250321197284683,0.13824433497266128,0.3872153929572849
