probe,genus,length,condition,method,parameter,k,pattern,canonical,add_property,n_samples,n_classes,accuracy,macro_f1,n_features,observed_vocab_size
within_genus_species,Candida,69,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,160,4,0.25,0.2357914989493937,147,147
within_genus_species,Candida,69,clean,canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,160,4,0.3125,0.30032051282051286,136,136
within_genus_species,Candida,69,clean,canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,160,4,0.2916666666666667,0.2854901960784314,147,147
within_genus_species,Candida,69,clean,canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,160,4,0.2916666666666667,0.2966459627329192,136,136
within_genus_species,Candida,69,clean,canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,160,4,0.3125,0.31392428785607196,147,147
target_background,Candida,69,clean,k-mer,k=4,4,,False,False,160,2,0.625,0.5,255,255
target_background,Candida,69,clean,k-mer,k=5,5,,False,False,160,2,0.6041666666666666,0.45681953543776055,956,956
target_background,Candida,69,clean,k-mer,k=6,6,,False,False,160,2,0.6875,0.4638868205510052,2699,2699
target_background,Candida,69,clean,k-mer,k=7,7,,False,False,160,2,0.7291666666666666,0.42168674698795183,4854,4854
target_background,Candida,69,clean,k-mer,k=8,8,,False,False,160,2,0.7291666666666666,0.42168674698795183,6163,6163
target_background,Candida,69,clean,k-mer,k=9,9,,False,False,160,2,0.7083333333333334,0.4146341463414634,6570,6570
target_background,Candida,69,clean,canonical k-mer,k=4,4,,True,False,160,2,0.625,0.546218487394958,135,135
target_background,Candida,69,clean,canonical k-mer,k=5,5,,True,False,160,2,0.5625,0.399642644431209,497,497
target_background,Candida,69,clean,canonical k-mer,k=6,6,,True,False,160,2,0.625,0.43157894736842106,1674,1674
target_background,Candida,69,clean,canonical k-mer,k=7,7,,True,False,160,2,0.7291666666666666,0.42168674698795183,3749,3749
target_background,Candida,69,clean,canonical k-mer,k=8,8,,True,False,160,2,0.7291666666666666,0.42168674698795183,5599,5599
target_background,Candida,69,clean,canonical k-mer,k=9,9,,True,False,160,2,0.7291666666666666,0.42168674698795183,6360,6360
target_background,Candida,69,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,160,2,0.625,0.546218487394958,135,135
target_background,Candida,69,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,160,2,0.6041666666666666,0.5306227483273289,146,146
target_background,Candida,69,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,160,2,0.6458333333333334,0.5950372208436725,136,136
target_background,Candida,69,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,160,2,0.6666666666666666,0.6121212121212121,147,147
target_background,Candida,69,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,160,2,0.5625,0.45893719806763283,136,136
target_background,Candida,69,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,160,2,0.5833333333333334,0.4957983193277311,147,147
target_background,Candida,69,clean,canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,160,2,0.6458333333333334,0.540281690140845,136,136
