retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features,high_k,target_dim
1.0,0.9765058351256753,0.9646258513450887,0.2138764656945368,0.26598546480261676,0.22567322526358474,1.0,60,N_3pct,pseeiip,pseeiip,420,64,,
1.0,0.9719397498360709,0.9622434566084918,0.2353909034316343,0.274796346805781,0.36330645559411334,1.0,60,trim_5bp,ck4,CK4,420,136,,
1.0,0.9899757842170697,0.9866502406839471,0.1407520671676248,0.16339982788000998,0.12315371289790222,1.0,60,trim_5bp,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9888691526838169,0.9839998102004477,0.14822895618977475,0.1788864861035662,0.12660175170744456,1.0,60,trim_5bp,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9595910544919768,0.9429475393233775,0.2822444021173649,0.3377941946387506,0.31595715413016146,1.0,60,trim_5bp,ncp_anf,ncp_anf,420,240,,
1.0,0.9798901985802267,0.9698313311201768,0.19830794049335745,0.24563525253795992,0.22803468879597943,1.0,60,trim_5bp,pseeiip,pseeiip,420,64,,
1.0,0.934284882613545,0.8626025590114015,0.3502196180229852,0.5242071242331356,0.3336520178829335,1.0,60,substitution_1pct_N_3pct,ck4,CK4,420,136,,
1.0,0.9767708209147536,0.9528698761211113,0.20906402043793637,0.30701703829851784,0.11400996567707009,1.0,60,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9802865109290229,0.9596609959446336,0.1921574009234422,0.2840378276630972,0.11201105043079541,1.0,60,substitution_1pct_N_3pct,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9778372608594111,0.9572358737208904,0.20497821770986016,0.29245198618430635,0.3232248827408887,1.0,60,substitution_1pct_N_3pct,ncp_anf,ncp_anf,420,240,,
1.0,0.9640611190531145,0.9218645227061475,0.25784795666296817,0.3953111829051811,0.21416444833939297,1.0,60,substitution_1pct_N_3pct,pseeiip,pseeiip,420,64,,
1.0,0.9028454197956554,0.8715175063240859,0.4378113335455067,0.5069171405188707,0.302968321427753,1.0,60,local_mismatch_6bp,ck4,CK4,420,136,,
1.0,0.9671755404700682,0.9565067191616923,0.25450605205522203,0.2949348384212842,0.10331127925555367,1.0,60,local_mismatch_6bp,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.965382158070882,0.9485316555703276,0.2606646368362489,0.32083696922212596,0.10043191552306399,1.0,60,local_mismatch_6bp,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.9367487665826864,0.9259579097197678,0.3551433234067914,0.3848170740521205,0.2740414121853507,1.0,60,local_mismatch_6bp,ncp_anf,ncp_anf,420,240,,
1.0,0.9358503332373166,0.9055254633498372,0.3538177261126976,0.43468076874921935,0.18671686382177016,1.0,60,local_mismatch_6bp,pseeiip,pseeiip,420,64,,
1.0,0.9816730703993141,0.9317992065529601,0.12673668268620597,0.36932468554559744,0.3699343862570642,1.0,60,short_indel,ck4,CK4,420,136,,
1.0,0.9938380326325505,0.977084080310248,0.07354357167866152,0.21408336074113296,0.12589977346744716,1.0,60,short_indel,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9949217239830169,0.9788077718883057,0.0658615792405262,0.20587441202766327,0.12834759826230052,1.0,60,short_indel,pseknc_k3_l3,pseknc_k3_l3,420,67,,
0.8809523809523809,0.8881020742292692,0.5736604178038464,0.3067853301435999,0.9234062788165038,0.22847521568461382,0.8809523809523809,60,short_indel,ncp_anf,ncp_anf,420,240,,
1.0,0.9908812087496859,0.965275443157151,0.08803200288861529,0.26353145338261386,0.23400869273638955,1.0,60,short_indel,pseeiip,pseeiip,420,64,,
1.0,0.9758057819382915,0.9211829701972837,0.15831369905934595,0.39703152322877994,0.33355989134328934,1.0,75,substitution_1pct,ck4,CK4,420,136,,
1.0,0.9919043810113297,0.9736410940367431,0.09158561971764964,0.2296035729115022,0.11325614875921376,1.0,75,substitution_1pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9933253311618008,0.9779173569936008,0.08312192423998083,0.21015482566557356,0.10599482712187049,1.0,75,substitution_1pct,pseknc_k3_l3,pseknc_k3_l3,420,67,,
1.0,0.993038930749416,0.977331288523985,0.08558491910880961,0.21292580809450895,0.34391245225027134,1.0,75,substitution_1pct,ncp_anf,ncp_anf,420,300,,
1.0,0.9870206461899169,0.9570795101231837,0.11568292030757325,0.29298625516050025,0.2020554464235664,1.0,75,substitution_1pct,pseeiip,pseeiip,420,64,,
1.0,0.9696375977046439,0.9575862700156283,0.24425476153304926,0.2912515309273554,0.3364486555759282,1.0,75,N_3pct,ck4,CK4,420,136,,
1.0,0.9890204724608447,0.9849908437870023,0.14712933482819673,0.17325791470274313,0.11431768748403043,1.0,75,N_3pct,ck4p_msp,CK4P-MSP,420,222,,
1.0,0.9913054302172083,0.9875441934349233,0.1306847787537578,0.15783411119841054,0.10410911423477258,1.0,75,N_3pct,pseknc_k3_l3,pseknc_k3_l3,420,67,,
