length,binset,bins,l2_delta_mean,paired_cosine_mean
72,2_3_4_6,2+3+4+6,0.14284764229894817,0.9869869685608186
73,2,2,0.13903631485800497,0.9874266548977505
73,2_3,2+3,0.13925518790568148,0.9873932214317539
73,2_3_4,2+3+4,0.13948817978456787,0.9873581935400675
73,2_3_4_6,2+3+4+6,0.14000331346302253,0.9872825839480323
74,2,2,0.1365142580230808,0.9879160549427849
74,2_3,2+3,0.13670011587016082,0.9878866875015283
74,2_3_4,2+3+4,0.1369673481503865,0.9878479826024987
74,2_3_4_6,2+3+4+6,0.13745163538038863,0.9877776406225637
75,2,2,0.1376088578201532,0.9878180496863357
75,2_3,2+3,0.1378403473729864,0.9877842424036919
75,2_3_4,2+3+4,0.1380704632386689,0.9877499537409151
75,2_3_4_6,2+3+4+6,0.13857418805581492,0.9876780117663744
