length,representation,representation_label,n_cells,macro_f1_mean,macro_f1_sd,n_features
65,ck4_p,CK4+P,4,0.9714892488209889,0.003488917729740765,147
65,ck4_p_msp,CK4P-MSP,4,0.9881873364035281,0.007311538990776861,222
65,msp,MSP,4,0.9714754091972541,0.034502682709256785,75
65,p,P,4,0.6026745995747462,0.035408711395762016,11
65,p_msp,P+MSP,4,0.9777520066373819,0.024568302160971268,86
66,ck4,CK4,4,0.9686950469553753,0.013910067873843378,136
66,ck4_msp,CK4+MSP,4,0.9881865318725287,0.00830030867795735,211
66,ck4_p,CK4+P,4,0.974957260721817,0.017778182579546695,147
66,ck4_p_msp,CK4P-MSP,4,0.9923564191517115,0.006950075292373618,222
66,msp,MSP,4,0.9756704126065714,0.027289109581995676,75
66,p,P,4,0.6249470411015818,0.051810621193376365,11
66,p_msp,P+MSP,4,0.9770463684769327,0.020518881448520113,86
67,ck4,CK4,4,0.9735575603486247,0.008692644646898144,136
67,ck4_msp,CK4+MSP,4,0.9902745608953404,0.004812903681389772,211
67,ck4_p,CK4+P,4,0.9742629702120981,0.00949353966261055,147
67,ck4_p_msp,CK4P-MSP,4,0.9909696758857476,0.0057275105996432134,222
67,msp,MSP,4,0.9707862094656775,0.039895130778831875,75
67,p,P,4,0.6089079901381476,0.015202169634297677,11
67,p_msp,P+MSP,4,0.975672298356594,0.032036779744733,86
68,ck4,CK4,4,0.9693966168748381,0.014898344571705354,136
68,ck4_msp,CK4+MSP,4,0.9874844235262006,0.010768641387879568,211
68,ck4_p,CK4+P,4,0.9735770223361906,0.012344766446359842,147
68,ck4_p_msp,CK4P-MSP,4,0.9881841126835129,0.012714883574305438,222
68,msp,MSP,4,0.9846895998405741,0.018272184552049476,75
68,p,P,4,0.5934048118698013,0.02897125709415833,11
68,p_msp,P+MSP,4,0.9826134772413458,0.023979838390639437,86
69,ck4,CK4,4,0.9707279068893546,0.011359916244279745,136
69,ck4_msp,CK4+MSP,4,0.9923588327447097,0.0057288113309631825,211
69,ck4_p,CK4+P,4,0.9742169301281669,0.009023607984044668,147
69,ck4_p_msp,CK4P-MSP,4,0.9930534111741907,0.0057848095634210036,222
69,msp,MSP,4,0.9742718469201168,0.026147892074732244,75
69,p,P,4,0.6521109152678266,0.031765668114518315,11
69,p_msp,P+MSP,4,0.975663389236423,0.02711335734290211,86
70,ck4,CK4,4,0.977041002254126,0.005278172680181703,136
70,ck4_msp,CK4+MSP,4,0.993748794134671,0.0034959680965945612,211
70,ck4_p,CK4+P,4,0.9805267917971788,0.0032333186822261785,147
70,ck4_p_msp,CK4P-MSP,4,0.994443372564152,0.0022684836514295127,222
70,msp,MSP,4,0.9756534726188721,0.028865871770495283,75
70,p,P,4,0.5998600891523385,0.02693626576736229,11
70,p_msp,P+MSP,4,0.9777433923795784,0.024782847941823324,86
71,ck4,CK4,4,0.985399349632551,0.008309044334865972,136
71,ck4_msp,CK4+MSP,4,0.9951363419316341,0.006163654583466579,211
71,ck4_p,CK4+P,4,0.9840134233600498,0.005735711304860641,147
71,ck4_p_msp,CK4P-MSP,4,0.9958317248921146,0.004813728859360719,222
71,msp,MSP,4,0.9742763704823366,0.03507011132965125,75
71,p,P,4,0.6253484645627626,0.02547385155814315,11
71,p_msp,P+MSP,4,0.9763658167474658,0.03084778638157255,86
72,ck4,CK4,4,0.9874935656143451,0.006616638670629152,136
72,ck4_msp,CK4+MSP,4,0.9979162647115569,0.0026600328673917067,211
72,ck4_p,CK4+P,4,0.9874943701453445,0.004814038862112136,147
72,ck4_p_msp,CK4P-MSP,4,0.998610843141038,0.002778313717923984,222
72,msp,MSP,4,0.9833268989476784,0.020546346944748137,75
72,p,P,4,0.6433957582923688,0.029497797620699734,11
72,p_msp,P+MSP,4,0.9847168609584199,0.01984390748276813,86
73,ck4,CK4,4,0.9819321078832022,0.004819307840224658,136
73,ck4_msp,CK4+MSP,4,0.9958317248921146,0.002778850486016594,211
73,ck4_p,CK4+P,4,0.9798470315028335,0.007316023702891905,147
73,ck4_p_msp,CK4P-MSP,4,0.9958317248921146,0.002778850486016594,222
73,msp,MSP,4,0.9770609180320502,0.02612929478797461,75
73,p,P,4,0.6254931878951319,0.03709426459422467,11
73,p_msp,P+MSP,4,0.981928602487291,0.019987288484999966,86
74,ck4,CK4,4,0.980528441457295,0.009913750160199646,136
74,ck4_msp,CK4+MSP,4,0.996527107852595,0.0026600328673916747,211
74,ck4_p,CK4+P,4,0.9812294748158314,0.01050560799803167,147
74,ck4_p_msp,CK4P-MSP,4,0.996527107852595,0.0026600328673917176,222
74,msp,MSP,4,0.9756628988822662,0.027671670357982615,75
74,p,P,4,0.6346907758219923,0.022168524424966887,11
74,p_msp,P+MSP,4,0.9812369904060758,0.019837488266338358,86
75,ck4,CK4,4,0.9819259178149212,0.0035984535905412094,136
75,ck4_msp,CK4+MSP,4,0.9930526066431913,0.007353565436823614,211
75,ck4_p,CK4+P,4,0.9798405734644794,0.0061652919630780815,147
75,ck4_p_msp,CK4P-MSP,4,0.9930526066431913,0.007353565436823614,222
75,msp,MSP,4,0.9687117146077089,0.04078798840454681,75
75,p,P,4,0.6059919533697083,0.027409109946682227,11
75,p_msp,P+MSP,4,0.9728632708377953,0.037876285477372,86
