retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
0.8595238095238096,0.9994875232373897,0.9986141866803913,0.02938120550896435,0.052646170500185635,0.0005431096371119587,0.8595238095238096,67,local_mismatch_6bp,p_msp,P+MSP,420,86
1.0,0.9715300844527538,0.9597641577308235,0.23687374098049985,0.28367517470280806,0.1013205593389608,1.0,67,local_mismatch_6bp,ck4_p_msp,CK4P-MSP,420,222
1.0,0.983836331921367,0.9364313598379568,0.1201390984695942,0.35656269025625464,0.35697913240369417,1.0,67,short_indel,ck4,CK4,420,136
0.7428571428571429,0.9999942574442127,0.999978939166494,0.00222168604799443,0.006490033716024402,1.937664589332538e-05,0.7095238095238096,67,short_indel,p,P,420,11
1.0,0.9998982757258513,0.9995844817651252,0.009381119414834528,0.0288277031087069,0.001708866340758636,1.0,67,short_indel,msp,MSP,420,75
1.0,0.9919152946827898,0.9681970803101028,0.08496842592182637,0.2522016484488601,0.179023607066915,1.0,67,short_indel,ck4_p,CK4+P,420,147
1.0,0.9918673038236091,0.9681238748125706,0.08527313282785708,0.2524916129276171,0.18148387804165572,1.0,67,short_indel,ck4_msp,CK4+MSP,420,211
1.0,0.9999462665850319,0.9997882464560225,0.006855699292181622,0.020579281941484683,0.0009816549775669217,1.0,67,short_indel,p_msp,P+MSP,420,86
1.0,0.9945762883638104,0.9787368501357963,0.0696392080891282,0.2062186692593662,0.12133389208970269,1.0,67,short_indel,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9763672533227212,0.9141725121437054,0.1460452937301078,0.41431261414983356,0.34966099496268926,1.0,68,substitution_1pct,ck4,CK4,420,136
0.6238095238095238,0.9999869928639731,0.9999451998465112,0.00325746827328027,0.010468415849135384,1.1912110156201257e-05,0.5833333333333334,68,substitution_1pct,p,P,420,11
1.0,0.9999135863860537,0.9996813163187223,0.008700920067292572,0.025246108480237887,0.0016832236267299413,1.0,68,substitution_1pct,msp,MSP,420,75
1.0,0.9881771230933472,0.9570803822642215,0.10330926691138484,0.2929833099445526,0.1754184180707425,1.0,68,substitution_1pct,ck4_p,CK4+P,420,147
1.0,0.9881404198543876,0.9569301446518942,0.1034856786494157,0.2934956623832339,0.1779277077104133,1.0,68,substitution_1pct,ck4_msp,CK4+MSP,420,211
1.0,0.9999502896250135,0.9998101430945048,0.006611384330537525,0.01948623021681853,0.0009557316986039399,1.0,68,substitution_1pct,p_msp,P+MSP,420,86
1.0,0.9920892775242492,0.9712828472295086,0.0845218465699993,0.23965454609005996,0.11897888470848557,1.0,68,substitution_1pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.963895650565876,0.9464316501763429,0.2658249743293206,0.3273174272844884,0.34552105023663315,1.0,68,N_3pct,ck4,CK4,420,136
0.05476190476190476,0.9979452487879161,0.9974916097115137,0.06402338181633806,0.07082923530453161,-0.0003454740602816335,0.05238095238095238,68,N_3pct,p,P,420,11
0.9809523809523809,0.9989908240851894,0.997970780041345,0.044029097675331065,0.06370586836477928,0.0014011470336862779,0.9809523809523809,68,N_3pct,msp,MSP,420,75
1.0,0.980920449676896,0.9722756405587513,0.19350679530774662,0.23547551419801288,0.1734468969449474,1.0,68,N_3pct,ck4_p,CK4+P,420,147
1.0,0.9814432373255326,0.9727951253763052,0.19071836740056042,0.2332589059665986,0.17570672361907064,1.0,68,N_3pct,ck4_msp,CK4+MSP,420,211
0.9238095238095239,0.9984680364365527,0.9979708591096913,0.05517180976037807,0.06370463042679744,0.0007282148025355698,0.9238095238095239,68,N_3pct,p_msp,P+MSP,420,86
1.0,0.9869439078129939,0.9812208034666009,0.16017022383000915,0.19379983681477136,0.1175673836961928,1.0,68,N_3pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9769641490382446,0.970831306241243,0.21330257649446988,0.2415312967636157,0.35269675964713604,1.0,68,trim_5bp,ck4,CK4,420,136
0.28095238095238095,0.9999255538920402,0.9998479696493248,0.011877835171875815,0.017437336399385706,-5.054684053028346e-06,0.2785714285714286,68,trim_5bp,p,P,420,11
0.7952380952380952,0.998737068618561,0.9975828108861092,0.048913311406233465,0.0695296923500636,0.0006737412144638065,0.7952380952380952,68,trim_5bp,msp,MSP,420,75
1.0,0.9884448514651424,0.9853596887868212,0.15107749876642748,0.17111580256892428,0.1769362521413764,1.0,68,trim_5bp,ck4_p,CK4+P,420,147
1.0,0.9878506088284028,0.9844202297444957,0.15496239880056584,0.17652064412249152,0.17898362989412214,1.0,68,trim_5bp,ck4_msp,CK4+MSP,420,211
0.8261904761904761,0.9993313112553006,0.9987429857481922,0.0356678165694188,0.05014005735973614,0.0004490188421863962,0.8261904761904761,68,trim_5bp,p_msp,P+MSP,420,86
1.0,0.9918755905162819,0.9895807342685053,0.12672422086221344,0.14435556868142008,0.11968937570313225,1.0,68,trim_5bp,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9412922111569225,0.8767345805832344,0.3303264237670788,0.49651643200622847,0.3252484702555379,1.0,68,substitution_1pct_N_3pct,ck4,CK4,420,136
