split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_triplets,n_features,accuracy_std,macro_f1_std
holdout,logistic,0.9166666666666666,0.9164578111946533,51,jittered,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9277777777777777,0.9276088493998941,51,jittered,ck4_p,CK4+P,180,147,0.020412414523193163,0.020413242764931942
holdout,logistic,0.9583333333333334,0.9582608695652174,51,jittered,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9527777777777778,0.9527289002196669,51,jittered,ck4_msp,CK4+MSP,180,211,0.01111111111111112,0.011135188438457233
holdout,logistic,0.9333333333333333,0.9333148096693527,51,jittered,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9166666666666667,0.9161926739803473,51,jittered,p_msp,P+MSP,180,86,0.03167153958608714,0.03222594412929304
holdout,logistic,0.9583333333333334,0.9582608695652174,51,jittered,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9555555555555555,0.9555093601812962,51,jittered,ck4_p_msp,CK4P-MSP,180,222,0.010393492741038736,0.01043868327420116
holdout,logistic,0.9333333333333333,0.9331662489557226,51,left,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9333333333333332,0.9332020828905968,51,left,ck4,CK4,180,136,0.02389534796400729,0.024027900532394075
holdout,logistic,0.6666666666666666,0.666574048346763,51,left,p,P,180,11,,
5fold_grouped_cv,logistic,0.6694444444444445,0.6688900988799855,51,left,p,P,180,11,0.05918687709072918,0.05911681284068242
holdout,logistic,0.9916666666666667,0.9916660879227724,51,left,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9916666666666668,0.9916618407222305,51,left,msp,MSP,180,75,0.01111111111111111,0.011118887025293534
holdout,logistic,0.9333333333333333,0.9332591768631813,51,left,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9361111111111111,0.9360095620855045,51,left,ck4_p,CK4+P,180,147,0.02078698548207746,0.020834398081773085
holdout,logistic,0.9916666666666667,0.9916660879227724,51,left,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.986111111111111,0.9861052132863826,51,left,ck4_msp,CK4+MSP,180,211,0.008784104611578835,0.008790888587498949
holdout,logistic,0.9916666666666667,0.9916660879227724,51,left,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9944444444444445,0.9944401544401543,51,left,p_msp,P+MSP,180,86,0.011111111111111117,0.011119691119691133
holdout,logistic,0.9916666666666667,0.9916660879227724,51,left,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9888888888888889,0.9888835270043064,51,left,ck4_p_msp,CK4P-MSP,180,222,0.010393492741038726,0.010400659235583804
holdout,logistic,0.8833333333333333,0.8832035595105673,51,right,ck4,CK4,180,136,,
