length,local_mode,binset,bins,max_bin_count,gamma,n_triplets,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,selective_sensitivity_ratio_mean,k_dim,p_dim,m_dim,total_dim,split,classifier,accuracy,macro_f1,accuracy_std,macro_f1_std
52,center,2_3_4_6,2+3+4+6,6,1.0,180,0.3701310802306796,0.26656175134167676,-0.10356932888900283,0.7290750092877002,136,11,75,222,5fold_grouped_cv,logistic,0.986111111111111,0.9861019951623848,0.012422599874998837,0.012432193032727345
52,jittered,2,2,2,1.0,180,0.36911973615268623,0.2655023728148583,-0.10361736333782802,0.7277743503676529,136,11,10,157,holdout,logistic,0.9333333333333333,0.9332591768631813,,
52,jittered,2,2,2,1.0,180,0.36911973615268623,0.2655023728148583,-0.10361736333782802,0.7277743503676529,136,11,10,157,5fold_grouped_cv,logistic,0.925,0.9247274303487801,0.022566773346211006,0.02280084171039355
52,jittered,2_3,2+3,3,1.0,180,0.3692301207093035,0.26578005879793903,-0.10345006191136442,0.7283163897519274,136,11,25,172,holdout,logistic,0.9583333333333334,0.9583072753804461,,
52,jittered,2_3,2+3,3,1.0,180,0.3692301207093035,0.26578005879793903,-0.10345006191136442,0.7283163897519274,136,11,25,172,5fold_grouped_cv,logistic,0.9305555555555556,0.9304094914481714,0.008784104611578835,0.008969256993666524
52,jittered,2_3_4,2+3+4,4,1.0,180,0.3693608831688154,0.266006585799819,-0.10335429736899633,0.7286578349727294,136,11,45,192,holdout,logistic,0.9916666666666667,0.9916660879227724,,
52,jittered,2_3_4,2+3+4,4,1.0,180,0.3693608831688154,0.266006585799819,-0.10335429736899633,0.7286578349727294,136,11,45,192,5fold_grouped_cv,logistic,0.95,0.9499484826441347,0.01416394309331329,0.014185257250272766
52,jittered,2_3_4_6,2+3+4+6,6,1.0,180,0.36958688765127984,0.26646513339337397,-0.10312175425790586,0.7294638783196086,136,11,75,222,holdout,logistic,0.9916666666666667,0.9916660879227724,,
52,jittered,2_3_4_6,2+3+4+6,6,1.0,180,0.36958688765127984,0.26646513339337397,-0.10312175425790586,0.7294638783196086,136,11,75,222,5fold_grouped_cv,logistic,0.9694444444444444,0.9693805232722497,0.020412414523193156,0.020469900909452436
52,left,2,2,2,1.0,180,0.3701269764820119,0.2652019637785215,-0.1049250127034904,0.7240605955981877,136,11,10,157,holdout,logistic,0.95,0.949874686716792,,
52,left,2,2,2,1.0,180,0.3701269764820119,0.2652019637785215,-0.1049250127034904,0.7240605955981877,136,11,10,157,5fold_grouped_cv,logistic,0.9638888888888889,0.9637524841341332,0.025760051376376984,0.02597460505580513
52,left,2_3,2+3,3,1.0,180,0.3702440763578344,0.2654528207265237,-0.1047912556313108,0.7245008026099362,136,11,25,172,holdout,logistic,0.9583333333333334,0.9582608695652174,,
52,left,2_3,2+3,3,1.0,180,0.3702440763578344,0.2654528207265237,-0.1047912556313108,0.7245008026099362,136,11,25,172,5fold_grouped_cv,logistic,0.9777777777777779,0.9777638358846155,0.0068041381743977475,0.006813333716011712
52,left,2_3_4,2+3+4,4,1.0,180,0.37036947335964876,0.2657511070612674,-0.10461836629838132,0.7250586946630351,136,11,45,192,holdout,logistic,0.9666666666666667,0.9666295884315907,,
52,left,2_3_4,2+3+4,4,1.0,180,0.37036947335964876,0.2657511070612674,-0.10461836629838132,0.7250586946630351,136,11,45,192,5fold_grouped_cv,logistic,0.986111111111111,0.9861084314103801,1.1102230246251565e-16,0.0
52,left,2_3_4_6,2+3+4+6,6,1.0,180,0.3706018885678301,0.2660724311948108,-0.10452945737301932,0.7254490569400435,136,11,75,222,holdout,logistic,1.0,1.0,,
52,left,2_3_4_6,2+3+4+6,6,1.0,180,0.3706018885678301,0.2660724311948108,-0.10452945737301932,0.7254490569400435,136,11,75,222,5fold_grouped_cv,logistic,0.9888888888888889,0.9888835270043064,0.010393492741038724,0.010400659235583804
52,right,2,2,2,1.0,180,0.36855209348337264,0.26116625397598314,-0.10738583950738949,0.7163047744466786,136,11,10,157,holdout,logistic,0.9666666666666667,0.9666295884315907,,
52,right,2,2,2,1.0,180,0.36855209348337264,0.26116625397598314,-0.10738583950738949,0.7163047744466786,136,11,10,157,5fold_grouped_cv,logistic,0.9722222222222223,0.97217495248455,0.01756820922315767,0.01762262833604202
52,right,2_3,2+3,3,1.0,180,0.36866700027034116,0.2613549718497496,-0.1073120284205916,0.716587439557733,136,11,25,172,holdout,logistic,0.9833333333333333,0.9833287024173382,,
52,right,2_3,2+3,3,1.0,180,0.36866700027034116,0.2613549718497496,-0.1073120284205916,0.716587439557733,136,11,25,172,5fold_grouped_cv,logistic,0.975,0.9749661885483174,0.016197088596792496,0.016227286797398356
52,right,2_3_4,2+3+4,4,1.0,180,0.36879943422937644,0.26164658974304855,-0.10715284448632782,0.7171272964528836,136,11,45,192,holdout,logistic,0.975,0.9749843652282677,,
52,right,2_3_4,2+3+4,4,1.0,180,0.36879943422937644,0.26164658974304855,-0.10715284448632782,0.7171272964528836,136,11,45,192,5fold_grouped_cv,logistic,0.9722222222222221,0.9721685037993606,0.019641855032959663,0.01970039159291396
52,right,2_3_4_6,2+3+4+6,6,1.0,180,0.36901994326390763,0.2620044511655363,-0.10701549209837134,0.7176696435364739,136,11,75,222,holdout,logistic,0.975,0.9749843652282677,,
52,right,2_3_4_6,2+3+4+6,6,1.0,180,0.36901994326390763,0.2620044511655363,-0.10701549209837134,0.7176696435364739,136,11,75,222,5fold_grouped_cv,logistic,0.986111111111111,0.9861052132863826,0.008784104611578835,0.008790888587498949
53,center,2,2,2,1.0,180,0.36435031142303054,0.2612132380511226,-0.10313707337190796,0.7254768869296734,136,11,10,157,holdout,logistic,0.925,0.9248695652173913,,
