retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,binset,bins,max_bin_count,gamma,n_pairs,k_dim,p_dim,m_dim,total_dim
1.0,0.9702386861686779,0.960355047679473,0.24244933114386896,0.281584629555151,0.10277382264726909,1.0,64,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9940506241593211,0.979867386479754,0.0730793923867611,0.20066193683881792,0.12193416124245986,1.0,64,short_indel,2,2,2,1.0,420,136,11,10,157
1.0,0.994045010116182,0.9798191084018909,0.07312211144736153,0.20090240893538433,0.1222082865234203,1.0,64,short_indel,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9940366257400108,0.9798347265116844,0.07318427467827668,0.20082462594959058,0.12251093879549546,1.0,64,short_indel,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9940204624938731,0.9797412190486293,0.07329925824804476,0.2012897393449287,0.1231164948024796,1.0,64,short_indel,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9929062397370639,0.9744315202283055,0.07753460773403253,0.22613448665220212,0.12049354549423363,1.0,65,substitution_1pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9929013416015083,0.9744083521629694,0.07756340969280844,0.2262369410105666,0.12076861892409924,1.0,65,substitution_1pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.992896468980393,0.9743881639162391,0.07759216137328104,0.22632617450585293,0.12109332424427798,1.0,65,substitution_1pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9928878657339307,0.9743495945819035,0.07764304745870908,0.22649655734205676,0.12168754750707339,1.0,65,substitution_1pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.986467556628608,0.9800191930543503,0.16297996917938537,0.19990396979174163,0.11768598463652379,1.0,65,N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9864070866829517,0.9799050600842979,0.163362572147833,0.200474114310597,0.11795136006462954,1.0,65,N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9863436828486795,0.9799437471490865,0.16376131229213164,0.2002810398258973,0.11825459796734188,1.0,65,N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9862333675703523,0.979880956839703,0.16445266705209693,0.2005941662829608,0.11886137855986637,1.0,65,N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
