length,representation,representation_label,n_cells,l2_delta_mean,paired_cosine_mean,retrieval_top1_mean,n_features
56,p_msp,P+MSP,6,0.0374249222348302,0.9989576744741627,0.8801587301587301,86
57,ck4,CK4,6,0.2705216142252911,0.9504686342032036,1.0,136
57,ck4_msp,CK4+MSP,6,0.1937019742929905,0.9747058674627964,1.0,211
57,ck4_p,CK4+P,6,0.19347488059779694,0.9747391077300179,1.0,147
57,ck4_p_msp,CK4P-MSP,6,0.15991134807691246,0.9828071053941417,1.0,222
57,msp,MSP,6,0.0384920556908994,0.9989431007223892,0.8932539682539682,75
57,p,P,6,0.031056355513189356,0.9990095812568324,0.28293650793650793,11
57,p_msp,P+MSP,6,0.0370603810026807,0.998976340989611,0.8809523809523809,86
58,ck4,CK4,6,0.26923805557780667,0.9520253705580796,1.0,136
58,ck4_msp,CK4+MSP,6,0.19274535479092544,0.9755077272836862,1.0,211
58,ck4_p,CK4+P,6,0.19252290763572025,0.9755352374574217,1.0,147
58,ck4_p_msp,CK4P-MSP,6,0.15909501600555498,0.9833535196413788,1.0,222
58,msp,MSP,6,0.037875808547869615,0.998990084009293,0.8984126984126984,75
58,p,P,6,0.030537422715179424,0.999045104356764,0.2849206349206349,11
58,p_msp,P+MSP,6,0.03650753605523909,0.9990175941830285,0.8853174603174603,86
59,ck4,CK4,6,0.26693190803716565,0.9526410561387652,1.0,136
59,ck4_msp,CK4+MSP,6,0.19087724115977892,0.975864450442706,1.0,211
59,ck4_p,CK4+P,6,0.19084286309016818,0.9758564569239558,1.0,147
59,ck4_p_msp,CK4P-MSP,6,0.15753146606993643,0.983600252864853,1.0,222
59,msp,MSP,6,0.03602225745016473,0.9990878447466468,0.9317460317460317,75
59,p,P,6,0.03009972796551304,0.9990718577091465,0.2781746031746032,11
59,p_msp,P+MSP,6,0.03513239868548285,0.9990798512278966,0.9218253968253968,86
60,ck4,CK4,6,0.26297762164980715,0.9540874244663282,1.0,136
60,ck4_msp,CK4+MSP,6,0.1883574670438158,0.9765447614614704,1.0,211
60,ck4_p,CK4+P,6,0.18803012536294136,0.9765922822929136,1.0,147
60,ck4_p_msp,CK4P-MSP,6,0.15545750776096687,0.9840622210141466,1.0,222
60,msp,MSP,6,0.03754760376343479,0.9990020984566125,0.8861111111111111,75
60,p,P,6,0.029774634100719843,0.999097140119499,0.28134920634920635,11
60,p_msp,P+MSP,6,0.03605369237768726,0.9990496192880558,0.875,86
61,ck4,CK4,6,0.2604907705414233,0.9549609025673506,1.0,136
61,ck4_msp,CK4+MSP,6,0.18633957038682894,0.9770344631273259,1.0,211
61,ck4_p,CK4+P,6,0.18623373004522356,0.9770427627043609,1.0,147
61,ck4_p_msp,CK4P-MSP,6,0.1537821584175991,0.9843978496986744,1.0,222
61,msp,MSP,6,0.03557361832075488,0.9991080236873011,0.9297619047619047,75
61,p,P,6,0.029188325180186468,0.999124622841371,0.2992063492063492,11
61,p_msp,P+MSP,6,0.03448209212259575,0.9991163232643361,0.9099206349206349,86
