split,classifier,accuracy,macro_f1,n_features,task,group_col,group,label_col,length,condition,representation,n_samples,n_classes
holdout,nearest_centroid,0.21875,0.2174560041407867,147,all_labels,genus,Acinetobacter,label,75,N_3pct,cspaced_property_l2,320,4
holdout,nearest_centroid,0.2604166666666667,0.2547388781431334,1104,all_labels,genus,Acinetobacter,label,75,N_3pct,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.1770833333333333,0.1757426303854875,1200,all_labels,genus,Acinetobacter,label,75,N_3pct,rope_property,320,4
holdout,nearest_centroid,0.3055555555555556,0.2983164983164983,497,all_labels,genus,Burkholderia,label,75,N_3pct,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.2777777777777778,0.2626057402286309,136,all_labels,genus,Burkholderia,label,75,N_3pct,cspaced_count_l2,240,3
holdout,nearest_centroid,0.2638888888888889,0.2520716685330347,147,all_labels,genus,Burkholderia,label,75,N_3pct,cspaced_property_l2,240,3
holdout,nearest_centroid,0.3888888888888889,0.3882842645763072,1104,all_labels,genus,Burkholderia,label,75,N_3pct,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.3472222222222222,0.3473460334822107,1200,all_labels,genus,Burkholderia,label,75,N_3pct,rope_property,240,3
holdout,nearest_centroid,0.34375,0.3301404022334255,510,all_labels,genus,Candida,label,75,N_3pct,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.3333333333333333,0.3279961630042087,136,all_labels,genus,Candida,label,75,N_3pct,cspaced_count_l2,320,4
holdout,nearest_centroid,0.34375,0.3368376068376068,147,all_labels,genus,Candida,label,75,N_3pct,cspaced_property_l2,320,4
holdout,nearest_centroid,0.2916666666666667,0.2857142857142857,1104,all_labels,genus,Candida,label,75,N_3pct,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.2604166666666667,0.2426093167499633,1200,all_labels,genus,Candida,label,75,N_3pct,rope_property,320,4
holdout,nearest_centroid,0.1416666666666666,0.1402149974289567,511,all_labels,genus,Enterobacter,label,75,N_3pct,ckmer5_count_l2,400,5
holdout,nearest_centroid,0.225,0.2246179590717406,136,all_labels,genus,Enterobacter,label,75,N_3pct,cspaced_count_l2,400,5
holdout,nearest_centroid,0.225,0.2250227222672014,147,all_labels,genus,Enterobacter,label,75,N_3pct,cspaced_property_l2,400,5
holdout,nearest_centroid,0.2416666666666666,0.2427403514360036,1104,all_labels,genus,Enterobacter,label,75,N_3pct,spaced_kmer_phase,400,5
holdout,nearest_centroid,0.2,0.2013828361654448,1200,all_labels,genus,Enterobacter,label,75,N_3pct,rope_property,400,5
holdout,nearest_centroid,0.4375,0.4313295304958315,507,all_labels,genus,Escherichia,label,75,N_3pct,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.6458333333333334,0.6444444444444444,136,all_labels,genus,Escherichia,label,75,N_3pct,cspaced_count_l2,160,2
holdout,nearest_centroid,0.625,0.6223776223776224,147,all_labels,genus,Escherichia,label,75,N_3pct,cspaced_property_l2,160,2
holdout,nearest_centroid,0.5,0.4991304347826087,1104,all_labels,genus,Escherichia,label,75,N_3pct,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.5625,0.5607843137254902,1200,all_labels,genus,Escherichia,label,75,N_3pct,rope_property,160,2
holdout,nearest_centroid,0.4166666666666667,0.4185636856368564,509,all_labels,genus,Klebsiella,label,75,N_3pct,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.3472222222222222,0.3478787878787879,136,all_labels,genus,Klebsiella,label,75,N_3pct,cspaced_count_l2,240,3
holdout,nearest_centroid,0.3472222222222222,0.3476680946738371,147,all_labels,genus,Klebsiella,label,75,N_3pct,cspaced_property_l2,240,3
holdout,nearest_centroid,0.3333333333333333,0.322678232514298,1104,all_labels,genus,Klebsiella,label,75,N_3pct,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.3472222222222222,0.3398268398268398,1200,all_labels,genus,Klebsiella,label,75,N_3pct,rope_property,240,3
holdout,nearest_centroid,0.28125,0.275670011460472,512,all_labels,genus,Acinetobacter,label,125,clean,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.34375,0.3280082559339525,136,all_labels,genus,Acinetobacter,label,125,clean,cspaced_count_l2,320,4
holdout,nearest_centroid,0.3541666666666667,0.3361023187338977,147,all_labels,genus,Acinetobacter,label,125,clean,cspaced_property_l2,320,4
holdout,nearest_centroid,0.2395833333333333,0.2450622802312414,1904,all_labels,genus,Acinetobacter,label,125,clean,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.2395833333333333,0.237231556693001,2000,all_labels,genus,Acinetobacter,label,125,clean,rope_property,320,4
holdout,nearest_centroid,0.4583333333333333,0.4537180910099889,508,all_labels,genus,Burkholderia,label,125,clean,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.4305555555555556,0.4318783068783068,136,all_labels,genus,Burkholderia,label,125,clean,cspaced_count_l2,240,3
holdout,nearest_centroid,0.4027777777777778,0.4012368583797155,147,all_labels,genus,Burkholderia,label,125,clean,cspaced_property_l2,240,3
holdout,nearest_centroid,0.4583333333333333,0.4533411189372651,1904,all_labels,genus,Burkholderia,label,125,clean,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.3888888888888889,0.3872377622377622,2000,all_labels,genus,Burkholderia,label,125,clean,rope_property,240,3
holdout,nearest_centroid,0.3645833333333333,0.3486482619671052,512,all_labels,genus,Candida,label,125,clean,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.3854166666666667,0.3582599433663264,136,all_labels,genus,Candida,label,125,clean,cspaced_count_l2,320,4
holdout,nearest_centroid,0.3854166666666667,0.3629699608423012,147,all_labels,genus,Candida,label,125,clean,cspaced_property_l2,320,4
holdout,nearest_centroid,0.2604166666666667,0.2530363908032132,1904,all_labels,genus,Candida,label,125,clean,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.2291666666666666,0.2299074074074074,2000,all_labels,genus,Candida,label,125,clean,rope_property,320,4
holdout,nearest_centroid,0.2833333333333333,0.2768204479167934,510,all_labels,genus,Enterobacter,label,125,clean,ckmer5_count_l2,400,5
holdout,nearest_centroid,0.225,0.215856353801161,136,all_labels,genus,Enterobacter,label,125,clean,cspaced_count_l2,400,5
holdout,nearest_centroid,0.2333333333333333,0.225155037624806,147,all_labels,genus,Enterobacter,label,125,clean,cspaced_property_l2,400,5
holdout,nearest_centroid,0.175,0.1724027325606966,1904,all_labels,genus,Enterobacter,label,125,clean,spaced_kmer_phase,400,5
holdout,nearest_centroid,0.15,0.1505989352262644,2000,all_labels,genus,Enterobacter,label,125,clean,rope_property,400,5
holdout,nearest_centroid,0.5,0.4857142857142857,512,all_labels,genus,Escherichia,label,125,clean,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.625,0.6142857142857143,136,all_labels,genus,Escherichia,label,125,clean,cspaced_count_l2,160,2
holdout,nearest_centroid,0.625,0.6142857142857143,147,all_labels,genus,Escherichia,label,125,clean,cspaced_property_l2,160,2
holdout,nearest_centroid,0.6041666666666666,0.6026143790849673,1904,all_labels,genus,Escherichia,label,125,clean,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.4583333333333333,0.457391304347826,2000,all_labels,genus,Escherichia,label,125,clean,rope_property,160,2
holdout,nearest_centroid,0.3888888888888889,0.3865079365079365,511,all_labels,genus,Klebsiella,label,125,clean,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.4166666666666667,0.4069858712715855,136,all_labels,genus,Klebsiella,label,125,clean,cspaced_count_l2,240,3
holdout,nearest_centroid,0.4166666666666667,0.4069858712715855,147,all_labels,genus,Klebsiella,label,125,clean,cspaced_property_l2,240,3
holdout,nearest_centroid,0.375,0.3751206156221354,1904,all_labels,genus,Klebsiella,label,125,clean,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.3611111111111111,0.3580676328502415,2000,all_labels,genus,Klebsiella,label,125,clean,rope_property,240,3
holdout,nearest_centroid,0.2916666666666667,0.2878637566137566,512,all_labels,genus,Acinetobacter,label,125,N_3pct,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.3125,0.3023984722282163,136,all_labels,genus,Acinetobacter,label,125,N_3pct,cspaced_count_l2,320,4
holdout,nearest_centroid,0.3125,0.3029085318337861,147,all_labels,genus,Acinetobacter,label,125,N_3pct,cspaced_property_l2,320,4
holdout,nearest_centroid,0.25,0.2548662017998688,1904,all_labels,genus,Acinetobacter,label,125,N_3pct,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.2291666666666666,0.2209363806924782,2000,all_labels,genus,Acinetobacter,label,125,N_3pct,rope_property,320,4
holdout,nearest_centroid,0.4305555555555556,0.4295242611032084,506,all_labels,genus,Burkholderia,label,125,N_3pct,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.375,0.3746289141620262,136,all_labels,genus,Burkholderia,label,125,N_3pct,cspaced_count_l2,240,3
holdout,nearest_centroid,0.4027777777777778,0.4023892773892774,147,all_labels,genus,Burkholderia,label,125,N_3pct,cspaced_property_l2,240,3
holdout,nearest_centroid,0.4027777777777778,0.4021935632100512,1904,all_labels,genus,Burkholderia,label,125,N_3pct,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.3888888888888889,0.3849067599067599,2000,all_labels,genus,Burkholderia,label,125,N_3pct,rope_property,240,3
holdout,nearest_centroid,0.375,0.3662878787878788,512,all_labels,genus,Candida,label,125,N_3pct,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.375,0.3567122281427735,136,all_labels,genus,Candida,label,125,N_3pct,cspaced_count_l2,320,4
holdout,nearest_centroid,0.3958333333333333,0.3790551116718064,147,all_labels,genus,Candida,label,125,N_3pct,cspaced_property_l2,320,4
holdout,nearest_centroid,0.25,0.2457723316936869,1904,all_labels,genus,Candida,label,125,N_3pct,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.2083333333333333,0.2087418300653594,2000,all_labels,genus,Candida,label,125,N_3pct,rope_property,320,4
holdout,nearest_centroid,0.25,0.2510675381263616,508,all_labels,genus,Enterobacter,label,125,N_3pct,ckmer5_count_l2,400,5
holdout,nearest_centroid,0.25,0.2440769951116121,136,all_labels,genus,Enterobacter,label,125,N_3pct,cspaced_count_l2,400,5
holdout,nearest_centroid,0.275,0.2629766833779743,147,all_labels,genus,Enterobacter,label,125,N_3pct,cspaced_property_l2,400,5
holdout,nearest_centroid,0.2,0.2009184884587553,1904,all_labels,genus,Enterobacter,label,125,N_3pct,spaced_kmer_phase,400,5
holdout,nearest_centroid,0.1583333333333333,0.1623391664071102,2000,all_labels,genus,Enterobacter,label,125,N_3pct,rope_property,400,5
holdout,nearest_centroid,0.4375,0.4313295304958315,512,all_labels,genus,Escherichia,label,125,N_3pct,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.625,0.6190476190476191,136,all_labels,genus,Escherichia,label,125,N_3pct,cspaced_count_l2,160,2
holdout,nearest_centroid,0.6875,0.6840719613865731,147,all_labels,genus,Escherichia,label,125,N_3pct,cspaced_property_l2,160,2
holdout,nearest_centroid,0.5833333333333334,0.5833333333333334,1904,all_labels,genus,Escherichia,label,125,N_3pct,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.5,0.4991304347826087,2000,all_labels,genus,Escherichia,label,125,N_3pct,rope_property,160,2
holdout,nearest_centroid,0.3055555555555556,0.3013945119208277,511,all_labels,genus,Klebsiella,label,125,N_3pct,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.3333333333333333,0.3296491484897282,136,all_labels,genus,Klebsiella,label,125,N_3pct,cspaced_count_l2,240,3
holdout,nearest_centroid,0.3611111111111111,0.3526570048309179,147,all_labels,genus,Klebsiella,label,125,N_3pct,cspaced_property_l2,240,3
holdout,nearest_centroid,0.4027777777777778,0.4028368794326241,1904,all_labels,genus,Klebsiella,label,125,N_3pct,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.3472222222222222,0.3484886862546437,2000,all_labels,genus,Klebsiella,label,125,N_3pct,rope_property,240,3
holdout,nearest_centroid,0.21875,0.2178334330957174,512,all_labels,genus,Acinetobacter,label,150,clean,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.2083333333333333,0.2025297116482526,136,all_labels,genus,Acinetobacter,label,150,clean,cspaced_count_l2,320,4
holdout,nearest_centroid,0.21875,0.2119677120270196,147,all_labels,genus,Acinetobacter,label,150,clean,cspaced_property_l2,320,4
holdout,nearest_centroid,0.34375,0.343955938697318,2304,all_labels,genus,Acinetobacter,label,150,clean,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.3958333333333333,0.3967893019424287,2400,all_labels,genus,Acinetobacter,label,150,clean,rope_property,320,4
holdout,nearest_centroid,0.3055555555555556,0.3029548229548229,509,all_labels,genus,Burkholderia,label,150,clean,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.4166666666666667,0.4152617568766636,136,all_labels,genus,Burkholderia,label,150,clean,cspaced_count_l2,240,3
holdout,nearest_centroid,0.4166666666666667,0.4144680851063829,147,all_labels,genus,Burkholderia,label,150,clean,cspaced_property_l2,240,3
holdout,nearest_centroid,0.3194444444444444,0.3195529985043663,2304,all_labels,genus,Burkholderia,label,150,clean,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.3194444444444444,0.3128016673979816,2400,all_labels,genus,Burkholderia,label,150,clean,rope_property,240,3
holdout,nearest_centroid,0.3645833333333333,0.3484789264543027,511,all_labels,genus,Candida,label,150,clean,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.375,0.3617825096140151,136,all_labels,genus,Candida,label,150,clean,cspaced_count_l2,320,4
holdout,nearest_centroid,0.3854166666666667,0.3701925234748716,147,all_labels,genus,Candida,label,150,clean,cspaced_property_l2,320,4
holdout,nearest_centroid,0.2604166666666667,0.2607342030244105,2304,all_labels,genus,Candida,label,150,clean,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.2083333333333333,0.207307677095883,2400,all_labels,genus,Candida,label,150,clean,rope_property,320,4
holdout,nearest_centroid,0.2166666666666666,0.2172964709708896,512,all_labels,genus,Enterobacter,label,150,clean,ckmer5_count_l2,400,5
holdout,nearest_centroid,0.2166666666666666,0.213326882760845,136,all_labels,genus,Enterobacter,label,150,clean,cspaced_count_l2,400,5
holdout,nearest_centroid,0.2166666666666666,0.2132679215032831,147,all_labels,genus,Enterobacter,label,150,clean,cspaced_property_l2,400,5
holdout,nearest_centroid,0.2083333333333333,0.2074441331509832,2304,all_labels,genus,Enterobacter,label,150,clean,spaced_kmer_phase,400,5
holdout,nearest_centroid,0.2083333333333333,0.1946514083952018,2400,all_labels,genus,Enterobacter,label,150,clean,rope_property,400,5
holdout,nearest_centroid,0.3541666666666667,0.3538862353452019,508,all_labels,genus,Escherichia,label,150,clean,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.2916666666666667,0.2916666666666667,136,all_labels,genus,Escherichia,label,150,clean,cspaced_count_l2,160,2
holdout,nearest_centroid,0.3125,0.3122014763352149,147,all_labels,genus,Escherichia,label,150,clean,cspaced_property_l2,160,2
holdout,nearest_centroid,0.3541666666666667,0.3538862353452019,2304,all_labels,genus,Escherichia,label,150,clean,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.375,0.365079365079365,2400,all_labels,genus,Escherichia,label,150,clean,rope_property,160,2
holdout,nearest_centroid,0.3611111111111111,0.3592270531400965,512,all_labels,genus,Klebsiella,label,150,clean,ckmer5_count_l2,240,3
