split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,nearest_centroid,0.9940000000000001,0.9939981993397419,69,right,one_hot,500,345,0.008000000000000007,0.008002901214878018
5fold_grouped_cv,logistic,0.9800000000000001,0.9799679318387243,69,right,one_hot,500,345,0.018973665961010293,0.019016154392408516
holdout,nearest_centroid,0.9940476190476191,0.9940474081422952,69,right,base_property,500,690,,
holdout,logistic,0.9940476190476191,0.9940474081422952,69,right,base_property,500,690,,
5fold_grouped_cv,nearest_centroid,0.998,0.9979997999799981,69,right,base_property,500,690,0.0040000000000000036,0.004000400040003971
5fold_grouped_cv,logistic,0.992,0.9919967987194876,69,right,base_property,500,690,0.00979795897113272,0.009801879723021965
holdout,nearest_centroid,0.8571428571428571,0.8564102564102565,69,right,kmer_property,500,1040,,
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,kmer_property,500,1040,,
5fold_grouped_cv,nearest_centroid,0.85,0.8488863995871,69,right,kmer_property,500,1040,0.0551361950083609,0.055768479421607085
5fold_grouped_cv,logistic,0.9899999999999999,0.9899965986994858,69,right,kmer_property,500,1040,0.008944271909999166,0.008947851130966133
holdout,nearest_centroid,0.8630952380952381,0.8613214657431001,100,center,ckmer4_count_l2,500,136,,
holdout,logistic,0.8988095238095238,0.8987198127593177,100,center,ckmer4_count_l2,500,136,,
5fold_grouped_cv,nearest_centroid,0.906,0.9055503051847802,100,center,ckmer4_count_l2,500,136,0.03498571136907181,0.03522368481761174
5fold_grouped_cv,logistic,0.9119999999999999,0.9118676515654874,100,center,ckmer4_count_l2,500,136,0.03310589071449369,0.03320658142088433
holdout,nearest_centroid,0.8571428571428571,0.8550891316848763,100,center,ckmer4_property_l2,500,147,,
holdout,logistic,0.9166666666666666,0.9166548547129695,100,center,ckmer4_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.9019999999999999,0.9014722523559218,100,center,ckmer4_property_l2,500,147,0.0331058907144937,0.03332607173258785
5fold_grouped_cv,logistic,0.9200000000000002,0.91993351548108,100,center,ckmer4_property_l2,500,147,0.02366431913239846,0.02371820091390378
holdout,nearest_centroid,0.8690476190476191,0.8675268817204301,100,center,ck4p_msp,500,222,,
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.9179999999999999,0.9175283988871084,100,center,ck4p_msp,500,222,0.027856776554368225,0.0281556044583963
5fold_grouped_cv,logistic,0.9780000000000001,0.97798578897073,100,center,ck4p_msp,500,222,0.007483314773547889,0.007493695086588851
holdout,nearest_centroid,0.5297619047619048,0.5236693823349963,100,center,cspaced_property_l2,500,147,,
holdout,logistic,0.625,0.6227410443771164,100,center,cspaced_property_l2,500,147,,
5fold_grouped_cv,nearest_centroid,0.59,0.5890712593216023,100,center,cspaced_property_l2,500,147,0.047749345545253306,0.04790718458516179
5fold_grouped_cv,logistic,0.6599999999999999,0.6585729494707818,100,center,cspaced_property_l2,500,147,0.05477225575051661,0.05546269232413716
holdout,nearest_centroid,1.0,1.0,100,center,property_channels,500,500,,
holdout,logistic,1.0,1.0,100,center,property_channels,500,500,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,center,property_channels,500,500,0.0,0.0
