sample_id,length,local_mode,representation,noise_cosine,local_cosine,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features,density,avg_nnz_per_read
L150_center_00079,150,center,kmer_property,0.988032178691607,0.9686331183609014,0.15471148185181802,0.25046709020986563,0.09575560835804761,1.6189301996975372,2336,1.0,2336.0
L150_center_00080,150,center,kmer_property,0.99031550128249,0.9704698027937468,0.13917254555054887,0.24302344416229582,0.10385089861174696,1.7462024798132851,2336,1.0,2336.0
L150_center_00081,150,center,kmer_property,0.9897538397381409,0.9919376134038974,0.14315139022628492,0.12698335793404059,-0.01616803229224434,0.8870564074390971,2336,1.0,2336.0
L150_center_00082,150,center,kmer_property,0.9842660432433019,0.9713827312417781,0.17739197702657558,0.23923740827145756,0.06184543124488198,1.3486371383955924,2336,1.0,2336.0
L150_center_00083,150,center,kmer_property,0.9884535666271155,0.9898301601441795,0.15196337304024432,0.14261724899758707,-0.00934612404265725,0.9384975217667607,2336,1.0,2336.0
L150_center_00084,150,center,kmer_property,0.9861585744971664,0.9925341662243281,0.1663816426342375,0.12219520265273884,-0.044186439981498654,0.7344271923157097,2336,1.0,2336.0
L150_center_00085,150,center,kmer_property,0.987885327795722,0.9722624176428127,0.15565777978808376,0.23553166393156932,0.07987388414348556,1.5131377580499208,2336,1.0,2336.0
L150_center_00086,150,center,kmer_property,0.9867057695888369,0.9861353287514427,0.16305968484677147,0.16652129742803873,0.0034616125812672593,1.0212291136495215,2336,1.0,2336.0
L150_center_00087,150,center,kmer_property,0.9814050402822785,0.9893247663848438,0.19284688080298948,0.14611799078249096,-0.046728890020498515,0.7576891582278881,2336,1.0,2336.0
L150_center_00088,150,center,kmer_property,0.9846445639411652,0.9918390696835412,0.17524517715951846,0.12775703750838388,-0.047488139651134575,0.7290188499287026,2336,1.0,2336.0
L150_center_00089,150,center,kmer_property,0.98934434711682,0.9695063136840301,0.14598392297222212,0.24695621602207113,0.100972293049849,1.6916672123481848,2336,1.0,2336.0
L150_center_00090,150,center,kmer_property,0.9860777476399578,0.9815042890591256,0.16686672742067393,0.19233154156755186,0.02546481414687793,1.1526057024099279,2336,1.0,2336.0
L150_center_00091,150,center,kmer_property,0.9858545052652622,0.9863448258490556,0.16819925525838222,0.16525842883764763,-0.0029408264207345935,0.9825158178244191,2336,1.0,2336.0
L150_center_00092,150,center,kmer_property,0.9839256656769524,0.9902592135627319,0.1793004981758054,0.1395764051497709,-0.039724093026034496,0.778449622671518,2336,1.0,2336.0
L150_center_00093,150,center,kmer_property,0.9891356835134214,0.9896796782151327,0.14740635323199636,0.14366851975897307,-0.003737833473023283,0.9746426569067856,2336,1.0,2336.0
