length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_n_valid,selective_sensitivity_ratio_valid_fraction,selective_sensitivity_ratio_denominator_tolerance,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets
69,right,ck4_msp,0.27123394389235284,0.22566820872851673,-0.04556573516383607,-0.049930345092009464,-0.041403986979297806,0.8431733558214729,250,1.0,1e-08,0.8270678209402412,0.8588152261555162,0.9626825467603838,0.9742844806716439,211,0.5312669826224329,112.09733333333334,250
69,right,ck4p_msp,0.2215141166591312,0.18434763199627963,-0.037166484662851586,-0.04072633186515843,-0.033770979187083834,0.8433724576722256,250,1.0,1e-08,0.8272601962207465,0.8590108655831385,0.9751102394390679,0.9828398237721306,222,0.549987987987988,122.09733333333334,250
100,center,ck4,0.3631874701911129,0.2667251335288596,-0.09646233666225329,-0.10157255967358461,-0.09129318141925331,0.7430221580119989,250,1.0,1e-08,0.7309861888479976,0.7555796732513576,0.9333471855418491,0.9642350179035768,136,0.5054803921568627,68.74533333333333,250
100,center,ck4_p,0.2568574596974201,0.18869758141983028,-0.06815987827758982,-0.0717695838907701,-0.06450148242647712,0.7432665582444037,250,1.0,1e-08,0.7312162002812788,0.7558397352999379,0.966661929692535,0.9820996623138647,147,0.5356825396825396,78.74533333333333,250
100,center,ck4_msp,0.2571455725173468,0.18929537177284134,-0.06785020074450543,-0.07144047560691638,-0.06416723152910639,0.744745372191487,250,1.0,1e-08,0.7326594812622936,0.7573799601841271,0.9665889334497207,0.9819867198426484,211,0.6101674565560822,128.74533333333332,250
100,center,ck4p_msp,0.20999528147548877,0.1546357734165649,-0.05535950805892386,-0.058287896886754974,-0.05234974256016684,0.7449876339084311,250,1.0,1e-08,0.7329048775951998,0.757637698793992,0.9777181802475543,0.9879792488031499,222,0.624978978978979,138.74533333333332,250
100,jittered,ck4,0.3672232522909847,0.2676402429305549,-0.09958300936042978,-0.1047503263562933,-0.0945808884181595,0.7354499842091886,250,1.0,1e-08,0.7250193645176174,0.7465398882689218,0.931903248378687,0.9639783646619492,136,0.5067549019607843,68.91866666666667,250
100,jittered,ck4_p,0.25971341332690634,0.18935320726687674,-0.07036020606002957,-0.07401565518325391,-0.06682222217288113,0.7357151990487917,250,1.0,1e-08,0.7252724900862325,0.7468071359084446,0.9659394212854313,0.9819695170534083,147,0.5368616780045351,78.91866666666667,250
100,jittered,ck4_msp,0.26001420527119967,0.19001403072868261,-0.07000017454251703,-0.07360913853516865,-0.06651362253291462,0.7373952553955946,250,1.0,1e-08,0.7269258357367179,0.7485268551554806,0.9658622229237599,0.9818429461553344,211,0.6109889415481833,128.91866666666667,250
100,jittered,ck4p_msp,0.2123393196012655,0.1552293666119699,-0.05710995298929561,-0.06005053034630049,-0.054267103296887144,0.7376575134512874,250,1.0,1e-08,0.7271733026940003,0.7487910790508846,0.9772333466798986,0.9878821872518454,222,0.6257597597597597,138.91866666666667,250
100,left,ck4,0.36636149292745007,0.268254641950286,-0.09810685097716412,-0.10250401026649894,-0.09386690416680622,0.7377642898798754,250,1.0,1e-08,0.7275318322796784,0.7483806588622579,0.9322618548633982,0.9637789749464732,136,0.5071078431372549,68.96666666666667,250
100,left,ck4_p,0.259100908993727,0.1897789613898102,-0.06932194760391684,-0.07243158529760915,-0.06632312980801332,0.7380034097787582,250,1.0,1e-08,0.7277522781861175,0.7486320587312143,0.9661195566724589,0.9818715019377486,147,0.5371882086167801,78.96666666666667,250
100,left,ck4_msp,0.2593849573690628,0.19036215440364287,-0.06902280296541997,-0.07213349193138008,-0.06601580185454775,0.7394459307690888,250,1.0,1e-08,0.7290899425059727,0.7501435244100066,0.9660464761620782,0.9817599488142408,211,0.611216429699842,128.96666666666667,250
100,left,ck4p_msp,0.2118229792043858,0.1555066251811852,-0.056316354023200586,-0.05885892859365635,-0.053860280881151114,0.7396826875036415,250,1.0,1e-08,0.7293028171778548,0.7503924513403639,0.9773567369352253,0.9878279755191686,222,0.625975975975976,138.96666666666667,250
100,right,ck4,0.36582897469832987,0.26906864423475063,-0.09676033046357926,-0.10160340400219653,-0.09256356305752725,0.7409280160651595,250,1.0,1e-08,0.7303457443526332,0.7500830198779317,0.9325486042967607,0.9635852109733192,136,0.5071960784313726,68.97866666666667,250
100,right,ck4_p,0.2587255103988758,0.1903535352575044,-0.06837197514137149,-0.07180092341417432,-0.06540263701787552,0.7411566036507174,250,1.0,1e-08,0.7305807092538616,0.7503077245794474,0.9662626863284356,0.9817748070399906,147,0.5372698412698412,78.97866666666667,250
100,right,ck4_msp,0.2590085357885271,0.19093035723218044,-0.06807817855634667,-0.07153220419523572,-0.06510385973517384,0.7425660616874097,250,1.0,1e-08,0.7320584959481373,0.7517769758751175,0.9661899725297728,0.9816645289128726,211,0.6112733017377567,128.97866666666667,250
100,right,ck4p_msp,0.21151656623910817,0.15596974348221784,-0.055546822756890324,-0.05836853489902781,-0.053118825661116684,0.7427924096565068,250,1.0,1e-08,0.7322894892608829,0.7520018352917445,0.9774522378065519,0.987764486977469,222,0.62603003003003,138.97866666666667,250
150,center,ck4,0.30994381648640296,0.2101073579203245,-0.09983645856607846,-0.10402517592438594,-0.09585055663812773,0.6827213930854918,250,1.0,1e-08,0.6716504792432854,0.6928258062696866,0.9515757639637977,0.9777123072475499,136,0.6526862745098039,88.76533333333333,250
150,center,ck4_p,0.2191964285879935,0.14863055439745823,-0.07056587419053527,-0.0735242855480391,-0.06774661439228337,0.6829008447977494,250,1.0,1e-08,0.6718301521358102,0.6930208621081507,0.9757807505381403,0.988846808230762,147,0.6718730158730158,98.76533333333333,250
150,center,ck4_msp,0.21940426205285948,0.1491068029351616,-0.07029745911769786,-0.07319796494839695,-0.06752185919955384,0.6844233964638574,250,1.0,1e-08,0.6736392682911507,0.6943420791806629,0.9757353096165,0.9887835263216285,211,0.7050489731437599,148.76533333333333,250
150,center,ck4p_msp,0.17916978484237348,0.12179577919949845,-0.05737400564287503,-0.059739474850865316,-0.05510474680396658,0.6846013066834197,250,1.0,1e-08,0.6738264208904344,0.6945099699521358,0.9838187854484943,0.9925161206190771,222,0.7151591591591592,158.76533333333333,250
150,jittered,ck4,0.3122571830953348,0.21255531130394195,-0.0997018717913928,-0.10354396244761527,-0.09585711201617383,0.6853379732135616,250,1.0,1e-08,0.6750006588556969,0.6951333609885723,0.9508643519531704,0.9772410487402082,136,0.6525490196078432,88.74666666666667,250
150,jittered,ck4_p,0.2208312025298183,0.1503646212592924,-0.07046658127052596,-0.07317934446918892,-0.06775360837173003,0.685535640588194,250,1.0,1e-08,0.6752088672327667,0.6953405608549256,0.9754250750496767,0.9886106019215287,147,0.6717460317460318,98.74666666666667,250
150,jittered,ck4_msp,0.22103250025272572,0.15079823832648087,-0.07023426192624484,-0.07293786620720041,-0.06753855098902876,0.6868645860779427,250,1.0,1e-08,0.6766008723105486,0.6966386060966117,0.9753809133869947,0.9885443989794167,211,0.704960505529226,148.74666666666667,250
150,jittered,ck4p_msp,0.18049840290225805,0.12317928201522643,-0.057319120887031616,-0.05952150258001498,-0.055111863141753654,0.6870603570106542,250,1.0,1e-08,0.6768086541911743,0.6968565395038566,0.9835825416400575,0.9923563176872275,222,0.7150750750750751,158.74666666666667,250
150,left,ck4,0.3137563124457289,0.21139441486179697,-0.10236189758393197,-0.10602428422562633,-0.09905518932474454,0.6774171450953815,250,1.0,1e-08,0.6690069053948208,0.6861100074830845,0.9504344413732027,0.9774990698327287,136,0.6543627450980393,88.99333333333334,250
150,left,ck4_p,0.2218898067848412,0.14954501455759361,-0.07234479222724753,-0.0749331661154601,-0.07000585159519404,0.6776266579536128,250,1.0,1e-08,0.6691884612624246,0.6863296484191899,0.9752104390224131,0.9887395818475211,147,0.6734240362811791,98.99333333333334,250
150,left,ck4_msp,0.22208519600029472,0.14997115343475298,-0.07211404256554176,-0.07468367195150706,-0.06976368150684162,0.6789531966743584,250,1.0,1e-08,0.6704780326347698,0.687697525876238,0.975167380588278,0.9886754634441128,211,0.706129541864139,148.99333333333334,250
150,left,ck4p_msp,0.18135675194209183,0.12250502026304397,-0.05885173167904784,-0.06094164410865575,-0.056935236120719476,0.6791608079224283,250,1.0,1e-08,0.6707086817811885,0.6879155025273356,0.9834403992827268,0.9924436735835132,222,0.7161861861861862,158.99333333333334,250
150,right,ck4,0.315788831718552,0.2107181548577805,-0.10507067686077153,-0.10854967067022918,-0.10160830242686412,0.6711433399674754,250,1.0,1e-08,0.6612470534247759,0.6811252649315227,0.9497937918579471,0.9776066205645185,136,0.6549607843137255,89.07466666666667,250
150,right,ck4_p,0.22332663061457686,0.1490666128444557,-0.07426001777012116,-0.07671933959492414,-0.07181002376669046,0.6713517146231186,250,1.0,1e-08,0.6614770703834396,0.6813573205364966,0.9748901367015302,0.9887934021764658,147,0.6739773242630386,99.07466666666667,250
150,right,ck4_msp,0.22353208460618662,0.14950738402767724,-0.07402470057850939,-0.07649207631806092,-0.07155682595813104,0.6727030904110304,250,1.0,1e-08,0.6628818855890753,0.6826921360728587,0.9748445682464189,0.9887270839616672,211,0.7065150078988942,149.07466666666667,250
150,right,ck4p_msp,0.18253781728170287,0.12212616957307014,-0.06041164770863273,-0.06242680824067455,-0.05839299545606582,0.6729095427882037,250,1.0,1e-08,0.6631097922686944,0.6828806565582127,0.9832252060126503,0.9924781172372493,222,0.7165525525525526,159.07466666666667,250
