representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ckmer7_count_l2,logistic,2252,30,8186,0.20562130177514792,0.18719121315407697,label_probe,75,clean,label
ckmer7_count_l2,mlp,2252,30,8186,0.14053254437869822,0.12376619453184963,label_probe,75,clean,label
cspaced_count_l2,nearest_centroid,2252,30,136,0.17455621301775148,0.1572033267186901,label_probe,75,clean,label
cspaced_count_l2,logistic,2252,30,136,0.128698224852071,0.12140166210993174,label_probe,75,clean,label
cspaced_count_l2,mlp,2252,30,136,0.14644970414201183,0.13209985030118038,label_probe,75,clean,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.17455621301775148,0.1589858005710169,label_probe,75,clean,label
cspaced_property_l2,logistic,2252,30,147,0.11982248520710059,0.11219545217671589,label_probe,75,clean,label
cspaced_property_l2,mlp,2252,30,147,0.14940828402366865,0.14125749067941487,label_probe,75,clean,label
hybrid_ckmer5_csp,nearest_centroid,2252,30,659,0.3121301775147929,0.2924650603064782,label_probe,75,clean,label
hybrid_ckmer5_csp,logistic,2252,30,659,0.2470414201183432,0.23398226810747547,label_probe,75,clean,label
hybrid_ckmer5_csp,mlp,2252,30,659,0.22928994082840237,0.21515114602812763,label_probe,75,clean,label
minhash_k5_s128,nearest_centroid,2252,30,128,0.15828402366863906,0.14861993406446744,label_probe,75,clean,label
minhash_k5_s128,logistic,2252,30,128,0.11390532544378698,0.10896118143762555,label_probe,75,clean,label
minhash_k5_s128,mlp,2252,30,128,0.1346153846153846,0.12236106012615451,label_probe,75,clean,label
eiip_l2,nearest_centroid,2252,30,75,0.03994082840236687,0.037986127086754244,label_probe,75,clean,label
eiip_l2,logistic,2252,30,75,0.05621301775147929,0.055202656197997205,label_probe,75,clean,label
eiip_l2,mlp,2252,30,75,0.04585798816568047,0.040383210205398666,label_probe,75,clean,label
eiip_summary_l2,nearest_centroid,2252,30,8,0.09171597633136094,0.06929776514533711,label_probe,75,clean,label
eiip_summary_l2,logistic,2252,30,8,0.12721893491124261,0.09645125812563335,label_probe,75,clean,label
eiip_summary_l2,mlp,2252,30,8,0.09911242603550297,0.0546678335076845,label_probe,75,clean,label
ckmer5_count_l2,nearest_centroid,160,2,511,0.75,0.7386569872958257,target_background,75,clean,target_binary
ckmer5_count_l2,logistic,160,2,511,0.7708333333333334,0.7683194383501536,target_background,75,clean,target_binary
ckmer5_count_l2,mlp,160,2,511,0.75,0.7386569872958257,target_background,75,clean,target_binary
ckmer7_count_l2,nearest_centroid,160,2,5516,0.7291666666666666,0.7141548327989007,target_background,75,clean,target_binary
ckmer7_count_l2,logistic,160,2,5516,0.7291666666666666,0.7232815964523283,target_background,75,clean,target_binary
ckmer7_count_l2,mlp,160,2,5516,0.6875,0.6761133603238867,target_background,75,clean,target_binary
cspaced_count_l2,nearest_centroid,160,2,136,0.7291666666666666,0.7192982456140351,target_background,75,clean,target_binary
cspaced_count_l2,logistic,160,2,136,0.75,0.7482517482517483,target_background,75,clean,target_binary
cspaced_count_l2,mlp,160,2,136,0.6666666666666666,0.6643356643356644,target_background,75,clean,target_binary
cspaced_property_l2,nearest_centroid,160,2,147,0.7291666666666666,0.7192982456140351,target_background,75,clean,target_binary
cspaced_property_l2,logistic,160,2,147,0.7708333333333334,0.7699346405228757,target_background,75,clean,target_binary
cspaced_property_l2,mlp,160,2,147,0.6875,0.6862745098039216,target_background,75,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,160,2,658,0.75,0.7428571428571429,target_background,75,clean,target_binary
hybrid_ckmer5_csp,logistic,160,2,658,0.7916666666666666,0.7902097902097902,target_background,75,clean,target_binary
hybrid_ckmer5_csp,mlp,160,2,658,0.7916666666666666,0.7857142857142857,target_background,75,clean,target_binary
minhash_k5_s128,nearest_centroid,160,2,128,0.7916666666666666,0.7902097902097902,target_background,75,clean,target_binary
minhash_k5_s128,logistic,160,2,128,0.6458333333333334,0.6381374722838138,target_background,75,clean,target_binary
