length,condition,representation,n_pairs,n_features,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
69,local_mismatch_6bp,CK4+P_train_zscore,250,147,0.98,0.9219057504794681,0.8129708559892476,0.37730799292693745,0.6115867873983718,0.17522592434792966,0.98
69,local_mismatch_6bp,CK4+P_unit_range,250,147,1.0,0.9599015007976425,0.9441473348481293,0.2811787179385384,0.33422228159237466,0.15653646295476872,1.0
69,local_mismatch_6bp,CK4P-MSP_declared,250,222,1.0,0.9731719561488344,0.9627833919743142,0.23000253506084326,0.27282202525242827,0.10495929779882321,1.0
69,local_mismatch_6bp,CK4P-MSP_train_zscore,250,222,0.992,0.9089058758399985,0.7845438563721309,0.40431047962636296,0.6564361599567468,0.2081710017140198,0.992
69,local_mismatch_6bp,CK4P-MSP_unit_range,250,222,1.0,0.9712481123103892,0.9602345711954958,0.23815548842908332,0.2820110301137055,0.11400741723828382,1.0
69,short_indel,P_declared,250,11,0.804,0.9999938189858434,0.9999753701667156,0.002279208714688297,0.007018515154257676,3.076755109284646e-05,0.772
69,short_indel,P_train_zscore,250,11,0.848,0.9925057041936418,0.9667560368602679,0.07394122552034851,0.25785252101591233,0.01737245422187804,0.832
69,short_indel,P_unit_range,250,11,0.844,0.9999721773593747,0.9998685232126606,0.004863687001293993,0.016215592452079323,0.00020667881335794736,0.824
69,short_indel,MSP_declared,250,75,1.0,0.9998926404904196,0.99960501021543,0.00980079770270761,0.02810650770976715,0.00177227389158015,1.0
69,short_indel,MSP_train_zscore,250,75,0.992,0.9847761762658829,0.9344537455649317,0.11310077741222811,0.3620664926477597,0.21666436345494597,0.992
69,short_indel,MSP_unit_range,250,75,1.0,0.9993064088050152,0.9973886409920386,0.02487843690738005,0.07226796396906927,0.012689735835341004,1.0
69,short_indel,CK4+P_declared,250,147,1.0,0.9916091384541759,0.970131127927376,0.08633297990950421,0.24441300758414575,0.1819376459855078,1.0
69,short_indel,CK4+P_train_zscore,250,147,1.0,0.9878650810580752,0.9552090168206497,0.10342428459756303,0.2993024510583641,0.23589195866220558,1.0
69,short_indel,CK4+P_unit_range,250,147,1.0,0.9915983176409414,0.9701095103483247,0.08639393421087954,0.24450143113889938,0.18383025375289144,1.0
69,short_indel,CK4P-MSP_declared,250,222,1.0,0.9943703057995904,0.9799358185390334,0.0707453872460949,0.20032052530729838,0.12308273344788918,1.0
69,short_indel,CK4P-MSP_train_zscore,250,222,1.0,0.9868354461273444,0.9483602731075623,0.10813705713782897,0.32136437947165664,0.27829802595838465,1.0
69,short_indel,CK4P-MSP_unit_range,250,222,1.0,0.9941676813622994,0.9792344553056729,0.07215177935737126,0.20379089792684668,0.13387297460502448,1.0
75,substitution_1pct,P_declared,250,11,0.636,0.9999874096943313,0.9999514984975462,0.0034718017855587305,0.009849008884593542,1.276701603256969e-05,0.616
75,substitution_1pct,P_train_zscore,250,11,0.764,0.992019109465986,0.9645799753520821,0.08068373964676107,0.2661566253525022,0.010749779665780486,0.756
75,substitution_1pct,P_unit_range,250,11,0.712,0.9999361372426822,0.9997584075973068,0.007887829127325392,0.021972338749780707,0.00012339511327058128,0.692
75,substitution_1pct,MSP_declared,250,75,1.0,0.9999152950115052,0.9996949802403694,0.009337534469522442,0.02469879330734392,0.001651387214013054,1.0
75,substitution_1pct,MSP_train_zscore,250,75,1.0,0.9875768332972624,0.9558408076341659,0.11038685770208363,0.2971840269413876,0.21513607858952224,1.0
75,substitution_1pct,MSP_unit_range,250,75,1.0,0.9994169386178499,0.9980282315025972,0.024518185035000358,0.06279720190968091,0.011792246551297174,1.0
75,substitution_1pct,CK4+P_declared,250,147,1.0,0.9875432833448695,0.9605845144097347,0.11444902643030536,0.28076598130323716,0.1759505238745423,1.0
