representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ck4_p,nearest_centroid,160,2,147,0.9583333333333334,0.9582608695652174,target_background,75,N_3pct,target_binary
ck4_p,logistic,160,2,147,0.8958333333333334,0.8954248366013071,target_background,75,N_3pct,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.9583333333333334,0.9582608695652174,target_background,75,N_3pct,target_binary
ck4p_msp,logistic,160,2,222,0.9166666666666666,0.9166666666666666,target_background,75,N_3pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.9583333333333334,0.9582608695652174,target_background,75,N_3pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.9375,0.9374728614850196,target_background,75,N_3pct,target_binary
ck4,nearest_centroid,2252,30,136,0.3136094674556213,0.29287437718244397,label_probe,75,substitution_1pct,label
ck4,logistic,2252,30,136,0.23668639053254437,0.22717650127077857,label_probe,75,substitution_1pct,label
ck4_p,nearest_centroid,2252,30,147,0.3121301775147929,0.2921906339983041,label_probe,75,substitution_1pct,label
ck4_p,logistic,2252,30,147,0.2411242603550296,0.23063960295836863,label_probe,75,substitution_1pct,label
ck4p_msp,nearest_centroid,2252,30,222,0.3121301775147929,0.29228897769593215,label_probe,75,substitution_1pct,label
ck4p_msp,logistic,2252,30,222,0.23520710059171598,0.22616695108337964,label_probe,75,substitution_1pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.29142011834319526,0.2717091415126391,label_probe,75,substitution_1pct,label
ckmer5_count_l2,logistic,2252,30,512,0.22633136094674555,0.21269095610661004,label_probe,75,substitution_1pct,label
ck4,nearest_centroid,160,2,136,0.9375,0.9372549019607843,target_background,75,substitution_1pct,target_binary
ck4,logistic,160,2,136,0.8125,0.8124185844550587,target_background,75,substitution_1pct,target_binary
ck4_p,nearest_centroid,160,2,147,0.9375,0.9372549019607843,target_background,75,substitution_1pct,target_binary
ck4_p,logistic,160,2,147,0.8125,0.8124185844550587,target_background,75,substitution_1pct,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.9375,0.9372549019607843,target_background,75,substitution_1pct,target_binary
ck4p_msp,logistic,160,2,222,0.8333333333333334,0.8333333333333334,target_background,75,substitution_1pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.9583333333333334,0.9582608695652174,target_background,75,substitution_1pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.8958333333333334,0.8957881024750325,target_background,75,substitution_1pct,target_binary
ck4,nearest_centroid,2252,30,136,0.3269230769230769,0.3159913006338128,label_probe,100,clean,label
ck4,logistic,2252,30,136,0.28402366863905326,0.2743443834556828,label_probe,100,clean,label
ck4_p,nearest_centroid,2252,30,147,0.3239644970414201,0.3128867424121939,label_probe,100,clean,label
ck4_p,logistic,2252,30,147,0.29289940828402367,0.28054206870127807,label_probe,100,clean,label
ck4p_msp,nearest_centroid,2252,30,222,0.3254437869822485,0.3144342265149808,label_probe,100,clean,label
ck4p_msp,logistic,2252,30,222,0.26479289940828404,0.25494266615223987,label_probe,100,clean,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.3431952662721893,0.3409988474006935,label_probe,100,clean,label
ckmer5_count_l2,logistic,2252,30,512,0.29142011834319526,0.2908832677072511,label_probe,100,clean,label
ck4,nearest_centroid,160,2,136,0.8541666666666666,0.8509977827050997,target_background,100,clean,target_binary
ck4,logistic,160,2,136,0.8541666666666666,0.8525669153137341,target_background,100,clean,target_binary
ck4_p,nearest_centroid,160,2,147,0.8541666666666666,0.8509977827050997,target_background,100,clean,target_binary
ck4_p,logistic,160,2,147,0.8541666666666666,0.8525669153137341,target_background,100,clean,target_binary
ck4p_msp,nearest_centroid,160,2,222,0.8541666666666666,0.8509977827050997,target_background,100,clean,target_binary
