retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,binset,bins,max_bin_count,gamma,n_pairs,k_dim,p_dim,m_dim,total_dim
1.0,0.9818234526882876,0.9742426926135083,0.18921680564997825,0.22696765750097708,0.18030319194877314,1.0,69,N_3pct,2_3_4,2+3+4,4,0.0,250,136,11,45,192
1.0,0.9823532066877421,0.9749969992851008,0.18644313694514952,0.22361950928195629,0.17496447818948116,1.0,69,N_3pct,2_3_4,2+3+4,4,0.25,250,136,11,45,192
1.0,0.9837658840196205,0.9770279683804395,0.17883633297356072,0.2143450068366449,0.16072705111865293,1.0,69,N_3pct,2_3_4,2+3+4,4,0.5,250,136,11,45,192
1.0,0.9876507466822867,0.9826367093366658,0.15601477871767394,0.186350671108505,0.12155634410476461,1.0,69,N_3pct,2_3_4,2+3+4,4,1.0,250,136,11,45,192
1.0,0.9934780406762855,0.9908890778359345,0.11346043586385145,0.1349880626200863,0.06265633283416179,1.0,69,N_3pct,2_3_4,2+3+4,4,2.0,250,136,11,45,192
1.0,0.9818234526882876,0.9742426926135083,0.18921680564997825,0.22696765750097708,0.18030319194877314,1.0,69,N_3pct,2_3_4_6,2+3+4+6,6,0.0,250,136,11,75,222
1.0,0.9823441502241221,0.9749838636412971,0.18649295318311804,0.22367822555149316,0.17501306810877168,1.0,69,N_3pct,2_3_4_6,2+3+4+6,6,0.25,250,136,11,75,222
1.0,0.9837326769863478,0.9769979584644174,0.17902656187528845,0.21448508780927014,0.16090491097623358,1.0,69,N_3pct,2_3_4_6,2+3+4+6,6,0.5,250,136,11,75,222
1.0,0.9875511255824676,0.9825649945312065,0.15666633205679192,0.18673513361642635,0.12208911005943643,1.0,69,N_3pct,2_3_4_6,2+3+4+6,6,1.0,250,136,11,75,222
1.0,0.9932787984766476,0.9906859558453796,0.11522842568081143,0.13648434982719002,0.06367088468434932,1.0,69,N_3pct,2_3_4_6,2+3+4+6,6,2.0,250,136,11,75,222
1.0,0.9689620281276375,0.9352151820593493,0.241121482710246,0.35994531560528437,0.1669624459883382,1.0,69,substitution_1pct_N_3pct,2,2,2,0.0,250,136,11,10,157
1.0,0.9698916651894602,0.9371674797152864,0.237488473867608,0.3544805073571514,0.1619757032825716,1.0,69,substitution_1pct_N_3pct,2,2,2,0.25,250,136,11,10,157
1.0,0.9723706973543208,0.9423736067977848,0.22751694854913285,0.3394778709787592,0.1486773020522997,1.0,69,substitution_1pct_N_3pct,2,2,2,0.5,250,136,11,10,157
1.0,0.9791880358076871,0.9566904562746567,0.19751558394311833,0.2943031701849556,0.11209347718882613,1.0,69,substitution_1pct_N_3pct,2,2,2,1.0,250,136,11,10,157
1.0,0.9894140434877369,0.9780891406269818,0.14100586364052412,0.2093356502959879,0.0571614460967276,1.0,69,substitution_1pct_N_3pct,2,2,2,2.0,250,136,11,10,157
1.0,0.9689620281276375,0.9352151820593493,0.241121482710246,0.35994531560528437,0.1669624459883382,1.0,69,substitution_1pct_N_3pct,2_3,2+3,3,0.0,250,136,11,25,172
1.0,0.9698854438215863,0.9371652349954402,0.2375165267244611,0.35448672575031986,0.16200395167355303,1.0,69,substitution_1pct_N_3pct,2_3,2+3,3,0.25,250,136,11,25,172
1.0,0.9723478856721162,0.942365376158348,0.227624249095998,0.33950168506111134,0.1487801174837519,1.0,69,substitution_1pct_N_3pct,2_3,2+3,3,0.5,250,136,11,25,172
1.0,0.9791196007610738,0.9566657643563472,0.19788546485887124,0.2943856568148891,0.11240442049326597,1.0,69,substitution_1pct_N_3pct,2_3,2+3,3,1.0,250,136,11,25,172
