sample_id,length,local_mode,representation,representation_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features
L69_center_00142,69,center,ck4,CK4,0.35297728886663715,0.3261640365267211,-0.02681325233991605,0.9240368907982442,136
L69_center_00143,69,center,ck4,CK4,0.3686219456037659,0.3264069165742128,-0.0422150290295531,0.8854787960049174,136
L69_center_00144,69,center,ck4,CK4,0.3209236243448871,0.31943828249996986,-0.0014853418449172207,0.9953716656168604,136
L69_center_00145,69,center,ck4,CK4,0.4258502413745204,0.3313245784203318,-0.09452566295418857,0.7780307399871671,136
L69_center_00146,69,center,ck4,CK4,0.3811610155185635,0.3541770119901905,-0.02698400352837299,0.9292057623163227,136
L69_center_00147,69,center,ck4,CK4,0.31451028200169434,0.2812716953858881,-0.033238586615806254,0.8943163752731391,136
L69_center_00148,69,center,ck4,CK4,0.42870510261340916,0.3712250207348683,-0.05748008187854087,0.8659216288116488,136
L69_center_00149,69,center,ck4,CK4,0.40601838637656834,0.3049221734962655,-0.10109621288030285,0.7510058256658861,136
L69_center_00150,69,center,ck4,CK4,0.3749136007866086,0.32696405227759523,-0.047949548509013395,0.872105070585836,136
L69_center_00151,69,center,ck4,CK4,0.38802672514375763,0.3538785241136883,-0.034148201030069325,0.9119952343039827,136
L69_center_00152,69,center,ck4,CK4,0.3396831102433787,0.31008683647302115,-0.029596273770357562,0.9128709291752769,136
L69_center_00153,69,center,ck4,CK4,0.4203749851983835,0.35297728886663715,-0.06739769633174636,0.8396724384065336,136
L69_center_00154,69,center,ck4,CK4,0.40189845597485996,0.3363762686809073,-0.06552218729395265,0.8369683030132087,136
L69_center_00155,69,center,ck4,CK4,0.41630215221008915,0.3264069165742127,-0.08989523563587642,0.7840625248785399,136
L69_center_00156,69,center,ck4,CK4,0.42426406871192845,0.31451028200169434,-0.10975378671023411,0.7413078438543049,136
L69_center_00157,69,center,ck4,CK4,0.41256849850351734,0.324281016404495,-0.08828748209902232,0.7860052756832824,136
L69_center_00158,69,center,ck4,CK4,0.4485810945044925,0.3657470926540022,-0.08283400185049034,0.8153421914893902,136
L69_center_00159,69,center,ck4,CK4,0.38471678710711266,0.38729833462074165,0.00258154751362899,1.0067102544004929,136
L69_center_00160,69,center,ck4,CK4,0.35124104755328234,0.27477100047357156,-0.07647004707971078,0.7822861319529846,136
L69_center_00161,69,center,ck4,CK4,0.47639741668564867,0.3335959356230092,-0.14280148106263946,0.700247154873077,136
L69_center_00162,69,center,ck4,CK4,0.3552632483483133,0.32616403652672105,-0.029099211821592252,0.9180911283199711,136
L69_center_00163,69,center,ck4,CK4,0.40189845597485996,0.3156261807296516,-0.08627227524520836,0.7853381271745792,136
L69_center_00164,69,center,ck4,CK4,0.39009474880274697,0.29630495634095916,-0.09378979246178781,0.7595717636557753,136
L69_center_00165,69,center,ck4,CK4,0.38851434494290565,0.3095185065884909,-0.07899583835441476,0.7966720164064376,136
L69_center_00166,69,center,ck4,CK4,0.4369575866527761,0.3299426652098322,-0.10701492144294394,0.7550908264055791,136
