retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
1.0,0.9457160001379407,0.8739712463876946,0.31623553738031823,0.5020515005085704,0.3241521646616645,1.0,75,substitution_1pct_N_3pct,ck4,CK4,250,136
1.0,0.9810179555611271,0.9567549741127003,0.1877165886969337,0.2940893745598476,0.11033195823631768,1.0,75,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,250,222
1.0,0.9776169210687969,0.9541145826400736,0.2056092332521729,0.30293598859160814,0.1078733076166864,1.0,75,substitution_1pct_N_3pct,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
1.0,0.9779397257806606,0.9543967351981746,0.20424921086109885,0.30200032397568255,0.10798002289214728,1.0,75,substitution_1pct_N_3pct,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.9308321601421037,0.9046069029796685,0.36903438120141346,0.4367883383835591,0.3069653071611028,1.0,75,local_mismatch_6bp,ck4,CK4,250,136
1.0,0.9766758516396937,0.9679248812549968,0.21433525043949683,0.2532767894777702,0.10436291404213627,1.0,75,local_mismatch_6bp,ck4p_msp,CK4P-MSP,250,222
1.0,0.9734209321641829,0.9640575821054601,0.2290580041355116,0.2681133389761917,0.1020763136151105,1.0,75,local_mismatch_6bp,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
0.204,0.5532248696104104,0.2655008292390162,0.9329870618212781,1.2120205071116412,-0.09513979193573255,0.204,75,local_mismatch_6bp,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.9845537546571733,0.9454395952437211,0.11979954822420565,0.33033101956645866,0.3512373554995232,1.0,75,short_indel,ck4,CK4,250,136
1.0,0.9948152359913738,0.9817021079022152,0.06944874688548071,0.1912975224449455,0.11937256435437786,1.0,75,short_indel,ck4p_msp,CK4P-MSP,250,222
1.0,0.9913792100917176,0.9783328882047637,0.12050343632571858,0.20816852701822608,0.11712593755845052,1.0,75,short_indel,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
0.256,0.5643127576878881,0.27092740427729145,0.9203744553694071,1.2075281557056856,-0.08673654193854112,0.256,75,short_indel,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.979627190658016,0.9432273750766262,0.15592879625171982,0.33696412636392803,0.3111769494016837,1.0,100,substitution_1pct,ck4,CK4,250,136
1.0,0.9931845185580082,0.9810078111323112,0.09021288676852718,0.194895366329939,0.10525356330947223,1.0,100,substitution_1pct,ck4p_msp,CK4P-MSP,250,222
1.0,0.9905896523584978,0.9765589197290886,0.12639885294647688,0.2165221071588709,0.10368686606548139,1.0,100,substitution_1pct,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
0.2,0.5530388953249156,0.28953775153319017,0.9332540937089597,1.1920210889759526,-0.11481517368202096,0.2,100,substitution_1pct,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.9693540170718481,0.956088042425077,0.24559224008115615,0.296350971486871,0.3098740400629465,1.0,100,N_3pct,ck4,CK4,250,136
1.0,0.9888527875137483,0.9845219952583623,0.1483372659420094,0.1759431772763313,0.10489976648214136,1.0,100,N_3pct,ck4p_msp,CK4P-MSP,250,222
1.0,0.9863306609095899,0.9814956036180972,0.16437877660732675,0.19237669055788156,0.1029774937135822,1.0,100,N_3pct,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
1.0,0.986666516257648,0.9819043131596021,0.16244241273345766,0.1902402022013728,0.10327394625871283,1.0,100,N_3pct,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,250,222
1.0,0.951975114369593,0.9101834785806409,0.3013842530447098,0.4238307744931546,0.29473957276616874,1.0,100,substitution_1pct_N_3pct,ck4,CK4,250,136
1.0,0.9830175713506422,0.9691592970601413,0.1798043537026997,0.2483564027163812,0.09983344585103603,1.0,100,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,250,222
1.0,0.9807497754859694,0.9672416542783976,0.19230154963192095,0.2559622428769314,0.09808617805565868,1.0,100,substitution_1pct_N_3pct,ck4_permuted_pmsp,CK4 + permuted P/MSP,250,222
