split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_samples,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.9780000000000001,0.9779729366630983,150,jittered,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.014696938456699083,0.014744148897807617
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.984,0.9839887902312402,150,left,ck4,CK4,500,136,0.01200000000000001,0.012012411864062525
holdout,logistic,1.0,1.0,150,left,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,left,ck4p_msp,CK4P-MSP,500,222,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9940476190476191,0.9940474081422952,150,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.984,0.9839875896309879,150,left,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.013564659966250548,0.013576289200138215
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.982,0.9819885902112382,150,left,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.00979795897113272,0.009810708184044366
holdout,logistic,0.9821428571428571,0.9821371610845295,150,right,ck4,CK4,500,136,,
5fold_grouped_cv,logistic,0.9799999999999999,0.9799715360428441,150,right,ck4,CK4,500,136,0.016733200530681527,0.01677802477367111
holdout,logistic,0.9940476190476191,0.9940474081422952,150,right,ck4p_msp,CK4P-MSP,500,222,,
5fold_grouped_cv,logistic,0.998,0.9979997999799981,150,right,ck4p_msp,CK4P-MSP,500,222,0.0040000000000000036,0.004000400040003971
holdout,logistic,0.9821428571428571,0.9821422244268858,150,right,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,,
5fold_grouped_cv,logistic,0.9780000000000001,0.9779544432178431,150,right,ck4_permuted_pmsp,CK4 + permuted P/MSP,500,222,0.019390719429665335,0.019475153271848487
holdout,logistic,0.9821428571428571,0.9821371610845295,150,right,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,,
5fold_grouped_cv,logistic,0.982,0.9819801739825454,150,right,ck4_gaussian_pmsp,CK4 + Gaussian P/MSP,500,222,0.016000000000000014,0.016021885329136974
