split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_triplets,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.984,0.9839947980392276,100,left,msp,MSP,250,75,0.00489897948556636,0.004902410290512393
holdout,logistic,0.9464285714285714,0.9464114832535885,100,left,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.9620000000000001,0.9619717770002605,100,left,ck4_p,CK4+P,250,147,0.01720465053408523,0.017221780038555363
holdout,logistic,0.9821428571428571,0.9821371610845295,100,left,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,left,ck4_msp,CK4+MSP,250,211,0.0040000000000000036,0.004002801240508269
holdout,logistic,0.9821428571428571,0.9821371610845295,100,left,p_msp,P+MSP,250,86,,
5fold_grouped_cv,logistic,0.984,0.9839947980392276,100,left,p_msp,P+MSP,250,86,0.00489897948556636,0.004902410290512393
holdout,logistic,0.9940476190476191,0.9940474081422952,100,left,ck4_p_msp,CK4P-MSP,250,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,left,ck4_p_msp,CK4P-MSP,250,222,0.0040000000000000036,0.004002801240508269
holdout,logistic,0.9761904761904762,0.9761904761904762,100,right,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.9559999999999998,0.9559209725139108,100,right,ck4,CK4,250,136,0.013564659966250548,0.013628137278632336
holdout,logistic,0.7142857142857143,0.7142857142857143,100,right,p,P,250,11,,
5fold_grouped_cv,logistic,0.696,0.6949603729435305,100,right,p,P,250,11,0.02939387691339813,0.030162642996149187
holdout,logistic,0.9940476190476191,0.9940474081422952,100,right,msp,MSP,250,75,,
5fold_grouped_cv,logistic,0.9879999999999999,0.9879927944753639,100,right,msp,MSP,250,75,0.011661903789690613,0.011671310656271255
holdout,logistic,0.9821428571428571,0.9821422244268858,100,right,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.958,0.9579043179045599,100,right,ck4_p,CK4+P,250,147,0.014696938456699083,0.014774455455728834
holdout,logistic,1.0,1.0,100,right,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,right,ck4_msp,CK4+MSP,250,211,0.004000000000000004,0.00400280124050827
holdout,logistic,0.9940476190476191,0.9940474081422952,100,right,p_msp,P+MSP,250,86,,
5fold_grouped_cv,logistic,0.9879999999999999,0.9879927944753639,100,right,p_msp,P+MSP,250,86,0.011661903789690613,0.011671310656271255
holdout,logistic,1.0,1.0,100,right,ck4_p_msp,CK4P-MSP,250,222,,
5fold_grouped_cv,logistic,0.99,0.989997799299738,100,right,ck4_p_msp,CK4P-MSP,250,222,0.006324555320336764,0.006327086325664201
holdout,logistic,0.9821428571428571,0.9821371610845295,150,center,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.968,0.9679442335490933,150,center,ck4,CK4,250,136,0.014696938456699083,0.014776768256046876
holdout,logistic,0.6011904761904762,0.6008369091102521,150,center,p,P,250,11,,
5fold_grouped_cv,logistic,0.5680000000000001,0.5644456047816919,150,center,p,P,250,11,0.040199502484483556,0.041579466942181
holdout,logistic,0.9523809523809523,0.9522727272727273,150,center,msp,MSP,250,75,,
5fold_grouped_cv,logistic,0.9760000000000002,0.9759603161702797,150,center,msp,MSP,250,75,0.018547236990991423,0.018592942467210362
holdout,logistic,0.9642857142857143,0.9642401021711366,150,center,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.968,0.9679442335490933,150,center,ck4_p,CK4+P,250,147,0.014696938456699083,0.014776768256046876
holdout,logistic,0.9880952380952381,0.9880935506732813,150,center,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879927944753639,150,center,ck4_msp,CK4+MSP,250,211,0.011661903789690611,0.011671310656271255
holdout,logistic,0.9642857142857143,0.9642401021711366,150,center,p_msp,P+MSP,250,86,,
5fold_grouped_cv,logistic,0.9800000000000001,0.9799691324389765,150,center,p_msp,P+MSP,250,86,0.017888543819998333,0.017933382007483036
holdout,logistic,0.9940476190476191,0.9940474081422952,150,center,ck4_p_msp,CK4P-MSP,250,222,,
5fold_grouped_cv,logistic,0.9880000000000001,0.9879927944753639,150,center,ck4_p_msp,CK4P-MSP,250,222,0.011661903789690611,0.011671310656271255
holdout,logistic,0.9880952380952381,0.9880935506732813,150,jittered,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.982,0.9819729366630984,150,jittered,ck4,CK4,250,136,0.017204650534085267,0.01725127338534565
holdout,logistic,0.6190476190476191,0.6190476190476191,150,jittered,p,P,250,11,,
5fold_grouped_cv,logistic,0.626,0.6219971224189228,150,jittered,p,P,250,11,0.028705400188814675,0.029066949911860793
holdout,logistic,0.9166666666666666,0.9166193987521271,150,jittered,msp,MSP,250,75,,
5fold_grouped_cv,logistic,0.9359999999999999,0.9358183650490137,150,jittered,msp,MSP,250,75,0.018547236990991374,0.0187702542456918
holdout,logistic,0.9880952380952381,0.9880935506732813,150,jittered,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.982,0.9819729366630984,150,jittered,ck4_p,CK4+P,250,147,0.017204650534085267,0.01725127338534565
holdout,logistic,0.9940476190476191,0.9940474081422952,150,jittered,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.994,0.9939981993397419,150,jittered,ck4_msp,CK4+MSP,250,211,0.008000000000000007,0.008002901214878016
holdout,logistic,0.9345238095238095,0.9345029239766082,150,jittered,p_msp,P+MSP,250,86,,
5fold_grouped_cv,logistic,0.944,0.943910848173552,150,jittered,p_msp,P+MSP,250,86,0.021540659228537984,0.02159965533533759
holdout,logistic,1.0,1.0,150,jittered,ck4_p_msp,CK4P-MSP,250,222,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,jittered,ck4_p_msp,CK4P-MSP,250,222,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.984,0.9839887902312402,150,left,ck4,CK4,250,136,0.01200000000000001,0.012012411864062525
holdout,logistic,0.6666666666666666,0.6666194188518781,150,left,p,P,250,11,,
5fold_grouped_cv,logistic,0.6799999999999999,0.6783346552560907,150,left,p,P,250,11,0.055856960175075764,0.05533284205275297
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,msp,MSP,250,75,,
5fold_grouped_cv,logistic,0.992,0.9919991999199921,150,left,msp,MSP,250,75,0.0040000000000000036,0.004000400040003971
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.99,0.989997799299738,150,left,ck4_p,CK4+P,250,147,0.006324555320336764,0.006327086325664201
holdout,logistic,0.9940476190476191,0.9940474081422952,150,left,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,left,ck4_msp,CK4+MSP,250,211,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,p_msp,P+MSP,250,86,,
5fold_grouped_cv,logistic,0.992,0.99199799931974,150,left,p_msp,P+MSP,250,86,0.007483314773547889,0.007485988560889431
holdout,logistic,1.0,1.0,150,left,ck4_p_msp,CK4P-MSP,250,222,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,left,ck4_p_msp,CK4P-MSP,250,222,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9821428571428571,0.9821371610845295,150,right,ck4,CK4,250,136,,
5fold_grouped_cv,logistic,0.9799999999999999,0.9799715360428441,150,right,ck4,CK4,250,136,0.016733200530681527,0.01677802477367111
holdout,logistic,0.6488095238095238,0.6477987421383647,150,right,p,P,250,11,,
5fold_grouped_cv,logistic,0.626,0.6252941436305098,150,right,p,P,250,11,0.037202150475476536,0.037461567815012524
holdout,logistic,0.9821428571428571,0.9821371610845295,150,right,msp,MSP,250,75,,
5fold_grouped_cv,logistic,0.994,0.993999399939994,150,right,msp,MSP,250,75,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9702380952380952,0.9702117096350934,150,right,ck4_p,CK4+P,250,147,,
5fold_grouped_cv,logistic,0.982,0.9819837781866653,150,right,ck4_p,CK4+P,250,147,0.01326649916142161,0.013288125972731024
holdout,logistic,0.9880952380952381,0.9880935506732813,150,right,ck4_msp,CK4+MSP,250,211,,
5fold_grouped_cv,logistic,0.994,0.993999399939994,150,right,ck4_msp,CK4+MSP,250,211,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9880952380952381,0.9880935506732813,150,right,p_msp,P+MSP,250,86,,
5fold_grouped_cv,logistic,0.994,0.993999399939994,150,right,p_msp,P+MSP,250,86,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9940476190476191,0.9940474081422952,150,right,ck4_p_msp,CK4P-MSP,250,222,,
5fold_grouped_cv,logistic,0.998,0.9979997999799981,150,right,ck4_p_msp,CK4P-MSP,250,222,0.0040000000000000036,0.004000400040003971
