retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
1.0,0.9879383976497044,0.9840524999943623,0.15438556670790538,0.17859121413821527,0.1746910584839152,1.0,69,trim_5bp,ck4_msp,CK4+MSP,500,211
0.836,0.999364516548915,0.9988203423469004,0.03477679227684972,0.0485727509977346,0.0004076845247964074,0.836,69,trim_5bp,p_msp,P+MSP,500,86
1.0,0.9919347241551818,0.98932405165067,0.1262494293456622,0.14612257387476604,0.11680207851636357,1.0,69,trim_5bp,ck4_p_msp,CK4P-MSP,500,222
1.0,0.939853800794655,0.8635748688398627,0.3340246464233009,0.522350706305889,0.31662613896986874,1.0,69,substitution_1pct_N_3pct,ck4,CK4,500,136
0.038,0.9979915144537677,0.9974945706070251,0.06327739476700411,0.07078740707040448,-0.00034214272192613083,0.036,69,substitution_1pct_N_3pct,p,P,500,11
0.954,0.9989023091861963,0.9977409241809343,0.045762249378664924,0.0672171964432821,0.0011714296689034178,0.954,69,substitution_1pct_N_3pct,msp,MSP,500,75
1.0,0.9689226576242111,0.93089772703146,0.24073193070979504,0.37175870871832917,0.15891623399264193,1.0,69,substitution_1pct_N_3pct,ck4_p,CK4+P,500,147
1.0,0.9693780549904255,0.931267496402197,0.2386451864987382,0.3707626995167809,0.16109189305602814,1.0,69,substitution_1pct_N_3pct,ck4_msp,CK4+MSP,500,211
0.898,0.9984469118199819,0.9977885670079635,0.05548917625880348,0.06650462901479987,0.0006091761888237519,0.898,69,substitution_1pct_N_3pct,p_msp,P+MSP,500,86
1.0,0.9789158748115394,0.9535851926758171,0.19851155396135603,0.3046794717391268,0.10778476439053804,1.0,69,substitution_1pct_N_3pct,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9198747136287466,0.8911117920220963,0.3973864777945945,0.4666651664302951,0.2952527361568967,1.0,69,local_mismatch_6bp,ck4,CK4,500,136
0.096,0.9998801086726712,0.9996370584971046,0.013579482916720051,0.026942201006133995,-9.482248020373407e-05,0.092,69,local_mismatch_6bp,p,P,500,11
0.862,0.9991932996466023,0.9977382750789257,0.036054455494324816,0.06725656472281923,0.0008811188241628567,0.862,69,local_mismatch_6bp,msp,MSP,500,75
1.0,0.9598774111507089,0.9455383175770011,0.2812157663669904,0.33003534759705627,0.14807051267262783,1.0,69,local_mismatch_6bp,ck4_p,CK4+P,500,147
1.0,0.9595340066376745,0.9452722052910915,0.2824487892162768,0.33084066426191056,0.15012733881442228,1.0,69,local_mismatch_6bp,ck4_msp,CK4+MSP,500,211
0.852,0.9995367041596368,0.9987133500039311,0.027335680418467144,0.0507276768246952,0.0004954569091120862,0.852,69,local_mismatch_6bp,p_msp,P+MSP,500,86
1.0,0.9729827073160068,0.963478485802167,0.23079685748034967,0.27026468046408475,0.10037018431090333,1.0,69,local_mismatch_6bp,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9825776005613961,0.9403514470635839,0.12680800420447413,0.34539411757922023,0.34620312815160187,1.0,69,short_indel,ck4,CK4,500,136
0.716,0.9999936047488247,0.9999745993922367,0.0023592031089185498,0.007127284947790102,1.703312313074412e-05,0.682,69,short_indel,p,P,500,11
1.0,0.9998894916209518,0.9996051088901055,0.010138820056549137,0.028103060964853016,0.0015443750673645408,1.0,69,short_indel,msp,MSP,500,75
1.0,0.9912856026551105,0.9701706342991638,0.08968458488356226,0.24425135913015786,0.1736322963195629,1.0,69,short_indel,ck4_p,CK4+P,500,147
1.0,0.991233546091174,0.9699763797111035,0.0899942444560171,0.24504535621832033,0.1758750781359655,1.0,69,short_indel,ck4_msp,CK4+MSP,500,211
1.0,0.9999415481848882,0.9997957553239846,0.007388459222686362,0.020211112467953943,0.0008821240471637551,1.0,69,short_indel,p_msp,P+MSP,500,86
1.0,0.9941535656437243,0.979980860318984,0.07349444050578989,0.20009565151214512,0.11759778814122263,1.0,69,short_indel,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9774379875349666,0.9275664674344299,0.15008471977852922,0.38061402213222917,0.335744829369238,1.0,75,substitution_1pct,ck4,CK4,500,136
0.554,0.9999885509141733,0.9999514677393563,0.003221854465991454,0.009852132821275884,1.8038819890597633e-05,0.526,75,substitution_1pct,p,P,500,11
1.0,0.9999238837638127,0.9997265494533267,0.008598338924031402,0.02338591091361379,0.0015175018916490062,1.0,75,substitution_1pct,msp,MSP,500,75
1.0,0.98871326922457,0.9637696217132791,0.10616751078738569,0.26918532286771063,0.16830862131856253,1.0,75,substitution_1pct,ck4_p,CK4+P,500,147
1.0,0.9886809356493895,0.9636959203097669,0.1063428175731815,0.2694589855744074,0.17054420552680882,1.0,75,substitution_1pct,ck4_msp,CK4+MSP,500,211
1.0,0.999956217338993,0.9998465287351508,0.006529960636807745,0.017519692915966327,0.0008692787048905226,1.0,75,substitution_1pct,p_msp,P+MSP,500,86
1.0,0.9924501407376508,0.9757882055372208,0.08685355472916503,0.22005357853730984,0.11397337443515429,1.0,75,substitution_1pct,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9692184476265802,0.9561515174025562,0.24576820272625127,0.29613637626943773,0.3353516743707245,1.0,75,N_3pct,ck4,CK4,500,136
0.04,0.9982866770823582,0.9979435346746213,0.05845977308116804,0.06413210962344598,-0.00026974657240810563,0.038,75,N_3pct,p,P,500,11
0.98,0.9991420460001151,0.9981830439469712,0.040416664353609986,0.06028193846371106,0.0012556505600877343,0.98,75,N_3pct,msp,MSP,500,75
1.0,0.9837525623544692,0.9771667934227184,0.17878055735096562,0.21369675602656424,0.16826472208350082,1.0,75,N_3pct,ck4_p,CK4+P,500,147
1.0,0.9841802468133476,0.97742039898203,0.17631224801752127,0.2125069332394334,0.1703617836013284,1.0,75,N_3pct,ck4_msp,CK4+MSP,500,211
0.942,0.9987143615412366,0.9981838932421753,0.05050890096868578,0.06026784810048734,0.0006649004119527087,0.942,75,N_3pct,p_msp,P+MSP,500,86
1.0,0.9888823902363513,0.9843664023218021,0.14797270181110345,0.17682532376963225,0.1139564812620911,1.0,75,N_3pct,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9797702837456632,0.9730268848384054,0.19975278552616407,0.23226313069037108,0.34065639641524986,1.0,75,trim_5bp,ck4,CK4,500,136
0.266,0.9999313358593457,0.9998640945801345,0.011427997773592446,0.016486587253933524,2.43278095637689e-06,0.258,75,trim_5bp,p,P,500,11
0.812,0.9989231939583463,0.9979084532530261,0.045102402822429596,0.06467679942968825,0.0006183524133643359,0.812,75,trim_5bp,msp,MSP,500,75
1.0,0.9898508098025045,0.9864700603639177,0.1414928952654589,0.1644987551744637,0.1707586739157152,1.0,75,trim_5bp,ck4_p,CK4+P,500,147
1.0,0.9893467388520047,0.9857571756797873,0.14500924216316938,0.1687769197291156,0.17260759365887635,1.0,75,trim_5bp,ck4_msp,CK4+MSP,500,211
0.862,0.9994272649088459,0.9989001793619772,0.032965895412489,0.04690033157332542,0.0004129439710502334,0.862,75,trim_5bp,p_msp,P+MSP,500,86
1.0,0.9928749378544517,0.9904877173394459,0.11859488864442688,0.13792956486579547,0.1153466394937567,1.0,75,trim_5bp,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9449115144222682,0.8801654547545364,0.3194900818597845,0.48956008647669913,0.31290367626806814,1.0,75,substitution_1pct_N_3pct,ck4,CK4,500,136
0.038,0.9982687427217833,0.997854127863201,0.05873898404139465,0.06551140534140168,-0.00028939439619643227,0.034,75,substitution_1pct_N_3pct,p,P,500,11
0.972,0.9990765761369228,0.9981889508456977,0.04199447831319824,0.06018378691326613,0.0011846494266017679,0.972,75,substitution_1pct_N_3pct,msp,MSP,500,75
1.0,0.9715901285720258,0.9391739575138233,0.23001172619100738,0.34878651110034015,0.1569963068218007,1.0,75,substitution_1pct_N_3pct,ck4_p,CK4+P,500,147
1.0,0.9719940452795954,0.9395464920034795,0.22806663744483574,0.3477168451651803,0.15913111275649364,1.0,75,substitution_1pct_N_3pct,ck4_msp,CK4+MSP,500,211
0.938,0.998672659429353,0.9981379771882705,0.051314206937961133,0.061024948981277374,0.0006121100079862894,0.938,75,substitution_1pct_N_3pct,p_msp,P+MSP,500,86
1.0,0.9807522777603248,0.95906325881888,0.18952174786284748,0.28613537853822263,0.106440680520727,1.0,75,substitution_1pct_N_3pct,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9300887777869619,0.9063058944592335,0.3713339301018038,0.4328835999221194,0.29658290560408834,1.0,75,local_mismatch_6bp,ck4,CK4,500,136
0.106,0.9998977804443512,0.9997069839232566,0.012621821274401838,0.024208075302636228,-7.34092591519e-05,0.104,75,local_mismatch_6bp,p,P,500,11
0.92,0.9993516968202288,0.9981310199374475,0.03262259869834162,0.06113866626171852,0.0009800709478182006,0.92,75,local_mismatch_6bp,msp,MSP,500,75
1.0,0.9649932791156566,0.9531327587738424,0.2627705977341094,0.3061608756256925,0.14870714594845158,1.0,75,local_mismatch_6bp,ck4_p,CK4+P,500,147
1.0,0.9647202373035954,0.9529885136767926,0.26381183003291747,0.30663164833513595,0.15082403673700218,1.0,75,local_mismatch_6bp,ck4_msp,CK4+MSP,500,211
0.914,0.9996247386322901,0.9989481321392137,0.024812160465395465,0.04586593895666771,0.0005585511209494567,0.914,75,local_mismatch_6bp,p_msp,P+MSP,500,86
1.0,0.9764460850171807,0.9686444739949229,0.215561481027124,0.2504217409956267,0.10081339066614094,1.0,75,local_mismatch_6bp,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9845452508391201,0.945934813958827,0.11935611872450179,0.32883117959457303,0.3423078487628426,1.0,75,short_indel,ck4,CK4,500,136
0.724,0.9999946030422591,0.9999777641619098,0.0021551571109680936,0.006668695205342374,2.4115883556207418e-05,0.686,75,short_indel,p,P,500,11
1.0,0.9999041434608515,0.9996608851542411,0.009476321980453895,0.026042823037644467,0.001490780238685719,1.0,75,short_indel,msp,MSP,500,75
1.0,0.9922699269406896,0.9729610234442979,0.08441408070320379,0.23254619291937134,0.17160624435096491,1.0,75,short_indel,ck4_p,CK4+P,500,147
1.0,0.9922246971499857,0.9728537877078096,0.08470343231541806,0.23300672386426635,0.17384353893345814,1.0,75,short_indel,ck4_msp,CK4+MSP,500,211
1.0,0.9999493732515552,0.9998245684345278,0.0068972612291951195,0.018731340646480635,0.0008658791217709174,1.0,75,short_indel,p_msp,P+MSP,500,86
