sample_id,length,local_mode,weight_name,weight_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,selective_sensitivity_ratio_valid,n_features
L69_center_00000,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3867487860080217,0.2870057842476352,-0.09974300176038653,0.7420987334183443,True,222
L69_center_00001,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.42758316196789975,0.34280720333731785,-0.0847759586305819,0.8017322332329205,True,222
L69_center_00002,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3567010405518228,0.3201856212896195,-0.03651541926220325,0.8976301857552385,True,222
L69_center_00003,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4136317173818702,0.29159029654960794,-0.12204142083226227,0.7049514925868413,True,222
L69_center_00004,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.42870510261340916,0.33502296205323323,-0.09368214056017593,0.7814764975058972,True,222
L69_center_00005,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.39401004880925755,0.3440549047059948,-0.04995514410326274,0.8732135277914034,True,222
L69_center_00006,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.39646821133663623,0.35491136358276315,-0.04155684775387308,0.8951823965564097,True,222
L69_center_00007,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.34275548659830724,0.26791769535447674,-0.0748377912438305,0.781658371142176,True,222
L69_center_00008,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4062762501747619,0.30448011492172583,-0.10179613525303605,0.7494410879069404,True,222
L69_center_00009,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4446272289437324,0.3335959356230092,-0.1110312933207232,0.750282290213103,True,222
L69_center_00010,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.37709583633437693,0.33333333333333337,-0.04376250300104356,0.8839485913542714,True,222
L69_center_00011,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3469133983697076,0.3391696214633471,-0.007743776906360467,0.9776780691009579,True,222
L69_center_00012,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.31644526206290147,0.32550609681200193,0.009060834749100466,1.0286331818970302,True,222
L69_center_00013,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3779644730092272,0.18898223650461365,-0.18898223650461354,0.5000000000000001,True,222
L69_center_00014,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.38324497171815186,0.26434519582377486,-0.118899775894377,0.6897551574875744,True,222
L69_center_00015,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3979014577296566,0.31766840611216557,-0.08023305161749106,0.7983594931386172,True,222
L69_center_00016,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.44232586846469146,0.3629811639446371,-0.07934470452005438,0.8206193438438067,True,222
L69_center_00017,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.40099630984983964,0.21170828717033716,-0.18928802267950248,0.5279556992671957,True,222
L69_center_00018,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4156188286543954,0.30846670096033324,-0.10715212769406218,0.7421865413533425,True,222
L69_center_00019,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3728795967275627,0.32428101640449497,-0.04859858032306774,0.8696668287844793,True,222
L69_center_00020,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.45175388512745857,0.4418434842250627,-0.009910400902395866,0.9780623892153142,True,222
L69_center_00021,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4216370213557839,0.36989591748983064,-0.051741103865953264,0.8772851973491832,True,222
L69_center_00022,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.38098285131231924,0.2973562197215161,-0.08362663159080314,0.7804976489027106,True,222
L69_center_00023,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.37216960114423925,0.31092795673025947,-0.06124164441397978,0.8354469461619334,True,222
L69_center_00024,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.41949419718211917,0.3363762686809073,-0.08311792850121186,0.8018615536054077,True,222
L69_center_00025,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.2879535632686286,0.31966374033321343,0.031710177064584844,1.1101225374835968,True,222
L69_center_00026,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4129041493992052,0.2696799449852969,-0.14322420441390832,0.6531296558237397,True,222
L69_center_00027,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3494033329852303,0.27618802989947494,-0.07321530308575536,0.7904561972542767,True,222
L69_center_00028,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.39402139690762195,0.3095185065884909,-0.08450289031913105,0.7855373058866072,True,222
L69_center_00029,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.44250157343361185,0.30846670096033313,-0.13403487247327872,0.6970974104493487,True,222
L69_center_00030,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.36115755925730764,0.3335959356230092,-0.027561623634298427,0.92368531980619,True,222
L69_center_00031,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4771032178835775,0.32774604204307783,-0.14935717584049968,0.6869499717418679,True,222
L69_center_00032,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3969923420930044,0.31943828249996997,-0.07755405959303441,0.8046459556772366,True,222
L69_center_00033,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.41026768295872545,0.31881883467423466,-0.09144884828449079,0.7770995569892574,True,222
L69_center_00034,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.40189845597485996,0.30212482735353363,-0.09977362862132633,0.7517441852835397,True,222
L69_center_00035,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.4211029323752248,0.325506096812002,-0.09559683556322279,0.772984635789615,True,222
L69_center_00036,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.47718561127048176,0.3484140633988152,-0.12877154787166656,0.7301436907772239,True,222
L69_center_00037,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3277460420430778,0.31695088621397555,-0.010795155829102232,0.9670624372401014,True,222
L69_center_00038,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3446902360150943,0.3065947257481726,-0.038095510266921706,0.8894789979915373,True,222
L69_center_00039,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.29377754890757424,0.2823359046115955,-0.011441644295978715,0.9610533740970847,True,222
L69_center_00040,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.37725130079126845,0.3412822330681097,-0.035969067723158776,0.9046548874776171,True,222
L69_center_00041,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3615855260900683,0.2827124012060619,-0.07887312488400638,0.7818686888911597,True,222
L69_center_00042,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.47710321788357757,0.33263274941571075,-0.14447046846786682,0.6971924249248714,True,222
L69_center_00043,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3982653429934891,0.37726717045721103,-0.02099817253627806,0.9472759231861625,True,222
L69_center_00044,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.3380494664658661,0.30098747554519056,-0.037061990920675525,0.8903651843970066,True,222
L69_center_00045,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.33071970322017813,0.27328057184997256,-0.057439131370205565,0.8263208063779459,True,222
L69_center_00046,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.2671409913829339,0.2989852021866209,0.03184421080368699,1.119203760676473,True,222
L69_center_00047,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.404262984324241,0.3728693862508134,-0.03139359807342762,0.9223436245940136,True,222
L69_center_00048,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.40505577598566317,0.31966374033321343,-0.08539203565244974,0.7891845007155949,True,222
L69_center_00049,69,center,identity_only,"identity_only (k=1, P=0, MSP=0)",0.41793689972955156,0.30659472574817254,-0.11134217398137902,0.7335909462566503,True,222
