split,classifier,accuracy,macro_f1,length,local_mode,weight_name,weight_label,n_samples,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,jittered,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.00489897948556636,0.004899469432509571
holdout,logistic,1.0,1.0,150,jittered,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,jittered,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.984,0.9839887902312402,150,left,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.01200000000000001,0.012012411864062525
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,property_only,"property_only (k=0, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.992,0.99199799931974,150,left,property_only,"property_only (k=0, P=1, MSP=1)",500,222,0.007483314773547889,0.007485988560889431
holdout,logistic,0.9880952380952381,0.9880935506732813,150,left,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.99,0.989997799299738,150,left,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",500,222,0.006324555320336764,0.006327086325664201
holdout,logistic,1.0,1.0,150,left,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,left,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",500,222,0.00489897948556636,0.004899469432509571
holdout,logistic,1.0,1.0,150,left,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,left,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",500,222,0.00489897948556636,0.004899469432509571
holdout,logistic,1.0,1.0,150,left,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,,
5fold_grouped_cv,logistic,0.9960000000000001,0.9959995999599961,150,left,property_dominant,"property_dominant (k=1, P=2, MSP=2)",500,222,0.00489897948556636,0.004899469432509571
holdout,logistic,0.9821428571428571,0.9821371610845295,150,right,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,,
5fold_grouped_cv,logistic,0.9799999999999999,0.9799715360428441,150,right,identity_only,"identity_only (k=1, P=0, MSP=0)",500,222,0.016733200530681527,0.01677802477367111
