retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,weight_name,weight_label,count_weight,property_weight,msp_weight,n_pairs,n_features
1.0,0.9927645875022444,0.9758972870411862,0.08204428146937819,0.21955672007097757,0.12229241592345487,1.0,75,substitution_1pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9855682667908989,0.9518937532732584,0.11584670173928321,0.31018051878307173,0.24125775840528144,1.0,75,substitution_1pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9975621346431415,0.9918996428864708,0.04764711640552394,0.12728165365236127,0.0428497698273604,1.0,75,substitution_1pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9694417949584504,0.9579837070285923,0.2450316036479522,0.28988371831538695,0.3589040632515302,1.0,75,N_3pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.976,0.9987084574384726,0.9981336027294465,0.05062560676175052,0.06109643343193867,0.000835142733601249,0.976,75,N_3pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9838695856755445,0.9781337807027422,0.17822260208925159,0.2091230039791247,0.18000749149802148,1.0,75,N_3pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9889529032784652,0.9851652338437085,0.14756202720843378,0.17224845314801546,0.12199338605589148,1.0,75,N_3pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9791973491184579,0.9715669568008156,0.20226152163547606,0.23846605674079321,0.24046044041428877,1.0,75,N_3pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9954566060518035,0.9941704486719946,0.09488502524819369,0.10797732070580308,0.04279195642576462,1.0,75,N_3pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9798102234691064,0.9736702254178109,0.19966687464650015,0.22947668544839236,0.36518506146929974,1.0,75,trim_5bp,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.916,0.9994182448629977,0.9989002047103953,0.03321513920140296,0.04689974891010198,0.0005600727068296414,0.916,75,trim_5bp,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9898709644724605,0.9868121501139417,0.1414313224611691,0.16240597167009357,0.18305728678987163,1.0,75,trim_5bp,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9928822377317006,0.9908558036812103,0.11860860586882586,0.13523445969367612,0.12366849031043216,1.0,75,trim_5bp,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9863462306004036,0.9822845711588788,0.1642208757330967,0.1882308570547406,0.24443538312513582,1.0,75,trim_5bp,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.997239575819232,0.9963550598887975,0.0738886248313747,0.08538017609511711,0.04298625834603925,1.0,75,trim_5bp,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9442853759464359,0.8802783789147458,0.32069112458383925,0.4893287448132201,0.3356566971443989,1.0,75,substitution_1pct_N_3pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.964,0.9986910251869385,0.9982129938172762,0.050964438860150944,0.05977978127919193,0.0007803806994054421,0.964,75,substitution_1pct_N_3pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9712875038529356,0.9393033156068908,0.23080388477000963,0.34841533482677395,0.1683724845784826,1.0,75,substitution_1pct_N_3pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9805558087734376,0.9591915773561,0.19014268799730985,0.28568625931461683,0.11407618538481268,1.0,75,substitution_1pct_N_3pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9624205923599368,0.9197349781354228,0.2636321278264223,0.4006614900932143,0.2248785538594048,1.0,75,substitution_1pct_N_3pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9926459530491049,0.985449910252725,0.11788408818023313,0.17058774440871577,0.04005466999687844,1.0,75,substitution_1pct_N_3pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9298783720971089,0.9068618184919587,0.3719210416454856,0.4315966285459132,0.31712751435846054,1.0,75,local_mismatch_6bp,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.952,0.9996424684073453,0.9990420880050048,0.024291621243129335,0.04376725476960873,0.0007173596668505992,0.952,75,local_mismatch_6bp,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9648906143145782,0.9534087595250512,0.26317466531820927,0.3052575490723688,0.1590278504966401,1.0,75,local_mismatch_6bp,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9763877696372665,0.9687225353096375,0.2158419382591154,0.2501097177345912,0.1077967355353243,1.0,75,local_mismatch_6bp,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9531330708671878,0.9378489260763843,0.30406734866981205,0.3525646035672762,0.2124721914378639,1.0,75,local_mismatch_6bp,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9918909021506525,0.9891800743538661,0.12650761512550485,0.1471048653497591,0.037807904749202176,1.0,75,local_mismatch_6bp,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9852904912129966,0.9449536475280617,0.11395493786081828,0.3318021894181055,0.3661903880893342,1.0,75,short_indel,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
1.0,0.9999494251504153,0.999821683684106,0.006781436525464259,0.018884208852436055,0.001023425353656207,1.0,75,short_indel,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9926426073026721,0.9724624608619428,0.08059456374116221,0.23468078846774645,0.18358454139435731,1.0,75,short_indel,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9950631138379424,0.9815194774498032,0.06606904524800475,0.19225255337889813,0.12431320707213225,1.0,75,short_indel,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9901768025254696,0.9632365624889333,0.0931422451179779,0.2711583836966338,0.24527347346521144,1.0,75,short_indel,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9983206547129244,0.9937071231431773,0.03861463994781873,0.11218623750252259,0.04353183003343052,1.0,75,short_indel,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9820208291681352,0.9431667367695372,0.1435857986093323,0.3371334039984885,0.31438246812861814,1.0,100,substitution_1pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
1.0,0.9999679064931295,0.9999002279867264,0.005949196952039436,0.014125431239160682,0.0007415677389675333,1.0,100,substitution_1pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9910059083806968,0.9715794679266556,0.10156569704071938,0.23840565828778473,0.15751374360512688,1.0,100,substitution_1pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9939855473847982,0.9810122492751456,0.08306958005820592,0.19486714269348027,0.10638341985614347,1.0,100,substitution_1pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9880031882764665,0.9620894930223411,0.11730438926338965,0.27534718069641795,0.21039692670699223,1.0,100,substitution_1pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9979737867903524,0.9936274201103479,0.0482316108332523,0.11289199953005101,0.036954235248101826,1.0,100,substitution_1pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.9700035393951787,0.9561280488602668,0.24294400771423857,0.2962159722572626,0.31114199664562636,1.0,100,N_3pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.94,0.9986190593167255,0.998292247021395,0.05244006333240843,0.05844207631301213,0.000576891041321744,0.94,100,N_3pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9839769434043697,0.9770546599928093,0.17776862284664355,0.21422099190076085,0.15601935481485452,1.0,100,N_3pct,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9890805526762099,0.9845386648917721,0.14680557168030722,0.17584832322393495,0.10540520719746768,1.0,100,N_3pct,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9795420460356944,0.9702820443023956,0.2007204451835543,0.2437946793432551,0.2082895732143117,1.0,100,N_3pct,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9954395571032205,0.9939872485786398,0.09512205581402966,0.10965994204245165,0.03670067031729224,1.0,100,N_3pct,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.987190342197594,0.9810565814668646,0.15884105311608102,0.19464411578387902,0.32158697408394027,1.0,100,trim_5bp,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.952,0.9996732674310752,0.9994451870397243,0.025068110326822636,0.03331095977253938,0.0004641315221247253,0.952,100,trim_5bp,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
1.0,0.9935693136182394,0.9904949593783327,0.11255053532610623,0.13787596801599247,0.16110007903746182,1.0,100,trim_5bp,ck4_plus_p,"ck4_plus_p (k=1, P=1, MSP=0)",1.0,1.0,0.0,250,222
1.0,0.9955122923532483,0.9935475362916214,0.0940743093722601,0.11359947339513725,0.1086035056697751,1.0,100,trim_5bp,ck4p_msp,"ck4p_msp (k=1, P=1, MSP=1)",1.0,1.0,1.0,250,222
1.0,0.9913513172754213,0.9873020588792434,0.13053992230413558,0.15935994301563383,0.21510494513493805,1.0,100,trim_5bp,identity_dominant,"identity_dominant (k=2, P=1, MSP=1)",2.0,1.0,1.0,250,222
1.0,0.9982862757384663,0.9976560023658543,0.058189272256004336,0.06846893451321982,0.03747905685490231,1.0,100,trim_5bp,property_dominant,"property_dominant (k=1, P=2, MSP=2)",1.0,2.0,2.0,250,222
1.0,0.952552060751213,0.9117915846994947,0.2991033784723909,0.42001688975287216,0.2946818006088981,1.0,100,substitution_1pct_N_3pct,identity_only,"identity_only (k=1, P=0, MSP=0)",1.0,0.0,0.0,250,222
0.924,0.9985525720187909,0.9981109721594376,0.053622104241409486,0.061465816210045654,0.0005333052421737685,0.924,100,substitution_1pct_N_3pct,property_only,"property_only (k=0, P=1, MSP=1)",0.0,1.0,1.0,250,222
