retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9925686138665353,0.9880287953622421,0.12025592832681264,0.15473334773211445,0.03154612324718688,1.0,100,substitution_1pct_N_3pct,cspaced_property_l2,900,147,0.48192743764172336,70.84333333333333
1.0,0.950545141097999,0.9105860678357981,0.3077343857903248,0.4228804317989528,0.2692865238168389,1.0,100,substitution_1pct_N_3pct,hybrid_ckmer5_csp,900,659,0.22299780812679143,146.95555555555555
1.0,0.916992946989209,0.8541193946312601,0.39949155671578185,0.5401492467255686,0.3788319514002025,1.0,100,substitution_1pct_N_3pct,hybrid_ckmer7_csp,900,8288,0.01855654761904762,153.79666666666665
1.0,0.9727766437205517,0.9210591551845992,0.17593057407831986,0.3973432459162156,0.5457655469332827,1.0,100,short_indel,ckmer5_count_l2,900,512,0.15875325520833333,81.28166666666667
1.0,0.9477010360647578,0.8545195819526508,0.24476568970391713,0.5394078288300963,0.8143204091372527,1.0,100,short_indel,ckmer7_count_l2,900,8135,0.01129925561701837,91.91944444444445
1.0,0.9743034143203154,0.9231102512615452,0.1701437709164546,0.39214721161994537,0.3022374506514705,1.0,100,short_indel,cspaced_count_l2,900,136,0.4620710784313726,62.84166666666667
1.0,0.99727894867395,0.9921040243783849,0.05542912136725233,0.12566600894506616,0.03281788234462072,1.0,100,short_indel,cspaced_property_l2,900,147,0.4955215419501134,72.84166666666667
1.0,0.9850277961972508,0.9565084732029375,0.13053332425821856,0.2949288501809317,0.2958361020152833,1.0,100,short_indel,hybrid_ckmer5_csp,900,659,0.2338745574102175,154.12333333333333
1.0,0.9724899923693537,0.9234895402488285,0.17751727052565128,0.3911787171103878,0.43060745260584515,1.0,100,short_indel,hybrid_ckmer7_csp,900,8282,0.019893879631865626,164.76111111111112
1.0,0.9220026416211675,0.9017844547815748,0.3931763151051173,0.44320547185636766,0.5019714434174916,1.0,100,local_mismatch_6bp,ckmer5_count_l2,900,512,0.1594064670138889,81.61611111111111
1.0,0.8807664421406958,0.8663938468573865,0.48708122804459575,0.5169258228075155,0.751151953752117,1.0,100,local_mismatch_6bp,ckmer7_count_l2,900,8179,0.011248250940756137,91.99944444444445
