representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
cspaced_property_l2,logistic,119,2,147,0.5,0.4581939799331104,target_background,Enterobacter,69,clean,target_binary
cspaced_property_l2,mlp,119,2,147,0.6388888888888888,0.5630252100840336,target_background,Enterobacter,69,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,119,2,654,0.6111111111111112,0.5153846153846153,target_background,Enterobacter,69,clean,target_binary
hybrid_ckmer5_csp,logistic,119,2,654,0.5,0.4109090909090909,target_background,Enterobacter,69,clean,target_binary
hybrid_ckmer5_csp,mlp,119,2,654,0.4444444444444444,0.4285714285714286,target_background,Enterobacter,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,88,2,504,0.48148148148148145,0.475,within_genus_species,Escherichia,69,clean,label
ckmer5_count_l2,logistic,88,2,504,0.5555555555555556,0.5397727272727273,within_genus_species,Escherichia,69,clean,label
ckmer5_count_l2,mlp,88,2,504,0.4074074074074074,0.4065934065934066,within_genus_species,Escherichia,69,clean,label
ckmer7_count_l2,nearest_centroid,88,2,3626,0.4444444444444444,0.4444444444444444,within_genus_species,Escherichia,69,clean,label
ckmer7_count_l2,logistic,88,2,3626,0.2962962962962963,0.2924137931034483,within_genus_species,Escherichia,69,clean,label
ckmer7_count_l2,mlp,88,2,3626,0.5555555555555556,0.55,within_genus_species,Escherichia,69,clean,label
cspaced_count_l2,nearest_centroid,88,2,136,0.25925925925925924,0.2582417582417582,within_genus_species,Escherichia,69,clean,label
cspaced_count_l2,logistic,88,2,136,0.4074074074074074,0.4065934065934066,within_genus_species,Escherichia,69,clean,label
cspaced_count_l2,mlp,88,2,136,0.4444444444444444,0.35612082670906203,within_genus_species,Escherichia,69,clean,label
cspaced_property_l2,nearest_centroid,88,2,147,0.2962962962962963,0.2924137931034483,within_genus_species,Escherichia,69,clean,label
cspaced_property_l2,logistic,88,2,147,0.2962962962962963,0.2962962962962963,within_genus_species,Escherichia,69,clean,label
cspaced_property_l2,mlp,88,2,147,0.5185185185185185,0.47218045112781953,within_genus_species,Escherichia,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,88,2,651,0.4444444444444444,0.4413793103448276,within_genus_species,Escherichia,69,clean,label
hybrid_ckmer5_csp,logistic,88,2,651,0.5185185185185185,0.4935064935064935,within_genus_species,Escherichia,69,clean,label
hybrid_ckmer5_csp,mlp,88,2,651,0.4074074074074074,0.3647058823529412,within_genus_species,Escherichia,69,clean,label
ckmer5_count_l2,nearest_centroid,88,2,504,0.48148148148148145,0.475,target_background,Escherichia,69,clean,target_binary
ckmer5_count_l2,logistic,88,2,504,0.5555555555555556,0.5397727272727273,target_background,Escherichia,69,clean,target_binary
ckmer5_count_l2,mlp,88,2,504,0.4074074074074074,0.4065934065934066,target_background,Escherichia,69,clean,target_binary
ckmer7_count_l2,nearest_centroid,88,2,3626,0.4444444444444444,0.4444444444444444,target_background,Escherichia,69,clean,target_binary
ckmer7_count_l2,logistic,88,2,3626,0.2962962962962963,0.2924137931034483,target_background,Escherichia,69,clean,target_binary
ckmer7_count_l2,mlp,88,2,3626,0.5555555555555556,0.55,target_background,Escherichia,69,clean,target_binary
cspaced_count_l2,nearest_centroid,88,2,136,0.25925925925925924,0.2582417582417582,target_background,Escherichia,69,clean,target_binary
cspaced_count_l2,logistic,88,2,136,0.4074074074074074,0.4065934065934066,target_background,Escherichia,69,clean,target_binary
cspaced_count_l2,mlp,88,2,136,0.4444444444444444,0.35612082670906203,target_background,Escherichia,69,clean,target_binary
cspaced_property_l2,nearest_centroid,88,2,147,0.2962962962962963,0.2924137931034483,target_background,Escherichia,69,clean,target_binary
cspaced_property_l2,logistic,88,2,147,0.2962962962962963,0.2962962962962963,target_background,Escherichia,69,clean,target_binary
cspaced_property_l2,mlp,88,2,147,0.5185185185185185,0.47218045112781953,target_background,Escherichia,69,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,88,2,651,0.4444444444444444,0.4413793103448276,target_background,Escherichia,69,clean,target_binary
hybrid_ckmer5_csp,logistic,88,2,651,0.5185185185185185,0.4935064935064935,target_background,Escherichia,69,clean,target_binary
hybrid_ckmer5_csp,mlp,88,2,651,0.4074074074074074,0.3647058823529412,target_background,Escherichia,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,127,3,510,0.28205128205128205,0.2389153859742095,within_genus_species,Klebsiella,69,clean,label
ckmer5_count_l2,logistic,127,3,510,0.28205128205128205,0.21975416182733257,within_genus_species,Klebsiella,69,clean,label
ckmer5_count_l2,mlp,127,3,510,0.2564102564102564,0.19999999999999998,within_genus_species,Klebsiella,69,clean,label
ckmer7_count_l2,nearest_centroid,127,3,4267,0.28205128205128205,0.2357487922705314,within_genus_species,Klebsiella,69,clean,label
ckmer7_count_l2,logistic,127,3,4267,0.2564102564102564,0.16073781291172595,within_genus_species,Klebsiella,69,clean,label
ckmer7_count_l2,mlp,127,3,4267,0.3076923076923077,0.2772166105499439,within_genus_species,Klebsiella,69,clean,label
cspaced_count_l2,nearest_centroid,127,3,136,0.28205128205128205,0.25439919557566615,within_genus_species,Klebsiella,69,clean,label
cspaced_count_l2,logistic,127,3,136,0.2564102564102564,0.24300318417965475,within_genus_species,Klebsiella,69,clean,label
cspaced_count_l2,mlp,127,3,136,0.41025641025641024,0.3573249362723046,within_genus_species,Klebsiella,69,clean,label
cspaced_property_l2,nearest_centroid,127,3,147,0.28205128205128205,0.25098039215686274,within_genus_species,Klebsiella,69,clean,label
cspaced_property_l2,logistic,127,3,147,0.2564102564102564,0.24300318417965475,within_genus_species,Klebsiella,69,clean,label
cspaced_property_l2,mlp,127,3,147,0.38461538461538464,0.3876262626262626,within_genus_species,Klebsiella,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,127,3,657,0.3076923076923077,0.2658108108108108,within_genus_species,Klebsiella,69,clean,label
hybrid_ckmer5_csp,logistic,127,3,657,0.28205128205128205,0.18837209302325583,within_genus_species,Klebsiella,69,clean,label
hybrid_ckmer5_csp,mlp,127,3,657,0.23076923076923078,0.21097883597883596,within_genus_species,Klebsiella,69,clean,label
ckmer5_count_l2,nearest_centroid,124,2,509,0.4473684210526316,0.4145267791636097,target_background,Klebsiella,69,clean,target_binary
ckmer5_count_l2,logistic,124,2,509,0.4473684210526316,0.3968253968253968,target_background,Klebsiella,69,clean,target_binary
ckmer5_count_l2,mlp,124,2,509,0.34210526315789475,0.3030080704328687,target_background,Klebsiella,69,clean,target_binary
ckmer7_count_l2,nearest_centroid,124,2,4223,0.5789473684210527,0.36666666666666664,target_background,Klebsiella,69,clean,target_binary
ckmer7_count_l2,logistic,124,2,4223,0.631578947368421,0.3870967741935484,target_background,Klebsiella,69,clean,target_binary
ckmer7_count_l2,mlp,124,2,4223,0.3684210526315789,0.3684210526315789,target_background,Klebsiella,69,clean,target_binary
cspaced_count_l2,nearest_centroid,124,2,136,0.6578947368421053,0.6375641966250918,target_background,Klebsiella,69,clean,target_binary
cspaced_count_l2,logistic,124,2,136,0.5789473684210527,0.5476190476190476,target_background,Klebsiella,69,clean,target_binary
cspaced_count_l2,mlp,124,2,136,0.7105263157894737,0.6140350877192982,target_background,Klebsiella,69,clean,target_binary
cspaced_property_l2,nearest_centroid,124,2,147,0.6842105263157895,0.6695652173913043,target_background,Klebsiella,69,clean,target_binary
cspaced_property_l2,logistic,124,2,147,0.5526315789473685,0.5260454878943507,target_background,Klebsiella,69,clean,target_binary
cspaced_property_l2,mlp,124,2,147,0.6052631578947368,0.5324036095159967,target_background,Klebsiella,69,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,124,2,656,0.47368421052631576,0.43452380952380953,target_background,Klebsiella,69,clean,target_binary
hybrid_ckmer5_csp,logistic,124,2,656,0.4473684210526316,0.37411764705882355,target_background,Klebsiella,69,clean,target_binary
hybrid_ckmer5_csp,mlp,124,2,656,0.3684210526315789,0.3214285714285714,target_background,Klebsiella,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,153,4,512,0.32608695652173914,0.32456140350877194,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer5_count_l2,logistic,153,4,512,0.2826086956521739,0.2792176180817154,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer5_count_l2,mlp,153,4,512,0.2826086956521739,0.22473684210526318,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer7_count_l2,nearest_centroid,153,4,4949,0.1956521739130435,0.1635950854700855,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer7_count_l2,logistic,153,4,4949,0.1956521739130435,0.1673992673992674,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer7_count_l2,mlp,153,4,4949,0.2391304347826087,0.22010489510489512,within_genus_species,Acinetobacter,69,substitution_1pct,label
cspaced_count_l2,nearest_centroid,153,4,136,0.2391304347826087,0.2383893280632411,within_genus_species,Acinetobacter,69,substitution_1pct,label
cspaced_count_l2,logistic,153,4,136,0.2826086956521739,0.28286195286195287,within_genus_species,Acinetobacter,69,substitution_1pct,label
cspaced_count_l2,mlp,153,4,136,0.2608695652173913,0.23373071528751754,within_genus_species,Acinetobacter,69,substitution_1pct,label
cspaced_property_l2,nearest_centroid,153,4,147,0.2391304347826087,0.2383893280632411,within_genus_species,Acinetobacter,69,substitution_1pct,label
cspaced_property_l2,logistic,153,4,147,0.30434782608695654,0.3017857142857143,within_genus_species,Acinetobacter,69,substitution_1pct,label
cspaced_property_l2,mlp,153,4,147,0.32608695652173914,0.27090738381060964,within_genus_species,Acinetobacter,69,substitution_1pct,label
hybrid_ckmer5_csp,nearest_centroid,153,4,659,0.32608695652173914,0.32148033126293996,within_genus_species,Acinetobacter,69,substitution_1pct,label
hybrid_ckmer5_csp,logistic,153,4,659,0.2826086956521739,0.2683659874608151,within_genus_species,Acinetobacter,69,substitution_1pct,label
hybrid_ckmer5_csp,mlp,153,4,659,0.21739130434782608,0.19462915601023018,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer5_count_l2,nearest_centroid,144,3,493,0.38636363636363635,0.3694331983805668,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer5_count_l2,logistic,144,3,493,0.4318181818181818,0.41554741554741553,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer5_count_l2,mlp,144,3,493,0.38636363636363635,0.32933914306463324,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer7_count_l2,nearest_centroid,144,3,3479,0.3409090909090909,0.33919354838709675,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer7_count_l2,logistic,144,3,3479,0.38636363636363635,0.3845277821918534,within_genus_species,Burkholderia,69,substitution_1pct,label
ckmer7_count_l2,mlp,144,3,3479,0.38636363636363635,0.38185260311020963,within_genus_species,Burkholderia,69,substitution_1pct,label
cspaced_count_l2,nearest_centroid,144,3,136,0.3181818181818182,0.31668657905217046,within_genus_species,Burkholderia,69,substitution_1pct,label
cspaced_count_l2,logistic,144,3,136,0.22727272727272727,0.21665990534144694,within_genus_species,Burkholderia,69,substitution_1pct,label
cspaced_count_l2,mlp,144,3,136,0.3181818181818182,0.3091787439613527,within_genus_species,Burkholderia,69,substitution_1pct,label
cspaced_property_l2,nearest_centroid,144,3,147,0.3181818181818182,0.3125268817204301,within_genus_species,Burkholderia,69,substitution_1pct,label
cspaced_property_l2,logistic,144,3,147,0.22727272727272727,0.21560846560846558,within_genus_species,Burkholderia,69,substitution_1pct,label
cspaced_property_l2,mlp,144,3,147,0.3181818181818182,0.2914285714285714,within_genus_species,Burkholderia,69,substitution_1pct,label
