length,condition,condition_label,method,pattern,cardinality,span,role,add_property,n_pairs,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,retrieval_top1,n_features
75,N_3pct,3% N mask,canonical spaced,0-1-2-3,4,4,primary four-position scan,False,240,0.9697931684631317,0.9575680584006716,0.24353103280040986,0.2913138559496845,1.0,136
75,N_3pct,3% N mask,canonical spaced + property,0-1-2-3,4,4,primary four-position scan,True,240,0.9951855223103802,0.9938234899154285,0.09777887764670247,0.11114410588292324,1.0,147
75,N_3pct,3% N mask,canonical spaced,0-1-3-6,4,7,primary four-position scan,False,240,0.96744266363926,0.9515164561802847,0.2523643883554486,0.31139418450635237,1.0,136
75,N_3pct,3% N mask,canonical spaced + property,0-1-3-6,4,7,primary four-position scan,True,240,0.9949352454732915,0.9931650108669813,0.10018907071825216,0.11691853540051511,1.0,147
75,N_3pct,3% N mask,canonical spaced,0-2-4-6,4,7,primary four-position scan,False,240,0.9678035950713526,0.950691249826141,0.2508013633442954,0.3140333409290127,1.0,136
75,N_3pct,3% N mask,canonical spaced + property,0-2-4-6,4,7,primary four-position scan,True,240,0.99497165696697,0.9932937305223853,0.09978751166073892,0.11581239035416813,1.0,147
75,N_3pct,3% N mask,canonical spaced,0-1-4-7,4,8,primary four-position scan,False,240,0.9669723342864245,0.9514953982550819,0.25420590663074666,0.3114624565757753,1.0,136
75,N_3pct,3% N mask,canonical spaced + property,0-1-4-7,4,8,primary four-position scan,True,240,0.9948861618180778,0.9932903883143864,0.10066550265272473,0.1158413553365191,1.0,147
75,N_3pct,3% N mask,canonical spaced,0-2-5-7,4,8,primary four-position scan,False,240,0.967924517005161,0.9547123317504134,0.25077461080611435,0.30095682306666904,1.0,136
75,N_3pct,3% N mask,canonical spaced + property,0-2-5-7,4,8,primary four-position scan,True,240,0.9949888733069387,0.9935482073686288,0.09970471477051657,0.1135939483005588,1.0,147
75,N_3pct,3% N mask,canonical spaced,0-2-5-8,4,9,primary four-position scan,False,240,0.9671644380186104,0.9517546637621387,0.253599526102378,0.3106294777958503,1.0,136
75,N_3pct,3% N mask,canonical spaced + property,0-2-5-8,4,9,primary four-position scan,True,240,0.9948996604554278,0.993441350860796,0.10054362109181159,0.11453077350091087,1.0,147
75,N_3pct,3% N mask,canonical spaced,0-3-5-8,4,9,primary four-position scan,False,240,0.9678602190047232,0.9515044855837634,0.2505842168383193,0.31143373497123766,1.0,136
75,N_3pct,3% N mask,canonical spaced + property,0-3-5-8,4,9,primary four-position scan,True,240,0.994977107970886,0.9932437731613781,0.0997191120663907,0.1162430712443526,1.0,147
75,N_3pct,3% N mask,canonical spaced,0-3-6-9,4,10,primary four-position scan,False,240,0.9672878352151102,0.9496597329340221,0.25202940982529365,0.3173011822325336,1.0,136
75,N_3pct,3% N mask,canonical spaced + property,0-3-6-9,4,10,primary four-position scan,True,240,0.9949130587730993,0.992913027323446,0.10023389202701746,0.1190540742897826,1.0,147
75,N_3pct,3% N mask,canonical spaced,0-1-2-3-4,5,5,cardinality sanity check,False,240,0.9464681001089329,0.9285478282211374,0.3247311362557061,0.37802687579486416,1.0,512
75,N_3pct,3% N mask,canonical spaced + property,0-1-2-3-4,5,5,cardinality sanity check,True,240,0.9926536085059671,0.9906709627419326,0.12064619499192794,0.13659451201772774,1.0,523
75,N_3pct,3% N mask,canonical spaced,0-1-3-6-9,5,10,cardinality sanity check,False,240,0.9438932354666636,0.925184624820287,0.3317145671284071,0.3868201364952335,1.0,512
75,N_3pct,3% N mask,canonical spaced + property,0-1-3-6-9,5,10,cardinality sanity check,True,240,0.9923771182406181,0.9898567691693969,0.12273010567953622,0.14243049817239725,1.0,523
75,N_3pct,3% N mask,canonical spaced,0-2-4-6-8,5,9,cardinality sanity check,False,240,0.9433553152703968,0.9192253110584103,0.3330304530021479,0.40193201128805783,1.0,512
75,N_3pct,3% N mask,canonical spaced + property,0-2-4-6-8,5,9,cardinality sanity check,True,240,0.9923200650152922,0.9899872796777893,0.12311865284212528,0.1415112371764574,1.0,523
75,substitution_1pct,1% substitution,canonical spaced,0-1-2,3,3,cardinality sanity check,False,240,0.9921189203366291,0.9746220322931736,0.08962264429768538,0.22528787686015034,1.0,32
75,substitution_1pct,1% substitution,canonical spaced + property,0-1-2,3,3,cardinality sanity check,True,240,0.9991499179667716,0.9972576195083551,0.02948142590648711,0.07405897533944349,1.0,43
75,substitution_1pct,1% substitution,canonical spaced,0-2-4,3,5,cardinality sanity check,False,240,0.9910036687888559,0.9699982878144776,0.09498727298945633,0.24495552641672777,1.0,32
75,substitution_1pct,1% substitution,canonical spaced + property,0-2-4,3,5,cardinality sanity check,True,240,0.9990315151899878,0.9967713640198761,0.031236369219428402,0.08035628852144062,1.0,43
75,substitution_1pct,1% substitution,canonical spaced,0-3-6,3,7,cardinality sanity check,False,240,0.9912098555517032,0.969983552581971,0.09384415520202359,0.24501549563618427,1.0,32
75,substitution_1pct,1% substitution,canonical spaced + property,0-3-6,3,7,cardinality sanity check,True,240,0.9990509763881332,0.9967964214418618,0.03087564165208824,0.08004469912315357,1.0,43
75,substitution_1pct,1% substitution,canonical spaced,0-1-2-3,4,4,primary four-position scan,False,240,0.976895174768462,0.9274952350435534,0.15448192737369162,0.38080082546763866,1.0,136
75,substitution_1pct,1% substitution,canonical spaced + property,0-1-2-3,4,4,primary four-position scan,True,240,0.9975214968780544,0.9920455241537808,0.05059058314110533,0.12612963779062739,1.0,147
75,substitution_1pct,1% substitution,canonical spaced,0-1-3-6,4,7,primary four-position scan,False,240,0.9751627518693408,0.9209263291528614,0.1595838988462853,0.3976771116537066,1.0,136
75,substitution_1pct,1% substitution,canonical spaced + property,0-1-3-6,4,7,primary four-position scan,True,240,0.9973424877291303,0.9916114187602201,0.05222671837217469,0.12952593223144077,1.0,147
