sample_id,length,local_mode,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,n_features
L69_center_00117,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3549113635827631,136
L69_center_00118,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41949419718211917,136
L69_center_00119,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3746343246326775,136
L69_center_00120,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41422822079454824,136
L69_center_00121,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4337163813602213,136
L69_center_00122,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4018984559748599,136
L69_center_00123,69,center,ck4,CK4,dispersed_random,dispersed,random,0.404255838880365,136
L69_center_00124,69,center,ck4,CK4,dispersed_random,dispersed,random,0.37083582793619707,136
L69_center_00125,69,center,ck4,CK4,dispersed_random,dispersed,random,0.42542074729319757,136
L69_center_00126,69,center,ck4,CK4,dispersed_random,dispersed,random,0.40728240460685255,136
L69_center_00127,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3964671379410596,136
L69_center_00128,69,center,ck4,CK4,dispersed_random,dispersed,random,0.40099630984983964,136
L69_center_00129,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3590032475465279,136
L69_center_00130,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3650125061148042,136
L69_center_00131,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3816181163056835,136
L69_center_00132,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3982653429934891,136
L69_center_00133,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3467010428627669,136
L69_center_00134,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4009632279164033,136
L69_center_00135,69,center,ck4,CK4,dispersed_random,dispersed,random,0.36989591748983064,136
L69_center_00136,69,center,ck4,CK4,dispersed_random,dispersed,random,0.414653261313358,136
L69_center_00137,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39200207512434493,136
L69_center_00138,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3797779319612638,136
L69_center_00139,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41840983885794497,136
L69_center_00140,69,center,ck4,CK4,dispersed_random,dispersed,random,0.32576146110642096,136
L69_center_00141,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4587234109282491,136
L69_center_00142,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3535533905932738,136
L69_center_00143,69,center,ck4,CK4,dispersed_random,dispersed,random,0.2827124012060619,136
L69_center_00144,69,center,ck4,CK4,dispersed_random,dispersed,random,0.35044733100566766,136
L69_center_00145,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3942636878361688,136
L69_center_00146,69,center,ck4,CK4,dispersed_random,dispersed,random,0.392232270276368,136
L69_center_00147,69,center,ck4,CK4,dispersed_random,dispersed,random,0.28409534552822147,136
L69_center_00148,69,center,ck4,CK4,dispersed_random,dispersed,random,0.36070212084639264,136
L69_center_00149,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4092763325194412,136
L69_center_00150,69,center,ck4,CK4,dispersed_random,dispersed,random,0.2514916762978347,136
L69_center_00151,69,center,ck4,CK4,dispersed_random,dispersed,random,0.38809042446809605,136
L69_center_00152,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39223227027636803,136
L69_center_00153,69,center,ck4,CK4,dispersed_random,dispersed,random,0.38785397695116774,136
L69_center_00154,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3305092897994157,136
L69_center_00155,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4077605649301839,136
L69_center_00156,69,center,ck4,CK4,dispersed_random,dispersed,random,0.34299717028501764,136
L69_center_00157,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4330127018922194,136
L69_center_00158,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4139391711076612,136
L69_center_00159,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41465326131335806,136
L69_center_00160,69,center,ck4,CK4,dispersed_random,dispersed,random,0.418129270556127,136
L69_center_00161,69,center,ck4,CK4,dispersed_random,dispersed,random,0.40551480178178345,136
L69_center_00162,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3942636878361687,136
L69_center_00163,69,center,ck4,CK4,dispersed_random,dispersed,random,0.38575245920571233,136
L69_center_00164,69,center,ck4,CK4,dispersed_random,dispersed,random,0.35044733100566766,136
L69_center_00165,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4165109787873087,136
L69_center_00166,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4120660855599384,136
L69_center_00167,69,center,ck4,CK4,dispersed_random,dispersed,random,0.36451647042016416,136
L69_center_00168,69,center,ck4,CK4,dispersed_random,dispersed,random,0.41393917110766115,136
L69_center_00169,69,center,ck4,CK4,dispersed_random,dispersed,random,0.42386362352677354,136
L69_center_00170,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4018984559748599,136
L69_center_00171,69,center,ck4,CK4,dispersed_random,dispersed,random,0.39561133666904696,136
L69_center_00172,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3164452620629015,136
L69_center_00173,69,center,ck4,CK4,dispersed_random,dispersed,random,0.36372438919847516,136
L69_center_00174,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3844873646277727,136
