target_label,length,condition,comparator,absolute_f1_difference,absolute_ci_low,absolute_ci_high,relative_drop_difference,relative_drop_ci_low,relative_drop_ci_high
tax_434085,100,substitution_1pct,ck4_p,-0.0025760415751115984,-0.00674529984361919,0.0015775551884440377,0.0016121966189578396,-0.003061142017234067,0.00624003793757529
tax_434085,100,substitution_1pct,ck4_msp,-0.0009299372096153169,-0.005070546257451606,0.003216759092341598,0.0028484168749419725,-0.0025696738292852266,0.007950789238845781
tax_434085,100,substitution_1pct,ck5,-0.007218825813377738,-0.019019426039102075,0.004885446570870392,0.006677165298560328,-0.0017393106727327022,0.0157981405284948
tax_434085,100,substitution_1pct,pseknc_k3_l3,0.008857003844550237,-0.004003382383636958,0.0227136980167883,0.0038168870320421933,-0.006230044607123083,0.014560740891112279
tax_434085,100,substitution_1pct,ncp_anf,0.19209996684627162,0.1696870497274239,0.21853491549753498,-0.0015874258163118826,-0.012842394534121254,0.008951201260250811
tax_434085,100,substitution_1pct,pseeiip,0.003734357651596465,-0.011253693170423315,0.016139710767371706,0.002124755397395095,-0.008213732308252916,0.01204768273877227
tax_434085,100,substitution_1pct,hash_k15_d222,0.2505646840113325,0.2237342959425632,0.27689051855649693,0.004680174343325572,-0.011144864126348339,0.019712887036909908
tax_247639,69,N_3pct,ck4,0.030882239944099332,0.019169128242589317,0.042454298932806556,0.036724179883760644,0.0236866598094995,0.05061483515982101
tax_247639,69,N_3pct,ck4_p,0.002462558723675734,-0.002880927642572606,0.007908842877314779,0.005815866985684037,-0.0016877502525437821,0.013245460250375686
tax_247639,69,N_3pct,ck4_msp,0.014087194864801478,0.006416224790918257,0.022973360732163512,0.01617462049732954,0.007238822579985779,0.025726949682775432
tax_247639,69,N_3pct,ck5,0.003324838854089407,-0.010562981117808625,0.016551451921695323,-0.006212831998811508,-0.02223976673211838,0.010873628680510963
tax_247639,69,N_3pct,pseknc_k3_l3,-0.00807708505674487,-0.022526121710717127,0.006771908709507261,-0.028597321715924218,-0.044727008774829095,-0.00941957949169529
tax_247639,69,N_3pct,ncp_anf,0.19193534047617966,0.1649688911686885,0.21724994249825427,-0.054836973428804225,-0.07996100175872857,-0.030808676978850074
tax_247639,69,N_3pct,pseeiip,0.02955935084487038,0.013058738573618176,0.04704410152926652,0.01698718724392312,-0.002515665561494948,0.03606492022817524
tax_247639,69,N_3pct,hash_k15_d222,0.1997619662521759,0.17330643180583827,0.2264476968551013,-0.07946321951193414,-0.10631280879928427,-0.05412816839787726
tax_247639,69,clean,ck4,0.00642527746062771,-0.003025983692875439,0.015225955011352684,0.012267217400289021,0.0013767184292335867,0.022873458971358625
tax_247639,69,clean,ck4_p,0.006288558961128121,0.0009455012171233429,0.012490292598982343,0.009641867223136424,0.001966823289758726,0.017951341258677134
tax_247639,69,clean,ck4_msp,0.004794770792344583,-0.0008932442594009271,0.011458375345829264,0.006882196424872644,-3.1652339315832425e-05,0.014793878552715602
tax_247639,69,clean,ck5,-0.015840056822121307,-0.030953395837572627,-0.0023502973582900715,-0.02537772767502222,-0.042409229883603856,-0.009168214923170385
tax_247639,69,clean,pseknc_k3_l3,-0.0004761412647096286,-0.016326971953057715,0.014310936281162505,-0.020996377923888976,-0.03759086870537153,-0.003045549432494566
tax_247639,69,clean,ncp_anf,0.1994217426167093,0.17302165517061657,0.22519489198183004,-0.04735057128827458,-0.0716109861232724,-0.022832195265887246
tax_247639,69,clean,pseeiip,0.015742650584673612,-0.0010171912091123223,0.03238457697461774,0.0031704869837263505,-0.01577556566240621,0.02207645175987779
tax_247639,69,clean,hash_k15_d222,0.20365735600851842,0.17810138213471896,0.23191510818597835,-0.07556782975559162,-0.09865568421849498,-0.05277073643054471
tax_247639,69,substitution_1pct,ck4,0.01019023197363611,0.0018284362797555548,0.019630472973318065,0.01603217191329742,0.006018973866305061,0.027158150998705912
tax_247639,69,substitution_1pct,ck4_p,0.0019286532416350477,-0.003196772133413778,0.007033677135055174,0.005281961503643351,-0.0014449773481282151,0.012250447109921226
tax_247639,69,substitution_1pct,ck4_msp,0.004344456962428356,-0.001039374109694477,0.009320629782169987,0.006431882594956417,-0.0008303049532166928,0.012961112802771848
tax_247639,69,substitution_1pct,ck5,-0.014687839282003234,-0.029243990729813606,-0.001017654176600303,-0.02422551013490415,-0.04125462476920942,-0.007418001754995457
