task,length,condition,model,input_name,seed,combo_seed,epoch,train_loss,val_loss
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,10,2.1657865047454834,2.661116600036621
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,11,2.078544725974401,2.6437599658966064
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,12,1.9948964814345045,2.632387161254883
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,13,1.9131007591883344,2.622164964675904
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,14,1.8339134852091472,2.6186723709106445
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,15,1.756079018115997,2.6209607124328613
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,16,1.680961360534032,2.6245408058166504
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,17,1.6083446244398754,2.6340794563293457
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,18,1.53495188554128,2.6463942527771
global_species,69,clean,mlp_csp,cspaced_property_l2,606,2003,19,1.4659440020720165,2.65864372253418
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,1,3.0200830698013306,2.9050285816192627
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,2,2.448239088058472,2.7752950191497803
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,3,1.9974869688351948,2.6540346145629883
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,4,1.575838456551234,2.5736262798309326
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,5,1.1920026938120525,2.532813787460327
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,6,0.8612458556890488,2.522658109664917
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,7,0.5990989257891973,2.5433645248413086
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,8,0.4079682404796282,2.5807361602783203
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,9,0.2802320830523968,2.619866371154785
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,10,0.1980600754419962,2.651880979537964
global_species,69,clean,mlp_hybrid,hybrid_ckmer5_csp,606,2006,11,0.1462527985374132,2.6945278644561768
global_species,69,clean,cnn_onehot,onehot,606,2006,1,3.061215321222941,3.048346996307373
global_species,69,clean,cnn_onehot,onehot,606,2006,2,3.0439902941385903,3.0440056324005127
global_species,69,clean,cnn_onehot,onehot,606,2006,3,3.0341513951619468,3.0410194396972656
global_species,69,clean,cnn_onehot,onehot,606,2006,4,3.027432342370352,3.037876844406128
global_species,69,clean,cnn_onehot,onehot,606,2006,5,3.020852486292521,3.035348653793335
global_species,69,clean,cnn_onehot,onehot,606,2006,6,3.0152886311213174,3.032972574234009
global_species,69,clean,cnn_onehot,onehot,606,2006,7,3.007007678349813,3.029656410217285
global_species,69,clean,cnn_onehot,onehot,606,2006,8,2.999667167663574,3.0267019271850586
global_species,69,clean,cnn_onehot,onehot,606,2006,9,2.9912009239196777,3.0223217010498047
global_species,69,clean,cnn_onehot,onehot,606,2006,10,2.9826812148094177,3.01639723777771
global_species,69,clean,cnn_onehot,onehot,606,2006,11,2.971015155315399,3.0096635818481445
global_species,69,clean,cnn_onehot,onehot,606,2006,12,2.9566394090652466,2.999993801116944
global_species,69,clean,cnn_onehot,onehot,606,2006,13,2.9398544232050576,2.986593723297119
global_species,69,clean,cnn_onehot,onehot,606,2006,14,2.919695814450582,2.972208261489868
global_species,69,clean,cnn_onehot,onehot,606,2006,15,2.895506342252096,2.951544523239136
global_species,69,clean,cnn_onehot,onehot,606,2006,16,2.866720219453176,2.924237966537476
global_species,69,clean,cnn_onehot,onehot,606,2006,17,2.831240197022756,2.8943076133728027
global_species,69,clean,cnn_onehot,onehot,606,2006,18,2.78840967019399,2.859292268753052
global_species,69,clean,cnn_onehot,onehot,606,2006,19,2.7450884779294333,2.817460060119629
global_species,69,clean,cnn_onehot,onehot,606,2006,20,2.6905844807624817,2.77528977394104
global_species,69,clean,cnn_onehot,onehot,606,2006,21,2.639445086320241,2.727504014968872
global_species,69,clean,cnn_onehot,onehot,606,2006,22,2.5834375619888306,2.687486410140991
global_species,69,clean,cnn_onehot,onehot,606,2006,23,2.5364561080932617,2.6613879203796387
global_species,69,clean,cnn_onehot,onehot,606,2006,24,2.48939577738444,2.61479926109314
global_species,69,clean,cnn_property,property,606,2008,1,3.055401702721914,3.0424609184265137
global_species,69,clean,cnn_property,property,606,2008,2,3.04023140668869,3.037959098815918
global_species,69,clean,cnn_property,property,606,2008,3,3.031647006670634,3.0338926315307617
global_species,69,clean,cnn_property,property,606,2008,4,3.024320920308431,3.029659509658813
global_species,69,clean,cnn_property,property,606,2008,5,3.014095683892568,3.023109436035156
global_species,69,clean,cnn_property,property,606,2008,6,3.0022907058397927,3.014451265335083
global_species,69,clean,cnn_property,property,606,2008,7,2.988170325756073,3.003312349319458
global_species,69,clean,cnn_property,property,606,2008,8,2.9716258446375527,2.988126516342163
global_species,69,clean,cnn_property,property,606,2008,9,2.948048233985901,2.966682910919189
global_species,69,clean,cnn_property,property,606,2008,10,2.924080769220988,2.9452121257781982
global_species,69,clean,cnn_property,property,606,2008,11,2.886602739493052,2.9166722297668457
global_species,69,clean,cnn_property,property,606,2008,12,2.8455024361610413,2.8784799575805664
global_species,69,clean,cnn_property,property,606,2008,13,2.798353016376496,2.845163583755493
global_species,69,clean,cnn_property,property,606,2008,14,2.746411820252737,2.80438494682312
global_species,69,clean,cnn_property,property,606,2008,15,2.698270579179128,2.758004665374756
global_species,69,clean,cnn_property,property,606,2008,16,2.650745908419291,2.756887674331665
global_species,69,clean,cnn_property,property,606,2008,17,2.614347100257873,2.6974544525146484
global_species,69,clean,cnn_property,property,606,2008,18,2.569633344809214,2.663239002227783
global_species,69,clean,cnn_property,property,606,2008,19,2.5380995869636536,2.6466405391693115
global_species,69,clean,cnn_property,property,606,2008,20,2.5038722157478333,2.633763551712036
global_species,69,clean,cnn_property,property,606,2008,21,2.486020088195801,2.654501676559448
global_species,69,clean,cnn_property,property,606,2008,22,2.45731528600057,2.5999562740325928
global_species,69,clean,cnn_property,property,606,2008,23,2.437146743138632,2.5946078300476074
global_species,69,clean,cnn_property,property,606,2008,24,2.4082270661989846,2.585127353668213
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,1,3.1294261614481607,3.0625879764556885
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,2,3.056352416674296,3.0360090732574463
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,3,3.033132175604502,3.0219321250915527
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,4,3.025416473547617,3.0097086429595947
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,5,3.010279496510824,2.9904751777648926
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,6,2.9850738644599915,2.967576265335083
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,7,2.953952511151632,2.928047180175781
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,8,2.9113078912099204,2.876218557357788
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,9,2.852252463499705,2.816805362701416
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,10,2.79474808772405,2.7549796104431152
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,11,2.7325706084569297,2.711750030517578
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,12,2.6925581296284995,2.654942750930786
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,13,2.6421675284703574,2.6430132389068604
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,14,2.6167136629422507,2.591466426849365
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,15,2.577708780765533,2.5627188682556152
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,16,2.5634885430336,2.5481951236724854
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,17,2.5371746023496,2.591595411300659
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,18,2.527344504992167,2.5257723331451416
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,19,2.5163774887720742,2.513034582138061
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,20,2.515498956044515,2.520155668258667
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,21,2.495487848917643,2.499614953994751
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,22,2.4871642192204795,2.491382837295532
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,23,2.4801240960756936,2.486889123916626
global_species,69,clean,tiny_transformer_onehot,onehot,606,2019,24,2.4818384051322937,2.548677921295166
global_species,69,clean,tiny_transformer_property,property,606,2021,1,3.1492572824160256,3.065884113311768
global_species,69,clean,tiny_transformer_property,property,606,2021,2,3.061270078023275,3.031568765640259
global_species,69,clean,tiny_transformer_property,property,606,2021,3,3.04280557235082,3.015320301055908
global_species,69,clean,tiny_transformer_property,property,606,2021,4,3.0174493392308555,2.993846893310547
global_species,69,clean,tiny_transformer_property,property,606,2021,5,2.9991073409716287,2.968092203140259
global_species,69,clean,tiny_transformer_property,property,606,2021,6,2.968534290790558,2.9279565811157227
global_species,69,clean,tiny_transformer_property,property,606,2021,7,2.923091173171997,2.8724160194396973
global_species,69,clean,tiny_transformer_property,property,606,2021,8,2.8642541766166687,2.8046350479125977
global_species,69,clean,tiny_transformer_property,property,606,2021,9,2.805753529071808,2.747030019760132
global_species,69,clean,tiny_transformer_property,property,606,2021,10,2.753177265326182,2.6848268508911133
global_species,69,clean,tiny_transformer_property,property,606,2021,11,2.6892598470052085,2.62477970123291
global_species,69,clean,tiny_transformer_property,property,606,2021,12,2.6395614544550576,2.586300611495972
global_species,69,clean,tiny_transformer_property,property,606,2021,13,2.612111667792002,2.561896324157715
global_species,69,clean,tiny_transformer_property,property,606,2021,14,2.5970514019330344,2.5491740703582764
global_species,69,clean,tiny_transformer_property,property,606,2021,15,2.5630879004796348,2.545585870742798
global_species,69,clean,tiny_transformer_property,property,606,2021,16,2.553043146928152,2.5372509956359863
global_species,69,clean,tiny_transformer_property,property,606,2021,17,2.542895714441935,2.523360013961792
global_species,69,clean,tiny_transformer_property,property,606,2021,18,2.538104077180227,2.5205466747283936
global_species,69,clean,tiny_transformer_property,property,606,2021,19,2.5267041524251304,2.5091590881347656
global_species,69,clean,tiny_transformer_property,property,606,2021,20,2.505330264568329,2.5029172897338867
global_species,69,clean,tiny_transformer_property,property,606,2021,21,2.4985245068868003,2.509150266647339
global_species,69,clean,tiny_transformer_property,property,606,2021,22,2.493717829386393,2.4953620433807373
global_species,69,clean,tiny_transformer_property,property,606,2021,23,2.4969213207562766,2.4905648231506348
global_species,69,clean,tiny_transformer_property,property,606,2021,24,2.4719490011533103,2.491931676864624
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,1,1.605234424273173,1.6271954774856567
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,2,1.2996546824773152,1.6180102825164795
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,3,1.0816007057825725,1.612768530845642
within_genus_species:Enterobacter,69,clean,mlp_ckmer5,ckmer5_count_l2,606,2253,4,0.9032699863115946,1.6090049743652344
