task,length,condition,model,family,input_name,macro_f1,accuracy,clean_macro_f1,clean_accuracy,macro_f1_drop_vs_clean,accuracy_drop_vs_clean
within_genus_species:Enterobacter,75,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.2225518341307815,0.2452830188679245,0.1716666666666667,0.2264150943396226,-0.05088516746411481,-0.01886792452830191
within_genus_species:Enterobacter,75,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.1264957264957265,0.1698113207547169,0.2325757575757575,0.2641509433962264,0.106080031080031,0.09433962264150952
within_genus_species:Enterobacter,75,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1356313861577019,0.1698113207547169,0.2267113931072741,0.2264150943396226,0.09108000694957219,0.0566037735849057
within_genus_species:Enterobacter,75,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,0.1638888888888889,0.2452830188679245,0.0775757575757575,0.1509433962264151,-0.08631313131313138,-0.09433962264150941
within_genus_species:Enterobacter,75,substitution_1pct_N_3pct,cnn_property,cnn1d,property,0.0509090909090909,0.1320754716981132,0.0491228070175438,0.1320754716981132,-0.0017862838915470997,0.0
within_genus_species:Enterobacter,75,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.064516129032258,0.1886792452830188,0.1521739130434782,0.2075471698113207,0.0876577840112202,0.01886792452830191
within_genus_species:Enterobacter,75,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.0809523809523809,0.1132075471698113,0.1445375494071146,0.2075471698113207,0.0635851684547337,0.09433962264150941
target_background,100,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.6049382716049383,0.6145833333333334,0.6498286724881177,0.65625,0.044890400883179415,0.04166666666666663
target_background,100,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.5623100303951367,0.5625,0.52,0.5208333333333334,-0.0423100303951367,-0.04166666666666663
target_background,100,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.5195195195195195,0.53125,0.6665219279201042,0.6666666666666666,0.14700240840058476,0.13541666666666663
