task,label_col,length,condition,model,family,input_name,input_kind,seed,combo_seed,input_shape,n_features,density,n_samples,n_train,n_val,n_test,n_classes,epochs_ran,best_val_loss,final_train_loss,final_val_loss,accuracy,macro_f1
target_background,target_binary,75,clean,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2147,512,512,0.121337890625,320,168,56,96,2,6,0.7569603323936462,0.1305879441400369,0.9819031953811646,0.5416666666666666,0.5366388767003072
target_background,target_binary,75,clean,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2144,147,147,0.4126913265306122,320,168,56,96,2,14,0.6227632761001587,0.3433986256519953,0.6474580764770508,0.5520833333333334,0.5508649766075508
target_background,target_binary,75,clean,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2147,659,659,0.1863287177541729,320,168,56,96,2,6,0.7076128721237183,0.0947785185029109,0.899888813495636,0.4583333333333333,0.4428571428571428
target_background,target_binary,75,clean,cnn_onehot,cnn1d,onehot,channels,606,2147,5x75,375,0.2,320,168,56,96,2,24,0.6811643242835999,0.6072146892547607,0.6811643242835999,0.5208333333333334,0.5132275132275133
target_background,target_binary,75,clean,cnn_property,cnn1d,property,channels,606,2149,5x75,375,0.6031583333333334,320,168,56,96,2,8,0.6933345794677734,0.6795666515827179,0.6938355565071106,0.5208333333333334,0.5071428571428571
target_background,target_binary,75,clean,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2160,5x75,375,0.2,320,168,56,96,2,10,0.6926606893539429,0.6901035209496816,0.6943251490592957,0.5,0.4891352549889135
target_background,target_binary,75,clean,tiny_transformer_property,tiny_transformer,property,channels,606,2162,5x75,375,0.6031583333333334,320,168,56,96,2,24,0.6404519081115723,0.6636844078699747,0.6452263593673706,0.4375,0.4352941176470588
global_species,label,75,clean,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2108,512,512,0.1214001747953615,733,384,129,220,21,12,2.5391721725463867,0.1731309170524279,2.665088176727295,0.1227272727272727,0.1067620660304255
global_species,label,75,clean,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2105,147,147,0.4115599855221761,733,384,129,220,21,17,2.721184492111206,1.6684045791625977,2.7499985694885254,0.1136363636363636,0.090057600351718
global_species,label,75,clean,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2108,659,659,0.1861247456251669,733,384,129,220,21,10,2.544886350631714,0.200599572310845,2.663105726242065,0.0954545454545454,0.0775592399924531
global_species,label,75,clean,cnn_onehot,cnn1d,onehot,channels,606,2108,5x75,375,0.2,733,384,129,220,21,24,2.52095365524292,2.386448880036672,2.52095365524292,0.1227272727272727,0.1005055143189017
global_species,label,75,clean,cnn_property,cnn1d,property,channels,606,2110,5x75,375,0.6023756252842201,733,384,129,220,21,24,2.620497941970825,2.470310151576996,2.624098300933838,0.1454545454545454,0.126112923460603
global_species,label,75,clean,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2121,5x75,375,0.2,733,384,129,220,21,24,2.531080961227417,2.5101919770240784,2.5501904487609863,0.1409090909090909,0.0965626501730188
global_species,label,75,clean,tiny_transformer_property,tiny_transformer,property,channels,606,2123,5x75,375,0.6023756252842201,733,384,129,220,21,24,2.562392473220825,2.4835224747657776,2.5709595680236816,0.1318181818181818,0.0770926332934402
within_genus_species:Enterobacter,label,75,clean,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2355,511,511,0.1249538719597428,175,91,31,53,5,8,1.5858405828475952,0.4318465491135915,1.6251693964004517,0.2264150943396226,0.1716666666666667
within_genus_species:Enterobacter,label,75,clean,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2352,147,147,0.4242565597667638,175,91,31,53,5,14,1.601896047592163,1.1011494795481365,1.602853298187256,0.2641509433962264,0.2325757575757575
within_genus_species:Enterobacter,label,75,clean,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2355,658,658,0.19181936604429,175,91,31,53,5,8,1.6218971014022827,0.2548710306485494,1.664799451828003,0.2264150943396226,0.2267113931072741
within_genus_species:Enterobacter,label,75,clean,cnn_onehot,cnn1d,onehot,channels,606,2355,5x75,375,0.2,175,91,31,53,5,9,1.609338402748108,1.567171295483907,1.6103758811950684,0.1509433962264151,0.0775757575757575
within_genus_species:Enterobacter,label,75,clean,cnn_property,cnn1d,property,channels,606,2357,5x75,375,0.6124495238095238,175,91,31,53,5,24,1.606612205505371,1.5547749201456706,1.606612205505371,0.1320754716981132,0.0491228070175438
within_genus_species:Enterobacter,label,75,clean,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2368,5x75,375,0.2,175,91,31,53,5,24,1.605091571807861,1.6032323837280271,1.6091817617416382,0.2075471698113207,0.1521739130434782
within_genus_species:Enterobacter,label,75,clean,tiny_transformer_property,tiny_transformer,property,channels,606,2370,5x75,375,0.6124495238095238,175,91,31,53,5,6,1.6049363613128662,1.6050153573354085,1.6068445444107056,0.2075471698113207,0.1445375494071146
target_background,target_binary,75,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2154,512,512,0.10726318359375,320,168,56,96,2,7,0.655445396900177,0.1073221166928609,0.7585301995277405,0.5729166666666666,0.5622288955622289
target_background,target_binary,75,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2151,147,147,0.3919430272108843,320,168,56,96,2,15,0.6505507826805115,0.3331219007571538,0.6824411153793335,0.53125,0.52997497551953
target_background,target_binary,75,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2154,659,659,0.1707653641881638,320,168,56,96,2,7,0.6665163040161133,0.0734449047595262,0.7574909925460815,0.53125,0.52997497551953
target_background,target_binary,75,N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2154,5x75,375,0.2,320,168,56,96,2,24,0.687045156955719,0.5942797561486562,0.687362551689148,0.6041666666666666,0.5998244844229925
target_background,target_binary,75,N_3pct,cnn_property,cnn1d,property,channels,606,2156,5x75,375,0.5923166666666667,320,168,56,96,2,24,0.6875186562538147,0.6327939331531525,0.6927910447120667,0.5104166666666666,0.5012711396042887
target_background,target_binary,75,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2167,5x75,375,0.2,320,168,56,96,2,24,0.6808220148086548,0.6632527808348337,0.6808220148086548,0.4895833333333333,0.4895279435702658
