error,representation,classifier,n_classes,n_groups,task,genus,label_col,split,fold,length,condition,n_samples,n_features,accuracy,macro_f1
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,69.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,1.0,69.0,clean,9.0,222.0,1.0,1.0
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,69.0,clean,9.0,222.0,1.0,1.0
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,2.0,69.0,clean,9.0,222.0,1.0,1.0
,ck4p_msp,nearest_centroid,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,69.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,within_genus_species,Escherichia,label,3fold_grouped_cv,3.0,69.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,69.0,clean,9.0,136.0,1.0,1.0
,ck4,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,69.0,clean,9.0,136.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,69.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,1.0,69.0,clean,9.0,222.0,1.0,1.0
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,69.0,clean,9.0,222.0,1.0,1.0
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,69.0,clean,9.0,222.0,1.0,1.0
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,69.0,clean,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,69.0,clean,9.0,222.0,0.6666666666666666,0.4
not enough labels or groups,ck4,all,3,11,within_genus_species,Klebsiella,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,3,11,within_genus_species,Klebsiella,label,,,,,,,,
not enough labels or groups,ck4,all,2,11,target_background,Klebsiella,target_binary,,,,,,,,
not enough labels or groups,ck4p_msp,all,2,11,target_background,Klebsiella,target_binary,,,,,,,,
not enough labels or groups,ck4,all,4,20,within_genus_species,Acinetobacter,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,4,20,within_genus_species,Acinetobacter,label,,,,,,,,
,ck4,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,69.0,N_3pct,15.0,136.0,0.4,0.35555555555555557
,ck4,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,69.0,N_3pct,15.0,136.0,0.4,0.35555555555555557
,ck4,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,69.0,N_3pct,15.0,136.0,0.8,0.6
,ck4,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,69.0,N_3pct,15.0,136.0,0.6,0.4444444444444444
,ck4,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,69.0,N_3pct,15.0,136.0,0.4,0.35555555555555557
,ck4,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,69.0,N_3pct,15.0,136.0,0.6,0.611111111111111
,ck4p_msp,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,69.0,N_3pct,15.0,222.0,0.4,0.35555555555555557
,ck4p_msp,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,69.0,N_3pct,15.0,222.0,0.6,0.6666666666666666
,ck4p_msp,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,69.0,N_3pct,15.0,222.0,0.8,0.6
,ck4p_msp,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,69.0,N_3pct,15.0,222.0,0.4,0.3
,ck4p_msp,nearest_centroid,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,69.0,N_3pct,15.0,222.0,0.4,0.35555555555555557
,ck4p_msp,logistic,3,15,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,69.0,N_3pct,15.0,222.0,0.0,0.0
,ck4,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,69.0,N_3pct,15.0,136.0,0.6,0.5833333333333333
,ck4,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,69.0,N_3pct,15.0,136.0,0.8,0.7619047619047619
,ck4,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,69.0,N_3pct,15.0,136.0,1.0,1.0
,ck4,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,2.0,69.0,N_3pct,15.0,136.0,0.8,0.7619047619047619
,ck4,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,69.0,N_3pct,15.0,136.0,0.8,0.7619047619047619
,ck4,logistic,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,3.0,69.0,N_3pct,15.0,136.0,1.0,1.0
,ck4p_msp,nearest_centroid,2,15,target_background,Burkholderia,target_binary,3fold_grouped_cv,1.0,69.0,N_3pct,15.0,222.0,0.6,0.5833333333333333
