motif_position,length,observed_layout,representation,anchor_visible_rate,class_motif_visible_rate,any_class_motif_visible_rate,pair_visible_rate,partial_class_prefix_visible_rate,mi_label_pair_visible,mi_label_any_class_visible,mean_context_distance,base_tokens,k5_tokens,full_attention_base_pairs,full_attention_k5_pairs,classifier,accuracy,macro_f1,n_features
130,125,SE125,oracle_motif_pair,1.0,0.0,0.0,0.0,0.16111111111111112,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
130,130,SE130,kmer5_count_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.28703703703703703,0.28601305498509616,1024
130,130,SE130,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.3148148148148148,0.3124799924335021,512
130,130,SE130,property_channels,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.32407407407407407,0.32292388542388545,650
130,130,SE130,rope_property,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.32407407407407407,0.32355889724310777,2080
130,130,SE130,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.3148148148148148,0.3154534873310055,1984
130,130,SE130,cspaced_property_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.35185185185185186,0.35059836489258767,147
130,130,SE130,oracle_motif_pair,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
130,135,SE135,kmer5_count_l2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.6574074074074074,0.6584052709425844,1024
130,135,SE135,ckmer5_count_l2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.6296296296296297,0.6294545558485362,512
130,135,SE135,property_channels,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,1.0,1.0,675
130,135,SE135,rope_property,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,1.0,1.0,2160
130,135,SE135,spaced_kmer_phase,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.9259259259259259,0.9260246161654613,2064
130,135,SE135,cspaced_property_l2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.5,0.4990981240981241,147
130,135,SE135,oracle_motif_pair,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,135,131,18225,17161,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
130,138,SE138,kmer5_count_l2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,0.9351851851851852,0.9357116313638053,1024
130,138,SE138,ckmer5_count_l2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,0.9814814814814815,0.9814814814814815,512
130,138,SE138,property_channels,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,1.0,1.0,690
130,138,SE138,rope_property,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,1.0,1.0,2208
130,138,SE138,spaced_kmer_phase,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,1.0,1.0,2112
130,138,SE138,cspaced_property_l2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,0.6944444444444444,0.693535640904062,147
130,138,SE138,oracle_motif_pair,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,138,134,19044,17956,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
130,140,SE140,kmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,140,136,19600,18496,nearest_linear_probe,0.9814814814814815,0.9813437703848663,1024
130,140,SE140,ckmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,140,136,19600,18496,nearest_linear_probe,0.9814814814814815,0.9814814814814815,512
130,140,SE140,property_channels,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,140,136,19600,18496,nearest_linear_probe,1.0,1.0,700
130,140,SE140,rope_property,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,140,136,19600,18496,nearest_linear_probe,1.0,1.0,2240
130,140,SE140,spaced_kmer_phase,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,140,136,19600,18496,nearest_linear_probe,1.0,1.0,2144
