retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,task,length,condition,representation,n_pairs,n_features,density
0.12777777777777777,0.9297741744723678,0.7920121326622721,0.2891368823205765,0.6449614133787749,-2.1587669923266933e-18,0.0,arg_allele,100,substitution_1pct,ckmer7_count_l2,360,1544,0.05898100172711572
0.12777777777777777,0.9805641739985981,0.9412316242663152,0.15096651005926504,0.34283555713246794,-5.187704182722087e-05,0.0,arg_allele,100,substitution_1pct,cspaced_count_l2,360,83,0.7727074966532798
0.125,0.9978507685977631,0.9934765380036803,0.050208142583860915,0.11422306140641846,-5.650593143743635e-06,0.0,arg_allele,100,substitution_1pct,cspaced_property_l2,360,94,0.7886672576832151
0.1361111111111111,0.9771438781996636,0.9332843808417978,0.16475291928071592,0.365282314953305,-3.88138377439309e-05,0.0,arg_allele,100,substitution_1pct,hybrid_ckmer5_csp,360,547,0.2906053219581556
0.13333333333333333,0.9638124715350657,0.8931216002680602,0.20754944704224598,0.4623381621813801,-2.0693257059559463e-06,0.0,arg_allele,100,substitution_1pct,hybrid_ckmer7_csp,360,1638,0.10085554877221543
0.12222222222222222,0.9358761319858194,0.9188710890479145,0.35674838758768196,0.4028123743225855,-0.00015599455384075354,0.0,arg_allele,100,N_3pct,ckmer5_count_l2,360,123,0.6442524841915086
0.1111111111111111,0.8965815231225241,0.8661044892513667,0.45308162243416883,0.5174852862616168,-4.625929269271485e-18,0.0,arg_allele,100,N_3pct,ckmer7_count_l2,360,147,0.5581065759637188
0.125,0.9641009163969936,0.9522988165443983,0.2667277411389039,0.30887265304175404,-0.0001914405180086469,0.0,arg_allele,100,N_3pct,cspaced_count_l2,360,83,0.7490294511378849
0.125,0.9943016595475851,0.9929903268122425,0.10651709791590613,0.11840331588836539,-2.156730763037129e-05,0.0,arg_allele,100,N_3pct,cspaced_property_l2,360,94,0.7730791962174941
0.12222222222222222,0.9650888957667024,0.9562432125747151,0.263343573133688,0.2958268862403526,-6.466081312736115e-05,0.0,arg_allele,100,N_3pct,hybrid_ckmer5_csp,360,217,0.7000576036866359
0.125,0.9454415913350548,0.9303310630711897,0.3291700196913,0.37327987574931665,-8.212226106758042e-06,0.0,arg_allele,100,N_3pct,hybrid_ckmer7_csp,360,241,0.6419548178884279
