length,representation,representation_label,target,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,n_templates,n_features,cv_folds
75,ck4p_msp,CK4P-MSP,spatial_pattern,0.487,0.018330302779823362,0.4851255190985066,0.016981929046441264,250,222,5
75,ck4p_msp,CK4P-MSP,chemistry,0.509,0.008602325267042634,0.5052880673451171,0.011703549824710564,250,222,5
75,pseknc_k3_l3,PseKNC,spatial_pattern,0.5160000000000001,0.031527765540868925,0.5142301020969213,0.03303691066056895,250,67,5
75,pseknc_k3_l3,PseKNC,chemistry,0.5,0.019493588689617924,0.4989104810895807,0.019457055248554476,250,67,5
75,pseeiip,PseEIIP,spatial_pattern,0.503,0.026191601707417595,0.49970635585632683,0.02853982118968469,250,64,5
75,pseeiip,PseEIIP,chemistry,0.496,0.018275666882497082,0.49395029323662387,0.0185959671341623,250,64,5
75,ncp_anf,NCP+ANF,spatial_pattern,0.508,0.014696938456699081,0.5047029834974546,0.015074973901516887,250,300,5
75,ncp_anf,NCP+ANF,chemistry,0.501,0.0058309518948453055,0.4998738892991138,0.0062120399690383035,250,300,5
100,ck4,CK4,spatial_pattern,0.526,0.015937377450509244,0.5239705892777161,0.016121429197372222,250,136,5
100,ck4,CK4,chemistry,0.505,0.005477225575051666,0.5019894615798303,0.006381688074494394,250,136,5
100,ck4_p,CK4+P,spatial_pattern,0.5309999999999999,0.026532998322843223,0.5284482561793485,0.026669156580202073,250,147,5
100,ck4_p,CK4+P,chemistry,0.515,0.02258317958127245,0.5133456314428472,0.021816907549309563,250,147,5
100,ck4_msp,CK4+MSP,spatial_pattern,0.499,0.02634387974463899,0.4964806378509662,0.028135691328352454,250,211,5
100,ck4_msp,CK4+MSP,chemistry,0.517,0.006782329983125274,0.5136201800354993,0.00922576986713904,250,211,5
100,ck4p_msp,CK4P-MSP,spatial_pattern,0.515,0.032093613071762436,0.5125387516676397,0.034237832861942825,250,222,5
100,ck4p_msp,CK4P-MSP,chemistry,0.502,0.02135415650406264,0.4985598428619028,0.022065676989207635,250,222,5
100,pseknc_k3_l3,PseKNC,spatial_pattern,0.49700000000000005,0.02420743687382043,0.4933827137176131,0.02515902420975291,250,67,5
100,pseknc_k3_l3,PseKNC,chemistry,0.499,0.01319090595827293,0.4971502126922774,0.01395312945795133,250,67,5
100,pseeiip,PseEIIP,spatial_pattern,0.5109999999999999,0.021307275752662534,0.5077012200460767,0.021248537237929254,250,64,5
100,pseeiip,PseEIIP,chemistry,0.502,0.01363818169698587,0.4985685727675633,0.01580678850062455,250,64,5
100,ncp_anf,NCP+ANF,spatial_pattern,0.503,0.02379075450674066,0.49775392802207163,0.023961173195675953,250,400,5
100,ncp_anf,NCP+ANF,chemistry,0.497,0.01029563014098701,0.49390636023789664,0.010485550707627125,250,400,5
150,ck4,CK4,spatial_pattern,0.49399999999999994,0.02517935662402835,0.4930568814843646,0.0257330857619271,250,136,5
150,ck4,CK4,chemistry,0.52,0.010000000000000009,0.5198084867997903,0.0099779878671891,250,136,5
150,ck4_p,CK4+P,spatial_pattern,0.492,0.023366642891095853,0.4907830444364191,0.02271338004831215,250,147,5
150,ck4_p,CK4+P,chemistry,0.518,0.01860107523773829,0.5171629305594919,0.018165512701256527,250,147,5
150,ck4_msp,CK4+MSP,spatial_pattern,0.49700000000000005,0.013266499161421611,0.49582019155515844,0.01317543289324868,250,211,5
150,ck4_msp,CK4+MSP,chemistry,0.506,0.023108440016582705,0.5057720763327971,0.023230681308685077,250,211,5
150,ck4p_msp,CK4P-MSP,spatial_pattern,0.48600000000000004,0.01685229954635272,0.4838813404041778,0.0172541744407972,250,222,5
150,ck4p_msp,CK4P-MSP,chemistry,0.5120000000000001,0.027676705006196078,0.511884893902931,0.027728970232753322,250,222,5
150,pseknc_k3_l3,PseKNC,spatial_pattern,0.516,0.02200000000000002,0.5150362524447444,0.021627261725871687,250,67,5
