sample_id,length,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,paired_cosine,n_features
Acinetobacter_nosocomialis_L69_R0009,69,ck4,CK4,contiguous_random,contiguous,random,0.2850217510332503,0.95938130071897,136
Acinetobacter_nosocomialis_L69_R0009,69,ck4,CK4,contiguous_property,contiguous,property,0.2882135912091653,0.9584664629211581,136
Burkholderia_cenocepacia_L69_R0064,69,ck4,CK4,dispersed_random,dispersed,random,0.41522739926869984,0.9137931034482757,136
Burkholderia_cenocepacia_L69_R0064,69,ck4,CK4,dispersed_property,dispersed,property,0.41522739926869984,0.9137931034482757,136
Burkholderia_cenocepacia_L69_R0064,69,ck4,CK4,contiguous_random,contiguous,random,0.28461474719850366,0.9594972228385659,136
Burkholderia_cenocepacia_L69_R0064,69,ck4,CK4,contiguous_property,contiguous,property,0.2963470501783681,0.9560892129252898,136
Enterobacter_hormaechei_L69_R0036,69,ck4,CK4,dispersed_random,dispersed,random,0.39357102429011304,0.9225509244196157,136
Enterobacter_hormaechei_L69_R0036,69,ck4,CK4,dispersed_property,dispersed,property,0.3738595831531291,0.9301145060422844,136
Enterobacter_hormaechei_L69_R0036,69,ck4,CK4,contiguous_random,contiguous,random,0.29223304422360946,0.9572999239319011,136
Enterobacter_hormaechei_L69_R0036,69,ck4,CK4,contiguous_property,contiguous,property,0.2941786189889849,0.956729470064867,136
Klebsiella_pneumoniae_L69_R0014,69,ck4,CK4,dispersed_random,dispersed,random,0.3842956609298265,0.9261584224952539,136
Klebsiella_pneumoniae_L69_R0014,69,ck4,CK4,dispersed_property,dispersed,property,0.3892043229209787,0.9242599975098112,136
Klebsiella_pneumoniae_L69_R0014,69,ck4,CK4,contiguous_random,contiguous,random,0.2989852021866209,0.9553039244367129,136
Klebsiella_pneumoniae_L69_R0014,69,ck4,CK4,contiguous_property,contiguous,property,0.29476124380860586,0.956557904574202,136
Klebsiella_quasipneumoniae_L69_R0032,69,ck4,CK4,dispersed_random,dispersed,random,0.402160934250518,0.9191332914813753,136
Klebsiella_quasipneumoniae_L69_R0032,69,ck4,CK4,dispersed_property,dispersed,property,0.402160934250518,0.9191332914813753,136
Klebsiella_quasipneumoniae_L69_R0032,69,ck4,CK4,contiguous_random,contiguous,random,0.31695088621397555,0.9497710678640879,136
Klebsiella_quasipneumoniae_L69_R0032,69,ck4,CK4,contiguous_property,contiguous,property,0.3156261807296516,0.9501900570190067,136
Candida_tropicalis_L69_R0020,69,ck4,CK4,dispersed_random,dispersed,random,0.332397029318813,0.9447561074500143,136
Candida_tropicalis_L69_R0020,69,ck4,CK4,dispersed_property,dispersed,property,0.332397029318813,0.9447561074500143,136
Candida_tropicalis_L69_R0020,69,ck4,CK4,contiguous_random,contiguous,random,0.31143997455426353,0.95150257112482,136
Candida_tropicalis_L69_R0020,69,ck4,CK4,contiguous_property,contiguous,property,0.29127377060258225,0.9575797952794773,136
Klebsiella_variicola_L69_R0071,69,ck4,CK4,dispersed_random,dispersed,random,0.3697080965201464,0.9316579616837253,136
Klebsiella_variicola_L69_R0071,69,ck4,CK4,dispersed_property,dispersed,property,0.36658956459293857,0.9328060455657798,136
Klebsiella_variicola_L69_R0071,69,ck4,CK4,contiguous_random,contiguous,random,0.2941786189889849,0.956729470064867,136
Klebsiella_variicola_L69_R0071,69,ck4,CK4,contiguous_property,contiguous,property,0.29312519699047374,0.957038809444648,136
Acinetobacter_pittii_L69_R0010,69,ck4,CK4,dispersed_random,dispersed,random,0.3058059202339265,0.9532413695749407,136
Acinetobacter_pittii_L69_R0010,69,ck4,CK4,dispersed_property,dispersed,property,0.30415024031411636,0.9537463156584328,136
Acinetobacter_pittii_L69_R0010,69,ck4,CK4,contiguous_random,contiguous,random,0.2817180849095055,0.9603174603174602,136
Acinetobacter_pittii_L69_R0010,69,ck4,CK4,contiguous_property,contiguous,property,0.2757029157474118,0.9619939511241878,136
Klebsiella_pneumoniae_L69_R0000,69,ck4,CK4,dispersed_random,dispersed,random,0.42523392702324364,0.9095880536541954,136
Klebsiella_pneumoniae_L69_R0000,69,ck4,CK4,dispersed_property,dispersed,property,0.42523392702324364,0.9095880536541954,136
Klebsiella_pneumoniae_L69_R0000,69,ck4,CK4,contiguous_random,contiguous,random,0.3333333333333333,0.9444444444444444,136
Klebsiella_pneumoniae_L69_R0000,69,ck4,CK4,contiguous_property,contiguous,property,0.3333333333333333,0.9444444444444444,136
Candida_albicans_L69_R0002,69,ck4,CK4,dispersed_random,dispersed,random,0.3175314834607995,0.9495868785055921,136
Candida_albicans_L69_R0002,69,ck4,CK4,dispersed_property,dispersed,property,0.3175314834607995,0.9495868785055921,136
Candida_albicans_L69_R0002,69,ck4,CK4,contiguous_random,contiguous,random,0.3660864340160359,0.9329903614147115,136
Candida_albicans_L69_R0002,69,ck4,CK4,contiguous_property,contiguous,property,0.3650125061148043,0.933382935189895,136
Klebsiella_quasipneumoniae_L69_R0061,69,ck4,CK4,dispersed_random,dispersed,random,0.34936302198955405,0.9389727394331633,136
Klebsiella_quasipneumoniae_L69_R0061,69,ck4,CK4,dispersed_property,dispersed,property,0.34984114087295537,0.9388055880763547,136
Klebsiella_quasipneumoniae_L69_R0061,69,ck4,CK4,contiguous_random,contiguous,random,0.29417861898898495,0.956729470064867,136
Klebsiella_quasipneumoniae_L69_R0061,69,ck4,CK4,contiguous_property,contiguous,property,0.29417861898898495,0.956729470064867,136
Candida_tropicalis_L69_R0060,69,ck4,CK4,dispersed_random,dispersed,random,0.33263274941571075,0.9446777270080723,136
