retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,label,n_pairs,n_features,density
1.0,0.9915223806172179,0.9842411695421863,0.1273647445588444,0.1775321389087197,0.038023818026179906,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy+length,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy+length,600,147,0.3815249433106576
1.0,0.9915677716105998,0.984292299866253,0.12699242105764527,0.17724389844734667,0.038025570450681535,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+entropy+length,full CSP without N fraction,600,146,0.3807134703196347
1.0,0.991412036642021,0.9840101311145973,0.12819022784001688,0.17882879406882138,0.038520301362311285,1.0,69,substitution_1pct_N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,full CSP without length,600,146,0.3772888127853881
1.0,0.9915223806172179,0.9842411695421863,0.1273647445588444,0.1775321389087197,0.038023818026179906,1.0,69,substitution_1pct_N_3pct,cspaced_property_l2,full CSP,600,147,0.3815249433106576
1.0,0.9607225438869315,0.8649197064377495,0.19367666922961463,0.519769704979157,0.4941725777297197,1.0,69,short_indel,spaced_count_l2,"spaced, no RC",600,256,0.20973307291666668
1.0,0.9671070883733042,0.8900125949721129,0.17722791671907112,0.46901370400413783,0.3596637290654632,1.0,69,short_indel,cspaced_count_l2,canonical spaced,600,136,0.35043504901960787
1.0,0.9955860998706534,0.985320535320879,0.06485469668032816,0.17134443456689105,0.047994302777375875,1.0,69,short_indel,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.35984903381642513
1.0,0.9779215053705468,0.9265990402334127,0.14505234768852934,0.3831472633704147,0.2410621623898113,1.0,69,short_indel,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.35984903381642513
1.0,0.9780998234230767,0.9264416504344942,0.14461689633189603,0.3835547023118373,0.2411104655479292,1.0,69,short_indel,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.35984903381642513
1.0,0.9675762862760658,0.8915095750060559,0.17595929001491362,0.4658112088778291,0.3545328425887655,1.0,69,short_indel,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.35984903381642513
1.0,0.9671070883733042,0.8900125949721129,0.17722791671907112,0.46901370400413783,0.3596637290654632,1.0,69,short_indel,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.34787712895377126
1.0,0.9804979370190997,0.9323130866081452,0.13650782357765387,0.3679318033446467,0.21431811360670874,1.0,69,short_indel,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.355176399026764
