retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,label,n_pairs,n_features,density,base_paired_cosine_mean,base_l2_delta_mean,base_retrieval_top1,delta_cosine_vs_cspaced_count,delta_l2_vs_cspaced_count,delta_top1_vs_cspaced_count
1.0,0.9921468435306432,0.9891270571444635,0.12435556849613186,0.1474648552650193,0.03296504418112121,1.0,100,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.4897298850574713,0.9342063210191104,0.3600979073140896,1.0,0.05794052251153281,-0.23574233881795773,0.0
1.0,0.9927412882038507,0.9899798456647673,0.11958553581057492,0.14156379696844998,0.030509230892035964,1.0,100,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.4932248858447489,0.9342063210191104,0.3600979073140896,1.0,0.05853496718474027,-0.24051237150351468,0.0
1.0,0.9929350224223811,0.9902525245107644,0.11798219660659247,0.13962432086075063,0.029697780425876712,1.0,100,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy+length,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy+length,600,147,0.496672335600907,0.9342063210191104,0.3600979073140896,1.0,0.05872870140327069,-0.2421157107074971,0.0
1.0,0.9929350224223811,0.9902525245107644,0.11798219660659247,0.13962432086075063,0.029697780425876712,1.0,100,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+entropy+length,full CSP without N fraction,600,146,0.5000742009132421,0.9342063210191104,0.3600979073140896,1.0,0.05872870140327069,-0.2421157107074971,0.0
1.0,0.9927412882038507,0.9899798456647673,0.11958553581057492,0.14156379696844998,0.030509230892035964,1.0,100,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,full CSP without length,600,146,0.4932248858447489,0.9342063210191104,0.3600979073140896,1.0,0.05853496718474027,-0.24051237150351468,0.0
1.0,0.9929350224223811,0.9902525245107644,0.11798219660659247,0.13962432086075063,0.029697780425876712,1.0,100,local_mismatch_6bp,cspaced_property_l2,full CSP,600,147,0.496672335600907,0.9342063210191104,0.3600979073140896,1.0,0.05872870140327069,-0.2421157107074971,0.0
1.0,0.9776308131728961,0.9434639756505372,0.1813634966863761,0.3362612565067991,0.395699306598716,1.0,150,substitution_1pct,spaced_count_l2,"spaced, no RC",600,256,0.4025390625,0.9833924320478338,0.1556888058124141,1.0,-0.005761618874937646,0.025674690873962014,0.0
1.0,0.9833924320478338,0.9562111457825744,0.1556888058124141,0.2959352725846911,0.2569483261127706,1.0,150,substitution_1pct,cspaced_count_l2,canonical spaced,600,136,0.5981740196078431,0.9833924320478338,0.1556888058124141,1.0,0.0,0.0,0.0
1.0,0.9977594117616974,0.994114805636575,0.05712122585519135,0.1084913365152086,0.03463246512253115,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.6039975845410628,0.9833924320478338,0.1556888058124141,1.0,0.014366979713863581,-0.09856757995722273,0.0
1.0,0.9887876100517347,0.9705296856484641,0.12778165213330725,0.24277676865315595,0.17369834250410007,1.0,150,substitution_1pct,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.6039975845410628,0.9833924320478338,0.1556888058124141,1.0,0.00539517800390088,-0.027907153679106844,0.0
1.0,0.9889139568190687,0.9705355371442907,0.12721329884831542,0.24275279943718497,0.1723593566166022,1.0,150,substitution_1pct,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.6039975845410628,0.9833924320478338,0.1556888058124141,1.0,0.005521524771234909,-0.028475506964098674,0.0
1.0,0.9836302201832965,0.9568319866158689,0.1545701588053494,0.2938298945638843,0.25326920314160334,1.0,150,substitution_1pct,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.6039975845410628,0.9833924320478338,0.1556888058124141,1.0,0.00023778813546271316,-0.0011186470070646826,0.0
1.0,0.9833924320478339,0.9562111457825739,0.1556888058124141,0.29593527258469104,0.2569483261127705,1.0,150,substitution_1pct,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.5938077858880778,0.9833924320478338,0.1556888058124141,1.0,1.1102230246251565e-16,0.0,0.0
1.0,0.990233593543462,0.9740663654498625,0.11944517908012373,0.22774384325582459,0.15170505627821884,1.0,150,substitution_1pct,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.6011070559610706,0.9833924320478338,0.1556888058124141,1.0,0.00684116149562819,-0.03624362673229037,0.0
1.0,0.9893711565106139,0.9719751333008477,0.12455104464993128,0.2367482180677529,0.16444692871217315,1.0,150,substitution_1pct,cspaced_property_selected:length,canonical spaced + length,600,137,0.6011070559610706,0.9833924320478338,0.1556888058124141,1.0,0.005978724462780138,-0.03113776116248282,0.0
1.0,0.9977594117616974,0.994114805636575,0.05712122585519135,0.1084913365152086,0.03463246512253115,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen,canonical spaced + cumulative hydrogen,600,138,0.6039975845410628,0.9833924320478338,0.1556888058124141,1.0,0.014366979713863581,-0.09856757995722273,0.0
1.0,0.9978925640375002,0.994447052234204,0.055385838152026766,0.10538449203871081,0.03264770234815599,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.6096547619047619,0.9833924320478338,0.1556888058124141,1.0,0.014500131989666376,-0.10030296766038732,0.0
1.0,0.9980165459649036,0.9948469498249486,0.05374518505468991,0.10151867082653906,0.030993005561785955,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.6151525821596244,0.9833924320478338,0.1556888058124141,1.0,0.014624113917069859,-0.10194362075772417,0.0
1.0,0.9980200027667135,0.9948559579178278,0.05369858124443598,0.10142989505565152,0.030940155788429506,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip,canonical spaced + cumulative hydrogen+gc+purine+eiip,600,144,0.6204976851851852,0.9833924320478338,0.1556888058124141,1.0,0.014627570718879768,-0.10199022456797811,0.0
1.0,0.9980200027667135,0.9948559579178278,0.05369858124443598,0.10142989505565152,0.0309401557884295,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.6162183908045977,0.9833924320478338,0.1556888058124141,1.0,0.014627570718879768,-0.10199022456797811,0.0
1.0,0.9981726560194375,0.9952554880430929,0.05159889263480068,0.09741125121574613,0.028597018607413312,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.6188470319634704,0.9833924320478338,0.1556888058124141,1.0,0.014780223971603723,-0.10408991317761342,0.0
1.0,0.9982793282250202,0.9955272903465906,0.05007492488637384,0.09457981205006641,0.026936314176053636,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy+length,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy+length,600,147,0.6214399092970522,0.9833924320478338,0.1556888058124141,1.0,0.014886896177186415,-0.10561388092604025,0.0
1.0,0.9982793282250202,0.9955272903465908,0.05007492488637384,0.09457981205006641,0.02693631417605364,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+entropy+length,full CSP without N fraction,600,146,0.6256963470319634,0.9833924320478338,0.1556888058124141,1.0,0.014886896177186415,-0.10561388092604025,0.0
1.0,0.9981726560194375,0.9952554880430929,0.05159889263480068,0.09741125121574613,0.028597018607413312,1.0,150,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,full CSP without length,600,146,0.6188470319634704,0.9833924320478338,0.1556888058124141,1.0,0.014780223971603723,-0.10408991317761342,0.0
1.0,0.9982793282250202,0.9955272903465908,0.05007492488637384,0.09457981205006641,0.026936314176053636,1.0,150,substitution_1pct,cspaced_property_l2,full CSP,600,147,0.6214399092970522,0.9833924320478338,0.1556888058124141,1.0,0.014886896177186415,-0.10561388092604025,0.0
1.0,0.968893324931372,0.9589823527035959,0.2480836618992899,0.28641803241376257,0.3967536912863482,1.0,150,N_3pct,spaced_count_l2,"spaced, no RC",600,256,0.3867057291666667,0.9769566655154248,0.21317082422505354,1.0,-0.00806334058405278,0.03491283767423636,0.0
1.0,0.9769566655154248,0.9676022937128553,0.21317082422505354,0.2545493478363313,0.26038651467993956,1.0,150,N_3pct,cspaced_count_l2,canonical spaced,600,136,0.5797732843137255,0.9769566655154248,0.21317082422505354,1.0,0.0,0.0,0.0
1.0,0.9952984998376349,0.9940876412255737,0.09670015258610787,0.10874145384327633,0.03566310704416909,1.0,150,N_3pct,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.5858635265700483,0.9769566655154248,0.21317082422505354,1.0,0.018341834322210038,-0.11647067163894567,0.0
1.0,0.984354942627784,0.9777283235510257,0.17560930119875015,0.21105296226923542,0.17691919341433116,1.0,150,N_3pct,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.5858635265700483,0.9769566655154248,0.21317082422505354,1.0,0.007398277112359186,-0.03756152302630339,0.0
1.0,0.9845179723580109,0.9782191775436955,0.17474568536938687,0.20871426616208225,0.17563409582683326,1.0,150,N_3pct,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.5858635265700483,0.9769566655154248,0.21317082422505354,1.0,0.007561306842586046,-0.038425138855666674,0.0
1.0,0.9772519537601079,0.9680374935119997,0.2118051598873211,0.25283385420849847,0.25670775205009433,1.0,150,N_3pct,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.5858635265700483,0.9769566655154248,0.21317082422505354,1.0,0.00029528824468305626,-0.0013656643377324418,0.0
1.0,0.9766094882956793,0.9672584407191566,0.2148183043565395,0.2558966137748413,0.2602939821558095,1.0,150,N_3pct,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.57919099756691,0.9769566655154248,0.21317082422505354,1.0,-0.0003471772197455314,0.0016474801314859677,0.0
1.0,0.9863293135472602,0.9812233931940896,0.16437129801063555,0.193786265351416,0.14986911403316389,1.0,150,N_3pct,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.5828406326034064,0.9769566655154248,0.21317082422505354,1.0,0.009372648031835351,-0.04879952621441799,0.0
1.0,0.985252265929872,0.9792654679762274,0.17053665938004287,0.20363947826906503,0.16664736939516134,1.0,150,N_3pct,cspaced_property_selected:length,canonical spaced + length,600,137,0.5828406326034064,0.9769566655154248,0.21317082422505354,1.0,0.008295600414447213,-0.042634164845010675,0.0
1.0,0.9952984998376349,0.9940876412255737,0.09670015258610787,0.10874145384327633,0.03566310704416909,1.0,150,N_3pct,cspaced_property_selected:hydrogen,canonical spaced + cumulative hydrogen,600,138,0.5858635265700483,0.9769566655154248,0.21317082422505354,1.0,0.018341834322210038,-0.11647067163894567,0.0
1.0,0.9955761708174998,0.9943855090114669,0.09379999659558755,0.10596689091214052,0.03363443635804898,1.0,150,N_3pct,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.5917797619047619,0.9769566655154248,0.21317082422505354,1.0,0.018619505302075012,-0.11937082762946599,0.0
1.0,0.9958324277077952,0.9947564762394946,0.09104670735293371,0.10240623178649742,0.03192229899651733,1.0,150,N_3pct,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.5975293427230047,0.9769566655154248,0.21317082422505354,1.0,0.018875762192370416,-0.12212411687211983,0.0
1.0,0.9958360426989403,0.9947626113187737,0.09100777618773669,0.10234630332407793,0.031867719678783914,1.0,150,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip,canonical spaced + cumulative hydrogen+gc+purine+eiip,600,144,0.603119212962963,0.9769566655154248,0.21317082422505354,1.0,0.01887937718351551,-0.12216304803731685,0.0
1.0,0.9957928980020571,0.9947158961670569,0.09148309733359045,0.10280173859028975,0.031866330727490184,1.0,150,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.6024080459770115,0.9769566655154248,0.21317082422505354,1.0,0.018836232486632243,-0.1216877268914631,0.0
1.0,0.9959317118232557,0.9949526881376783,0.08999110138318327,0.10047199071023588,0.029303729453841517,1.0,150,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.6051312785388128,0.9769566655154248,0.21317082422505354,1.0,0.018975046307830867,-0.12317972284187027,0.0
1.0,0.9961686592363136,0.9952674284236063,0.08733144325144779,0.09728892708089922,0.027589035603403235,1.0,150,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy+length,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy+length,600,147,0.6078174603174603,0.9769566655154248,0.21317082422505354,1.0,0.019211993720888776,-0.12583938097360575,0.0
1.0,0.9962056854475353,0.9953070701386793,0.08690434909971746,0.09688060142903415,0.027590065221887724,1.0,150,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+entropy+length,full CSP without N fraction,600,146,0.6085559360730594,0.9769566655154248,0.21317082422505354,1.0,0.019249019932110478,-0.12626647512533606,0.0
1.0,0.9959317118232557,0.9949526881376783,0.08999110138318327,0.10047199071023588,0.029303729453841517,1.0,150,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,full CSP without length,600,146,0.6051312785388128,0.9769566655154248,0.21317082422505354,1.0,0.018975046307830867,-0.12317972284187027,0.0
1.0,0.9961686592363136,0.9952674284236063,0.08733144325144779,0.09728892708089922,0.027589035603403242,1.0,150,N_3pct,cspaced_property_l2,full CSP,600,147,0.6078174603174603,0.9769566655154248,0.21317082422505354,1.0,0.019211993720888776,-0.12583938097360575,0.0
1.0,0.989980702953775,0.9879197625965086,0.1410562739489131,0.15543640116454005,0.410780647658939,1.0,150,trim_5bp,spaced_count_l2,"spaced, no RC",600,256,0.3967513020833333,0.9926297482615094,0.12084755057901449,1.0,-0.0026490453077343545,0.02020872336989861,0.0
1.0,0.9926297482615094,0.9904925397381019,0.12084755057901449,0.13789444195712305,0.26841829823862196,1.0,150,trim_5bp,cspaced_count_l2,canonical spaced,600,136,0.5914767156862745,0.9926297482615094,0.12084755057901449,1.0,0.0,0.0,0.0
1.0,0.9990064422257096,0.9987181577564574,0.044350960154314216,0.05063280810775932,0.036192490621526956,1.0,150,trim_5bp,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.5973973429951691,0.9926297482615094,0.12084755057901449,1.0,0.006376693964200153,-0.07649659042470028,0.0
1.0,0.9950203103498741,0.9935884924827684,0.0992919980676137,0.1132386655797813,0.18149382038506806,1.0,150,trim_5bp,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.5973973429951691,0.9926297482615094,0.12084755057901449,1.0,0.002390562088364745,-0.02155555251140079,0.0
1.0,0.9950724177001288,0.9936075523337994,0.09880959923279976,0.11307025776143725,0.17991921637778518,1.0,150,trim_5bp,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.5973973429951691,0.9926297482615094,0.12084755057901449,1.0,0.0024426694386193715,-0.022037951346214724,0.0
1.0,0.9927352563830447,0.9906363326069321,0.11997921040707704,0.13684769051392948,0.2645760146805263,1.0,150,trim_5bp,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.5973973429951691,0.9926297482615094,0.12084755057901449,1.0,0.00010550812153531375,-0.0008683401719374456,0.0
1.0,0.9926297482615094,0.9904925397381024,0.12084755057901449,0.1378944419571231,0.26841829823862196,1.0,150,trim_5bp,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.5871593673965937,0.9926297482615094,0.12084755057901449,1.0,0.0,0.0,0.0
1.0,0.9956643943209103,0.9944064496049855,0.09273726856143784,0.1057690817143857,0.1585037956797574,1.0,150,trim_5bp,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.5944586374695864,0.9926297482615094,0.12084755057901449,1.0,0.0030346460594008473,-0.02811028201757665,0.0
1.0,0.9950952713697266,0.9937110262975171,0.09860830532875452,0.11215132579245354,0.17385140596171017,1.0,150,trim_5bp,cspaced_property_selected:length,canonical spaced + length,600,137,0.5944586374695864,0.9926297482615094,0.12084755057901449,1.0,0.002465523108217238,-0.02223924525025997,0.0
