retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.991724221095492,0.9846549443819341,0.12604732027880586,0.17518593309374683,0.033966762165545096,1.0,69,substitution_1pct_N_3pct,ckmer4_property_l2,2000,147,0.3893061224489796,57.228
1.0,0.992427827121213,0.9861528852131591,0.12063600953397821,0.16641577967238666,0.03120616850873418,1.0,69,substitution_1pct_N_3pct,ckmer4_property_multiscale_mean_l2,2000,222,0.5431069819819819,120.56975
1.0,0.9919587765562912,0.9856156871109453,0.12459496678545513,0.1696131649815977,0.03120939102722564,1.0,69,substitution_1pct_N_3pct,ckmer4_property_multiscale_l2,2000,297,0.6190765993265993,183.86575
1.0,0.8981909008549565,0.8000434658248522,0.4379712268321198,0.6323867481336836,0.5241080242066236,1.0,69,substitution_1pct_N_3pct,ckmer5_count_l2,2000,512,0.106673828125,54.617
1.0,0.9914455810329714,0.9842867343832623,0.12809760072399412,0.17727527274609892,0.03567417102510044,1.0,69,substitution_1pct_N_3pct,cspaced_property_l2,2000,147,0.38387755102040816,56.43
1.0,0.9453093639880846,0.8931833187882205,0.3212975189074514,0.462204891063478,0.27987823219017166,1.0,69,substitution_1pct_N_3pct,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.2386740463215259,175.18675
1.0,0.9682988083350054,0.9555554861683524,0.2496754962094477,0.2981426297316335,0.31981703640241294,1.0,75,N_3pct,ckmer4_count_l2,2000,136,0.3661801470588235,49.8005
1.0,0.9950471170488486,0.9936621666266054,0.09915648860747799,0.11258626300620818,0.035423816301869734,1.0,75,N_3pct,ckmer4_property_l2,2000,147,0.41020748299319726,60.3005
1.0,0.9954472276213707,0.9942121409257382,0.09508669100573676,0.10759051130521725,0.03248532982211458,1.0,75,N_3pct,ckmer4_property_multiscale_mean_l2,2000,222,0.5571261261261261,123.682
1.0,0.9950313081412638,0.9937953938905391,0.09939258768132053,0.11139664359319462,0.03248808437917381,1.0,75,N_3pct,ckmer4_property_multiscale_l2,2000,297,0.6297718855218856,187.04225
1.0,0.9440934421477487,0.9269016367413474,0.3321926506009189,0.38235680185226134,0.5630670923960378,1.0,75,N_3pct,ckmer5_count_l2,2000,512,0.11611572265625,59.45125
1.0,0.9948410366431356,0.9932567780142973,0.10111272798848908,0.11613114928260326,0.03750031237190747,1.0,75,N_3pct,cspaced_property_l2,2000,147,0.40664625850340136,59.777
1.0,0.9697703348845598,0.9608303518480871,0.24437180583209084,0.2798915794983206,0.30002408927021856,1.0,75,N_3pct,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.24950034059945503,183.13325
1.0,0.9767278779549396,0.9263440251086744,0.1541464613889716,0.38381237210779773,0.3204167412575365,1.0,75,substitution_1pct,ckmer4_count_l2,2000,136,0.3812683823529412,51.8525
1.0,0.9974887353009129,0.9919714229185701,0.050653534967674795,0.1267168264791368,0.03510598229388756,1.0,75,substitution_1pct,ckmer4_property_l2,2000,147,0.420765306122449,61.8525
1.0,0.9977252549774286,0.9927652664765217,0.048218409018296216,0.12028909652628873,0.032202365440728596,1.0,75,substitution_1pct,ckmer4_property_multiscale_mean_l2,2000,222,0.5488344594594594,121.84125
1.0,0.9977245705914006,0.9927664456012139,0.04822698679550571,0.12027929367166841,0.03220592196174509,1.0,75,substitution_1pct,ckmer4_property_multiscale_l2,2000,297,0.6121388888888889,181.80525
1.0,0.9591601910084336,0.8723779022665666,0.20518421131821862,0.5052169681944548,0.5736557769483906,1.0,75,substitution_1pct,ckmer5_count_l2,2000,512,0.12351220703125,63.23825
1.0,0.9973692510978669,0.9915238148902226,0.051843914861973345,0.13020126778476393,0.037139221234221156,1.0,75,substitution_1pct,cspaced_property_l2,2000,147,0.4170986394557823,61.3135
1.0,0.9784427229929312,0.9327130988558259,0.1490698879565927,0.3668430209233906,0.3050115153205445,1.0,75,substitution_1pct,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.2521519073569482,185.0795
1.0,0.9454498385288057,0.8877978581513154,0.31944332770889583,0.4737132170269542,0.2987751973393994,1.0,75,substitution_1pct_N_3pct,ckmer4_count_l2,2000,136,0.36651838235294115,49.8465
1.0,0.9925656840552751,0.9862638423070765,0.11944096576083804,0.16574774615699378,0.03309746437475603,1.0,75,substitution_1pct_N_3pct,ckmer4_property_l2,2000,147,0.4105204081632653,60.3465
1.0,0.9932005711106922,0.9875315303557378,0.11428453810983703,0.1579143411375693,0.03037432319966084,1.0,75,substitution_1pct_N_3pct,ckmer4_property_multiscale_mean_l2,2000,222,0.5574290540540541,123.74925
1.0,0.9927845428323296,0.9870683559525599,0.1179976901921585,0.16082067060017965,0.030374121588432928,1.0,75,substitution_1pct_N_3pct,ckmer4_property_multiscale_l2,2000,297,0.6300664983164983,187.12975
1.0,0.9048792763234428,0.8093563741493714,0.4229785971879155,0.6174846165594028,0.5260516245632967,1.0,75,substitution_1pct_N_3pct,ckmer5_count_l2,2000,512,0.1161201171875,59.4535
