fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes,label_control,permutation
2,contract_logistic,0.31746031746031744,0.31368275761868436,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,1
2,nearest_centroid,0.30158730158730157,0.29588761733082053,86,225,63,25,7,50,p_msp,288,32,3,within_source_permutation,1
3,contract_logistic,0.25925925925925924,0.23782216999608305,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,1
3,nearest_centroid,0.2777777777777778,0.2629134150873282,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,1
4,contract_logistic,0.35185185185185186,0.34753193960511036,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,1
4,nearest_centroid,0.35185185185185186,0.34807987711213517,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,1
5,contract_logistic,0.4444444444444444,0.4417771883289125,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,1
5,nearest_centroid,0.46296296296296297,0.4632478632478632,86,234,54,26,6,50,p_msp,288,32,3,within_source_permutation,1
1,contract_logistic,0.2857142857142857,0.2636363636363636,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,1
1,nearest_centroid,0.2698412698412698,0.25565500565500565,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,1
2,contract_logistic,0.23809523809523808,0.23478835978835977,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,1
2,nearest_centroid,0.2222222222222222,0.21126079640011527,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,1
3,contract_logistic,0.37037037037037035,0.34390804597701147,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,1
3,nearest_centroid,0.4074074074074074,0.38037462750106427,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,1
4,contract_logistic,0.2962962962962963,0.294005544005544,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,1
4,nearest_centroid,0.2777777777777778,0.2763049061860607,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,1
5,contract_logistic,0.3148148148148148,0.30462184873949577,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,1
5,nearest_centroid,0.2962962962962963,0.28781939605110335,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,1
1,contract_logistic,0.3492063492063492,0.34473379154230216,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,2
1,nearest_centroid,0.3333333333333333,0.30498338870431896,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,2
2,contract_logistic,0.25396825396825395,0.23088972431077695,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,2
2,nearest_centroid,0.23809523809523808,0.2066822066822067,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,2
3,contract_logistic,0.2962962962962963,0.2789243277048155,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,2
