fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes
5,contract_logistic,0.2777777777777778,0.22023809523809523,11,225,54,25,6,75,p,279,31,3
5,nearest_centroid,0.2777777777777778,0.22289766970618033,11,225,54,25,6,75,p,279,31,3
1,contract_logistic,0.49206349206349204,0.48536428110896196,75,216,63,24,7,75,msp,279,31,3
1,nearest_centroid,0.4444444444444444,0.44349908615365224,75,216,63,24,7,75,msp,279,31,3
2,contract_logistic,0.48148148148148145,0.4538712921065862,75,225,54,25,6,75,msp,279,31,3
2,nearest_centroid,0.5555555555555556,0.5441473559120618,75,225,54,25,6,75,msp,279,31,3
3,contract_logistic,0.7222222222222222,0.7200885095621938,75,225,54,25,6,75,msp,279,31,3
3,nearest_centroid,0.7777777777777778,0.7773191147804152,75,225,54,25,6,75,msp,279,31,3
4,contract_logistic,0.5925925925925926,0.5909090909090908,75,225,54,25,6,75,msp,279,31,3
4,nearest_centroid,0.5925925925925926,0.5910087719298245,75,225,54,25,6,75,msp,279,31,3
5,contract_logistic,0.5185185185185185,0.49532896044523955,75,225,54,25,6,75,msp,279,31,3
5,nearest_centroid,0.5185185185185185,0.5162866215497794,75,225,54,25,6,75,msp,279,31,3
1,contract_logistic,0.4603174603174603,0.451241134751773,86,216,63,24,7,75,p_msp,279,31,3
1,nearest_centroid,0.49206349206349204,0.48798222947549746,86,216,63,24,7,75,p_msp,279,31,3
2,contract_logistic,0.5370370370370371,0.4944769330734243,86,225,54,25,6,75,p_msp,279,31,3
2,nearest_centroid,0.5370370370370371,0.5084113417446751,86,225,54,25,6,75,p_msp,279,31,3
3,contract_logistic,0.6481481481481481,0.6458967683097245,86,225,54,25,6,75,p_msp,279,31,3
3,nearest_centroid,0.6481481481481481,0.6474673202614379,86,225,54,25,6,75,p_msp,279,31,3
4,contract_logistic,0.5925925925925926,0.5910087719298245,86,225,54,25,6,75,p_msp,279,31,3
4,nearest_centroid,0.5925925925925926,0.5910087719298245,86,225,54,25,6,75,p_msp,279,31,3
5,contract_logistic,0.5,0.48698188192272235,86,225,54,25,6,75,p_msp,279,31,3
5,nearest_centroid,0.5370370370370371,0.5367290367290368,86,225,54,25,6,75,p_msp,279,31,3
1,contract_logistic,0.6825396825396826,0.6746634026927785,222,216,63,24,7,75,ck4p_msp,279,31,3
1,nearest_centroid,0.6349206349206349,0.6384057971014493,222,216,63,24,7,75,ck4p_msp,279,31,3
2,contract_logistic,0.6481481481481481,0.5912491682490222,222,225,54,25,6,75,ck4p_msp,279,31,3
2,nearest_centroid,0.5925925925925926,0.5669457336124002,222,225,54,25,6,75,ck4p_msp,279,31,3
3,contract_logistic,0.7037037037037037,0.6854636591478697,222,225,54,25,6,75,ck4p_msp,279,31,3
3,nearest_centroid,0.6481481481481481,0.6555555555555556,222,225,54,25,6,75,ck4p_msp,279,31,3
4,contract_logistic,0.5555555555555556,0.5302354113948317,222,225,54,25,6,75,ck4p_msp,279,31,3
4,nearest_centroid,0.5370370370370371,0.5265745007680491,222,225,54,25,6,75,ck4p_msp,279,31,3
5,contract_logistic,0.48148148148148145,0.4838570628044312,222,225,54,25,6,75,ck4p_msp,279,31,3
5,nearest_centroid,0.42592592592592593,0.42672040603075084,222,225,54,25,6,75,ck4p_msp,279,31,3
1,contract_logistic,0.7619047619047619,0.7564509564509564,136,216,63,24,7,100,ck4,279,31,3
1,nearest_centroid,0.6825396825396826,0.6882278620083498,136,216,63,24,7,100,ck4,279,31,3
2,contract_logistic,0.7777777777777778,0.7568922305764411,136,225,54,25,6,100,ck4,279,31,3
2,nearest_centroid,0.7222222222222222,0.7160285285285285,136,225,54,25,6,100,ck4,279,31,3
3,contract_logistic,0.7407407407407407,0.7370141038871689,136,225,54,25,6,100,ck4,279,31,3
3,nearest_centroid,0.6851851851851852,0.6873343932167462,136,225,54,25,6,100,ck4,279,31,3
4,contract_logistic,0.6666666666666666,0.6651186790505677,136,225,54,25,6,100,ck4,279,31,3
4,nearest_centroid,0.5925925925925926,0.5874766573295985,136,225,54,25,6,100,ck4,279,31,3
5,contract_logistic,0.5925925925925926,0.5942721916352748,136,225,54,25,6,100,ck4,279,31,3
5,nearest_centroid,0.5740740740740741,0.5720437502046698,136,225,54,25,6,100,ck4,279,31,3
1,contract_logistic,0.7301587301587301,0.7306879167344285,482,216,63,24,7,100,ckmer5_count_l2,279,31,3
1,nearest_centroid,0.6984126984126984,0.7068294709804143,482,216,63,24,7,100,ckmer5_count_l2,279,31,3
2,contract_logistic,0.7407407407407407,0.7073684210526316,482,225,54,25,6,100,ckmer5_count_l2,279,31,3
2,nearest_centroid,0.7222222222222222,0.7082106496740644,482,225,54,25,6,100,ckmer5_count_l2,279,31,3
3,contract_logistic,0.7222222222222222,0.7091550215489094,482,225,54,25,6,100,ckmer5_count_l2,279,31,3
3,nearest_centroid,0.6666666666666666,0.6596055088702147,482,225,54,25,6,100,ckmer5_count_l2,279,31,3
