family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,125,N_3pct,120,147,0.9948075044904487,0.9937692399379011,0.10169737256695092,0.11163116374917131
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,125,N_3pct,120,136,0.9691019103084204,0.9571716727955064,0.24681444862135768,0.2926714940567786
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,125,N_3pct,120,147,0.9947359327386581,0.9934927929327206,0.10238190147498165,0.11408046547251936
k-mer,k=4,4,,False,False,125,substitution_1pct,120,256,0.9763022766718285,0.9414393691277005,0.18409593229168822,0.3422262110013983
k-mer,k=5,5,,False,False,125,substitution_1pct,120,1024,0.958424927919838,0.8950779433363094,0.24456766315859138,0.4580873799925573
k-mer,k=6,6,,False,False,125,substitution_1pct,120,3794,0.943907880227367,0.8646559757270067,0.284062059912597,0.5202738120988507
k-mer,k=7,7,,False,False,125,substitution_1pct,120,8715,0.9412566820822538,0.8487578842313057,0.28966882099444013,0.5499848911358746
canonical k-mer,k=4,4,,True,False,125,substitution_1pct,120,136,0.982250110882147,0.9536555590598238,0.1575884622451382,0.30443301763700253
canonical k-mer,k=5,5,,True,False,125,substitution_1pct,120,512,0.9641891992716606,0.9099651406672709,0.2260715050119191,0.42427847610738445
canonical k-mer,k=6,6,,True,False,125,substitution_1pct,120,2044,0.9459205266094678,0.8624581007214916,0.27863521281178644,0.5244825972848643
canonical k-mer,k=7,7,,True,False,125,substitution_1pct,120,6111,0.9362941490928397,0.8394671511180755,0.30173217682071596,0.566624169753386
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,125,substitution_1pct,120,136,0.982250110882147,0.9536555590598238,0.1575884622451382,0.30443301763700253
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,125,substitution_1pct,120,147,0.9981490539015678,0.9951810394944879,0.050762656107496126,0.09817056151080185
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,125,substitution_1pct,120,136,0.9805289644670295,0.9441616795017361,0.16604979002556325,0.3341801521457848
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,125,substitution_1pct,120,147,0.9979669631455451,0.9943516179111307,0.05346900285494815,0.10628515162216047
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,125,substitution_1pct,120,136,0.9804766766189902,0.9486271821985154,0.1664622938621937,0.3205134526716615
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,125,substitution_1pct,120,147,0.9979623649394724,0.9948889918346471,0.05360711396166725,0.10109176177954625
k-mer,k=4,4,,False,False,150,reverse_complement,120,256,0.4550384986296583,0.15666895940401765,1.0349431865581271,1.298710329122727
k-mer,k=5,5,,False,False,150,reverse_complement,120,1023,0.2014513590163008,0.0593791398039388,1.2610748222307717,1.3715832727698138
k-mer,k=6,6,,False,False,150,reverse_complement,120,3869,0.08055157863864065,0.010407468015017842,1.3553684546393812,1.4068351218560433
k-mer,k=7,7,,False,False,150,reverse_complement,120,9572,0.031459027978110524,0.0,1.3915501905682712,1.4142135623730963
canonical k-mer,k=4,4,,True,False,150,reverse_complement,120,136,1.0,0.999999999999999,0.0,0.0
canonical k-mer,k=5,5,,True,False,150,reverse_complement,120,512,1.0000000000000002,0.9999999999999979,0.0,0.0
canonical k-mer,k=6,6,,True,False,150,reverse_complement,120,2057,1.0000000000000002,0.9999999999999974,0.0,0.0
canonical k-mer,k=7,7,,True,False,150,reverse_complement,120,6469,0.9999999999999998,0.9999999999999974,0.0,0.0
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,150,reverse_complement,120,136,1.0,0.999999999999999,0.0,0.0
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,150,reverse_complement,120,147,0.999109786613595,0.9968669438969865,0.0295968677156987,0.0789248010371746
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,150,reverse_complement,120,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,150,reverse_complement,120,147,0.999109786613595,0.9968669438969865,0.0295968677156987,0.0789248010371746
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,150,reverse_complement,120,136,0.6480145366179687,0.5091745499713349,0.8302180496943753,0.9907829559879922
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,150,reverse_complement,120,147,0.9629489794138983,0.9483938175542658,0.2697938923673252,0.3212655787768917
k-mer,k=4,4,,False,False,150,N_3pct,120,256,0.9718783224090275,0.9613549103112023,0.23528887885748834,0.2780067442610133
k-mer,k=5,5,,False,False,150,N_3pct,120,1023,0.9477867459002259,0.9353528219815084,0.3215477566944371,0.35957522840133427
k-mer,k=6,6,,False,False,150,N_3pct,120,3869,0.9272334163674825,0.9147320339189771,0.37998955076947655,0.4129599643573732
k-mer,k=7,7,,False,False,150,N_3pct,120,9572,0.9106589668523012,0.8975274678557527,0.4212276821236721,0.4527085864974279
canonical k-mer,k=4,4,,True,False,150,N_3pct,120,136,0.9797686195738606,0.972723906625488,0.19964417656755892,0.2335627526160933
canonical k-mer,k=5,5,,True,False,150,N_3pct,120,512,0.9556035365891058,0.9434756372686993,0.29638114350568284,0.3362271295466341
canonical k-mer,k=6,6,,True,False,150,N_3pct,120,2057,0.9313241409420532,0.917093017446434,0.36907936378073697,0.40720260940609226
