probe,genus,length,condition,method,parameter,k,pattern,canonical,add_property,n_samples,n_classes,accuracy,macro_f1,n_features,observed_vocab_size
within_genus_species,Acinetobacter,150,clean,canonical k-mer,k=7,7,,True,False,80,4,0.20833333333333334,0.2107142857142857,4309,4309
within_genus_species,Acinetobacter,150,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,4,0.20833333333333334,0.1717948717948718,136,136
within_genus_species,Acinetobacter,150,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,4,0.20833333333333334,0.1717948717948718,147,147
within_genus_species,Acinetobacter,150,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,4,0.125,0.12878787878787878,136,136
within_genus_species,Acinetobacter,150,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,4,0.125,0.13257575757575757,147,147
within_genus_species,Acinetobacter,150,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,4,0.16666666666666666,0.15512820512820513,136,136
within_genus_species,Acinetobacter,150,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,4,0.16666666666666666,0.15833333333333333,147,147
within_genus_species,Burkholderia,150,clean,k-mer,k=4,4,,False,False,80,3,0.4583333333333333,0.44341245270037843,256,256
within_genus_species,Burkholderia,150,clean,k-mer,k=5,5,,False,False,80,3,0.375,0.36296296296296293,920,920
within_genus_species,Burkholderia,150,clean,k-mer,k=6,6,,False,False,80,3,0.4583333333333333,0.425925925925926,2439,2439
within_genus_species,Burkholderia,150,clean,k-mer,k=7,7,,False,False,80,3,0.375,0.2981366459627329,4519,4519
within_genus_species,Burkholderia,150,clean,canonical k-mer,k=4,4,,True,False,80,3,0.5416666666666666,0.5329311211664153,136,136
within_genus_species,Burkholderia,150,clean,canonical k-mer,k=5,5,,True,False,80,3,0.4166666666666667,0.41005291005291006,488,488
within_genus_species,Burkholderia,150,clean,canonical k-mer,k=6,6,,True,False,80,3,0.375,0.34017094017094013,1526,1526
within_genus_species,Burkholderia,150,clean,canonical k-mer,k=7,7,,True,False,80,3,0.375,0.3451417004048583,3321,3321
within_genus_species,Burkholderia,150,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,3,0.5416666666666666,0.5329311211664153,136,136
within_genus_species,Burkholderia,150,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,3,0.5833333333333334,0.5793650793650794,147,147
within_genus_species,Burkholderia,150,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,3,0.2916666666666667,0.28003341687552213,136,136
within_genus_species,Burkholderia,150,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,3,0.3333333333333333,0.32630718954248367,147,147
within_genus_species,Burkholderia,150,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,3,0.4166666666666667,0.40542328042328046,136,136
within_genus_species,Burkholderia,150,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,3,0.4166666666666667,0.40542328042328046,147,147
target_background,Burkholderia,150,clean,k-mer,k=4,4,,False,False,80,2,0.5416666666666666,0.4990512333965844,253,253
target_background,Burkholderia,150,clean,k-mer,k=5,5,,False,False,80,2,0.625,0.5636363636363637,917,917
target_background,Burkholderia,150,clean,k-mer,k=6,6,,False,False,80,2,0.625,0.5252747252747253,2443,2443
target_background,Burkholderia,150,clean,k-mer,k=7,7,,False,False,80,2,0.7083333333333334,0.5872235872235873,4530,4530
target_background,Burkholderia,150,clean,canonical k-mer,k=4,4,,True,False,80,2,0.625,0.6079854809437386,135,135
target_background,Burkholderia,150,clean,canonical k-mer,k=5,5,,True,False,80,2,0.6666666666666666,0.625,485,485
target_background,Burkholderia,150,clean,canonical k-mer,k=6,6,,True,False,80,2,0.5833333333333334,0.4957983193277311,1531,1531
target_background,Burkholderia,150,clean,canonical k-mer,k=7,7,,True,False,80,2,0.625,0.5252747252747253,3321,3321
target_background,Burkholderia,150,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,2,0.625,0.6079854809437386,135,135
target_background,Burkholderia,150,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,2,0.625,0.6079854809437386,146,146
target_background,Burkholderia,150,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,2,0.625,0.6190476190476191,136,136
target_background,Burkholderia,150,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,2,0.5833333333333334,0.5804195804195804,147,147
target_background,Burkholderia,150,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,2,0.4583333333333333,0.45739130434782604,136,136
target_background,Burkholderia,150,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,2,0.4583333333333333,0.45739130434782604,147,147
within_genus_species,Candida,150,clean,k-mer,k=4,4,,False,False,80,4,0.2916666666666667,0.3005952380952381,255,255
within_genus_species,Candida,150,clean,k-mer,k=5,5,,False,False,80,4,0.3333333333333333,0.314484126984127,961,961
within_genus_species,Candida,150,clean,k-mer,k=6,6,,False,False,80,4,0.375,0.29276315789473684,2732,2732
within_genus_species,Candida,150,clean,k-mer,k=7,7,,False,False,80,4,0.3333333333333333,0.31746031746031744,5114,5114
within_genus_species,Candida,150,clean,canonical k-mer,k=4,4,,True,False,80,4,0.4583333333333333,0.4459401709401709,135,135
within_genus_species,Candida,150,clean,canonical k-mer,k=5,5,,True,False,80,4,0.5416666666666666,0.523088023088023,498,498
within_genus_species,Candida,150,clean,canonical k-mer,k=6,6,,True,False,80,4,0.5,0.4808080808080808,1685,1685
within_genus_species,Candida,150,clean,canonical k-mer,k=7,7,,True,False,80,4,0.3333333333333333,0.31677350427350426,3852,3852
within_genus_species,Candida,150,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,4,0.4583333333333333,0.4459401709401709,135,135
within_genus_species,Candida,150,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,4,0.4583333333333333,0.4459401709401709,146,146
within_genus_species,Candida,150,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,4,0.2916666666666667,0.2755681818181818,136,136
