representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,nearest_centroid,76,3,656,0.2608695652173913,0.22291021671826625,within_genus_species,Burkholderia,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,logistic,76,3,656,0.30434782608695654,0.3017740429505136,within_genus_species,Burkholderia,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,nearest_centroid,76,3,766,0.2608695652173913,0.22291021671826625,within_genus_species,Burkholderia,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,logistic,76,3,766,0.30434782608695654,0.3017740429505136,within_genus_species,Burkholderia,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,nearest_centroid,76,3,694,0.2608695652173913,0.22291021671826625,within_genus_species,Burkholderia,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,logistic,76,3,694,0.30434782608695654,0.30256410256410254,within_genus_species,Burkholderia,69,clean,label
ckmer4_count_l2,nearest_centroid,76,2,136,0.6521739130434783,0.48888888888888893,target_background,Burkholderia,69,clean,target_binary
ckmer4_count_l2,logistic,76,2,136,0.5652173913043478,0.48660714285714285,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_l2,nearest_centroid,76,2,143,0.6521739130434783,0.48888888888888893,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_l2,logistic,76,2,143,0.5652173913043478,0.48660714285714285,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_moment_l2,nearest_centroid,76,2,183,0.6521739130434783,0.48888888888888893,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_moment_l2,logistic,76,2,183,0.6521739130434783,0.5490196078431372,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_multiscale_mean_l2,nearest_centroid,76,2,218,0.6521739130434783,0.48888888888888893,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_multiscale_mean_l2,logistic,76,2,218,0.5652173913043478,0.4362745098039216,target_background,Burkholderia,69,clean,target_binary
ckmer4_property_multiscale_l2,nearest_centroid,76,2,293,0.6521739130434783,0.48888888888888893,target_background,Burkholderia,69,clean,target_binary
