representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer5_count_l2,CK5,nearest_centroid,87,3,506,0.2222222222222222,0.2222222222222222,within_genus_species,Klebsiella,69,clean,label
ckmer5_count_l2,CK5,logistic,87,3,506,0.2222222222222222,0.22280578898225958,within_genus_species,Klebsiella,69,clean,label
ckmer4_property_l2,CK4+P,nearest_centroid,87,3,146,0.2222222222222222,0.2236842105263158,within_genus_species,Klebsiella,69,clean,label
ckmer4_property_l2,CK4+P,logistic,87,3,146,0.18518518518518517,0.18564384818254787,within_genus_species,Klebsiella,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,87,3,222,0.2222222222222222,0.2236842105263158,within_genus_species,Klebsiella,69,clean,label
ck4p_msp,CK4P-MSP,logistic,87,3,222,0.25925925925925924,0.24953314659197012,within_genus_species,Klebsiella,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,87,3,222,0.2962962962962963,0.29444444444444445,within_genus_species,Klebsiella,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",logistic,87,3,222,0.3333333333333333,0.3166666666666667,within_genus_species,Klebsiella,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,87,3,222,0.4074074074074074,0.25925925925925924,within_genus_species,Klebsiella,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",logistic,87,3,222,0.4074074074074074,0.25925925925925924,within_genus_species,Klebsiella,69,clean,label
ckmer4_count_l2,CK4,nearest_centroid,76,2,135,0.5217391304347826,0.5180952380952382,target_background,Klebsiella,69,clean,target_binary
ckmer4_count_l2,CK4,logistic,76,2,135,0.43478260869565216,0.43478260869565216,target_background,Klebsiella,69,clean,target_binary
ckmer5_count_l2,CK5,nearest_centroid,76,2,504,0.5652173913043478,0.5643939393939394,target_background,Klebsiella,69,clean,target_binary
ckmer5_count_l2,CK5,logistic,76,2,504,0.4782608695652174,0.4772727272727273,target_background,Klebsiella,69,clean,target_binary
ckmer4_property_l2,CK4+P,nearest_centroid,76,2,146,0.4782608695652174,0.4772727272727273,target_background,Klebsiella,69,clean,target_binary
ckmer4_property_l2,CK4+P,logistic,76,2,146,0.391304347826087,0.38076923076923075,target_background,Klebsiella,69,clean,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,76,2,222,0.5217391304347826,0.5180952380952382,target_background,Klebsiella,69,clean,target_binary
ck4p_msp,CK4P-MSP,logistic,76,2,222,0.5217391304347826,0.5180952380952382,target_background,Klebsiella,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,76,2,222,0.6086956521739131,0.6057142857142856,target_background,Klebsiella,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",logistic,76,2,222,0.5217391304347826,0.5180952380952382,target_background,Klebsiella,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,76,2,222,0.5217391304347826,0.34285714285714286,target_background,Klebsiella,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",logistic,76,2,222,0.5217391304347826,0.34285714285714286,target_background,Klebsiella,69,clean,target_binary
ckmer4_count_l2,CK4,nearest_centroid,116,4,136,0.2,0.19385420071918927,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer4_count_l2,CK4,logistic,116,4,136,0.14285714285714285,0.14707602339181286,within_genus_species,Acinetobacter,69,substitution_1pct,label
ckmer5_count_l2,CK5,nearest_centroid,116,4,511,0.14285714285714285,0.13645510835913313,within_genus_species,Acinetobacter,69,substitution_1pct,label
