retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features,high_k,target_dim
1.0,0.8776150847846932,0.8431536752155043,0.4921420189578555,0.5600821832522648,0.5259607851844404,1.0,69,local_mismatch_6bp,ckmer5_count_l2,CK5,250,512,,
1.0,0.9603021590068838,0.9457228835935156,0.27941531509096673,0.3294756889097497,0.15684059353933139,1.0,69,local_mismatch_6bp,ck4_p,CK4+P,250,147,,
1.0,0.9732751575679369,0.9636647668699198,0.22931024239520667,0.2695745829005188,0.10618629204991965,1.0,69,local_mismatch_6bp,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.7018858743721454,0.5840572001754393,0.7610687283013985,0.9120772398713007,0.5145401504969616,1.0,69,local_mismatch_6bp,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.8372941520471336,0.7539635883254324,0.558856872959823,0.7014789648481871,0.6473485930482547,1.0,69,local_mismatch_6bp,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9804598227537736,0.942084549996501,0.14308797414204127,0.34033248138756134,0.3613115367238639,1.0,69,short_indel,ck4,CK4,250,136,,
1.0,0.9639414836465948,0.8904109589041097,0.1955292471823394,0.46816458878452233,0.6019954071881634,1.0,69,short_indel,ckmer5_count_l2,CK5,250,512,,
1.0,0.9902263567849834,0.971026669780821,0.10119837779127966,0.24071608342325887,0.18117791110628526,1.0,69,short_indel,ck4_p,CK4+P,250,147,,
1.0,0.9934428721523536,0.9805841126391018,0.08293192547263233,0.1970518332540003,0.12265969726679951,1.0,69,short_indel,ck4p_msp,CK4P-MSP,250,222,,
0.996,0.848772918349488,0.5318578857147517,0.3987948607028493,0.9675371581797283,0.6571445390445847,0.996,69,short_indel,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.9157366064326988,0.7512521893376407,0.29451838492189447,0.7053322770926245,0.7259740214798639,1.0,69,short_indel,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9791394002362928,0.931019257282202,0.1403356309740479,0.3714309241239431,0.3468438195815338,1.0,75,substitution_1pct,ck4,CK4,250,136,,
1.0,0.9625064731411768,0.8727904062401526,0.18845982414991005,0.5043978869996772,0.5884648725619543,1.0,75,substitution_1pct,ckmer5_count_l2,CK5,250,512,,
1.0,0.9895643718353683,0.9654944233622731,0.09927342177122532,0.262699332988007,0.17389951647608679,1.0,75,substitution_1pct,ck4_p,CK4+P,250,147,,
1.0,0.9930190879878662,0.9768913198931788,0.08121923864911947,0.21498179065650433,0.11785190981279568,1.0,75,substitution_1pct,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.8729973777101925,0.5724645628756186,0.3471722639362295,0.9246523883838368,0.6803833085603879,1.0,75,substitution_1pct,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.9285695291907305,0.7473414876561311,0.258666061722599,0.7108542059149885,0.7441086742909074,1.0,75,substitution_1pct,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9693075422610864,0.9552030795666945,0.24512263354663377,0.29932210279642446,0.3446240476754575,1.0,75,N_3pct,ck4,CK4,250,136,,
1.0,0.9454978059522291,0.9268569428743202,0.3273136607701276,0.38247366018073625,0.5769896144841753,1.0,75,N_3pct,ckmer5_count_l2,CK5,250,512,,
1.0,0.9837871361327755,0.9767731475741139,0.17841892733376555,0.21553098577980856,0.17295456433910525,1.0,75,N_3pct,ck4_p,CK4+P,250,147,,
1.0,0.9888947366696739,0.984213530013156,0.14775801911725495,0.17768775351179775,0.11723217753324834,1.0,75,N_3pct,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.7961986377286282,0.6895691758436797,0.6286086678784012,0.7879476622548572,0.6046368113738226,1.0,75,N_3pct,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.7906559841316323,0.6598346973342616,0.6342406753270464,0.8248174399889047,0.6066297621921726,1.0,75,N_3pct,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.980079505539836,0.9724868989841983,0.1979478275011565,0.23453206994050688,0.35017116604738474,1.0,75,trim_5bp,ck4,CK4,250,136,,
1.0,0.9713040270078998,0.9640982491573573,0.23846575692189872,0.26796170570743777,0.5964441594238427,1.0,75,trim_5bp,ckmer5_count_l2,CK5,250,512,,
1.0,0.9900059129705285,0.9862171344961451,0.14021673716595517,0.16599812613330803,0.1755798753154802,1.0,75,trim_5bp,ck4_p,CK4+P,250,147,,
1.0,0.9929757178953832,0.9902310562347687,0.11759882664883275,0.1397680481519551,0.11868438718069081,1.0,75,trim_5bp,ck4p_msp,CK4P-MSP,250,222,,
1.0,0.9583401454359698,0.9516619028617734,0.2880091061099503,0.3109279567302595,0.76884707339239,1.0,75,trim_5bp,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.9587791462546466,0.9313544439532776,0.282462241097399,0.3705234032575833,0.7740142694115515,1.0,75,trim_5bp,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9457160001379407,0.8739712463876943,0.3162355373803183,0.5020515005085704,0.3241521646616646,1.0,75,substitution_1pct_N_3pct,ck4,CK4,250,136,,
1.0,0.9049845715833871,0.7986671461728846,0.4207127002956569,0.6345593406381806,0.5394030375441604,1.0,75,substitution_1pct_N_3pct,ckmer5_count_l2,CK5,250,512,,
1.0,0.97197875792804,0.9360319796118916,0.2278258181857755,0.3576808837967906,0.16269834032294278,1.0,75,substitution_1pct_N_3pct,ck4_p,CK4+P,250,147,,
1.0,0.9810179555611274,0.9567549741127002,0.1877165886969337,0.2940893745598476,0.11033195823631767,1.0,75,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,250,222,,
0.992,0.6735846768717525,0.3697199574904572,0.7812083211104756,1.1227435138640318,0.4839491985459261,0.992,75,substitution_1pct_N_3pct,hash_k15_d222,"Hashed k=15, d=222",250,222,15.0,222.0
1.0,0.7279641917354055,0.4821829775037259,0.7201231654876894,1.0176609225869484,0.5418909109432557,1.0,75,substitution_1pct_N_3pct,rp_ck15_d222,"CK15 random projection, d=222",250,222,15.0,222.0
1.0,0.9308321601421036,0.9046069029796684,0.36903438120141346,0.4367883383835592,0.3069653071611028,1.0,75,local_mismatch_6bp,ck4,CK4,250,136,,
1.0,0.8892157089288316,0.858797574103567,0.4681949395498989,0.5314176083420714,0.5244461472397499,1.0,75,local_mismatch_6bp,ckmer5_count_l2,CK5,250,512,,
1.0,0.9653603834911728,0.9522547798143463,0.26116572529717363,0.3090135281748018,0.15388600982311465,1.0,75,local_mismatch_6bp,ck4_p,CK4+P,250,147,,
