length,condition,omitted_p_group,n_pairs,p_features_remaining,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,N_3pct,none,250,11,1.0,0.9837617023531282,0.9767135061446374,0.17868968840511865,0.21580701845105424,0.1771625377494688,1.0
75,N_3pct,hydrogen,250,9,1.0,0.9841283286046737,0.9770948201963976,0.17656358487567342,0.21403279086733504,0.1782309512463559,1.0
75,N_3pct,gc,250,9,1.0,0.9837141940954012,0.9766658456169288,0.1789619573749237,0.2160277839911647,0.17706588216861519,1.0
75,N_3pct,purine,250,9,1.0,0.9837133533363075,0.9766549268629214,0.17896657274518601,0.2160784066020685,0.1769532509048678,1.0
75,N_3pct,eiip,250,9,1.0,0.9837620744515063,0.9767135723240026,0.17868750790637186,0.21580671508690868,0.17716237804587248,1.0
75,N_3pct,n_fraction,250,10,1.0,0.983783495982839,0.9767342592567722,0.1785652383319875,0.21571084087643005,0.17716256163507277,1.0
75,N_3pct,scaled_length,250,10,1.0,0.9837469863427503,0.9766997202419859,0.17877418890648047,0.21587089556582126,0.17716864704206892,1.0
75,N_3pct,entropy,250,10,1.0,0.983810681926952,0.9767608166924415,0.17840940362188565,0.21558750365057985,0.17712846285021513,1.0
75,trim_5bp,none,250,11,1.0,0.9899406765120602,0.9868466391255054,0.1408481425036369,0.16219328221868376,0.17974932720786424,1.0
75,trim_5bp,hydrogen,250,9,1.0,0.989840048020495,0.9867408739529051,0.14156734743790667,0.16284424126199354,0.1807278528858448,1.0
75,trim_5bp,gc,250,9,1.0,0.9899442040730242,0.9868487178842883,0.14082316878438622,0.16218048358140916,0.1796633296431165,1.0
75,trim_5bp,purine,250,9,1.0,0.9899457861940504,0.9868545660914431,0.14081307696165504,0.1621443514961269,0.17955626442580092,1.0
75,trim_5bp,eiip,250,9,1.0,0.9899406718077073,0.9868466035821026,0.1408481870707291,0.16219350157960347,0.17974885865565682,1.0
75,trim_5bp,n_fraction,250,10,1.0,0.9899406765120602,0.9868466391255052,0.14084814250363692,0.16219328221868373,0.17974932720786424,1.0
75,trim_5bp,scaled_length,250,10,1.0,0.9899589691432832,0.9868659303028366,0.14071603378752276,0.16207430526037797,0.1797495788243532,1.0
75,trim_5bp,entropy,250,10,1.0,0.9899392398485147,0.9868445085890332,0.14085786220444657,0.16220642507853533,0.17974308965923597,1.0
75,substitution_1pct_N_3pct,none,250,11,1.0,0.9708284973086273,0.9395762428461913,0.23270997071839125,0.34762914918959137,0.16431515273254424,1.0
75,substitution_1pct_N_3pct,hydrogen,250,9,1.0,0.9711828232281531,0.9399831552967729,0.23102872325060195,0.3464567941376093,0.1653927189509382,1.0
75,substitution_1pct_N_3pct,gc,250,9,1.0,0.9707832671278754,0.9395259635518655,0.23292225509847697,0.3477737833545908,0.16420727057005144,1.0
75,substitution_1pct_N_3pct,purine,250,9,1.0,0.9707820757352915,0.9395415596818947,0.23292865219695666,0.3477287740282803,0.16410778186350525,1.0
75,substitution_1pct_N_3pct,eiip,250,9,1.0,0.9708288695113694,0.9395769195167908,0.23270813250264671,0.347627207021307,0.1643147853521342,1.0
75,substitution_1pct_N_3pct,n_fraction,250,10,1.0,0.9708502893064921,0.9395974315819534,0.232608879489451,0.34756819524825633,0.16431517635351064,1.0
75,substitution_1pct_N_3pct,scaled_length,250,10,1.0,0.9708137991489426,0.9395631368214098,0.23277851193972682,0.34766684531469794,0.16432067921424387,1.0
75,substitution_1pct_N_3pct,entropy,250,10,1.0,0.9708760841759273,0.9395939823641654,0.23248812895950074,0.34757832936991867,0.1642779998522871,1.0
75,local_mismatch_6bp,none,250,11,1.0,0.9647826507127096,0.9524088301353145,0.2635004298478197,0.3085157903960767,0.15702707577019415,1.0
75,local_mismatch_6bp,hydrogen,250,9,1.0,0.9646228927892642,0.9523225888094128,0.2641154124584634,0.3087954787799604,0.15817852628515022,1.0
75,local_mismatch_6bp,gc,250,9,1.0,0.9648011425230408,0.9524171940786356,0.2634286437041277,0.3084886472392862,0.15692263292153,1.0
75,local_mismatch_6bp,purine,250,9,1.0,0.9648063792621772,0.9524255962049605,0.2634099453649278,0.30846137628806114,0.1568037444809221,1.0
75,local_mismatch_6bp,eiip,250,9,1.0,0.9647827208351064,0.9524088672606729,0.2635001583692061,0.3085156706764685,0.15702659751017492,1.0
75,local_mismatch_6bp,n_fraction,250,10,1.0,0.9647826507127096,0.9524088301353145,0.26350042984781963,0.3085157903960767,0.15702707577019412,1.0
75,local_mismatch_6bp,scaled_length,250,10,1.0,0.9647822603925824,0.9524085079321116,0.2635019427129308,0.3085168358570196,0.1570303861142898,1.0
75,local_mismatch_6bp,entropy,250,10,1.0,0.9647833322603158,0.9524071434069007,0.2634970407109278,0.30852126660085966,0.15702590695605287,1.0
75,short_indel,none,250,11,1.0,0.9922962887261279,0.9727000584437965,0.08614485649079698,0.2336639037047898,0.1797721161827423,1.0
