length,condition,representation,n_pairs,n_features,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,N_3pct,CK4+P_auxiliary_only,250,139,1.0,0.9842889614936601,0.9772324612797573,0.17563614971642608,0.21338838868990168,0.1767188084778104,1.0
75,N_3pct,CK4+P_train_zscore,250,147,0.652,0.6925046529506717,0.4867021170708024,0.767090724020618,1.0132080821075486,0.05236862545194083,0.652
75,N_3pct,CK4+P_unit_range,250,147,1.0,0.9842057448100282,0.9771909191137841,0.1761202680740074,0.21358326402466368,0.17852724369920747,1.0
75,N_3pct,CK4P-MSP_declared,250,222,1.0,0.9888850117120812,0.9841782693569544,0.14791314022975974,0.17788603507455356,0.11987118333544294,1.0
75,N_3pct,CK4P-MSP_property_only,250,219,1.0,0.988924360436542,0.9842162747361854,0.14764212894023387,0.17767221313103856,0.11984614123855365,1.0
75,N_3pct,CK4P-MSP_auxiliary_only,250,214,1.0,0.9892365178057694,0.9845242394470343,0.14545893564739715,0.17593028445336586,0.11956657653735905,1.0
75,N_3pct,CK4P-MSP_train_zscore,250,222,0.984,0.7550265016653386,0.6050449650899434,0.6894016282226834,0.8887657384275582,0.16706787487645505,0.984
75,N_3pct,CK4P-MSP_unit_range,250,222,1.0,0.9888367334919304,0.9841669655653116,0.14822971031305446,0.1779496245144829,0.1296171583860801,1.0
75,trim_5bp,P_declared,250,11,0.38,0.9999352997478941,0.9998841959325173,0.011127455397613504,0.015218656413142066,9.53213280189047e-07,0.372
75,trim_5bp,P_property_only,250,8,0.336,0.9999723607389367,0.9999180638654717,0.006432392559736704,0.012799627584018612,-2.760061551699167e-06,0.328
75,trim_5bp,P_auxiliary_only,250,3,0.004,0.9996811107205098,0.9995719912260352,0.02508905263731372,0.029257751591021383,-0.0002059987225268123,0.004
75,trim_5bp,P_train_zscore,250,11,0.236,0.865657372067866,0.7119294135235446,0.49110112010932006,0.7590316161315077,-0.014305505623419437,0.232
75,trim_5bp,P_unit_range,250,11,0.52,0.9997510136106259,0.9994681525802411,0.021388265013610498,0.03261431231124358,6.285528284243558e-05,0.508
75,trim_5bp,MSP_declared,250,75,0.884,0.9989678193438302,0.9980303439229103,0.04424638844850556,0.06276391207367371,0.0008452565578478736,0.884
75,trim_5bp,MSP_train_zscore,250,75,0.876,0.8686803979989752,0.7026531201273652,0.48877990866924687,0.7711638409621173,0.09958125414001094,0.876
75,trim_5bp,MSP_unit_range,250,75,0.944,0.9934612966841935,0.9880960717315319,0.11142813847991408,0.15429569922786637,0.006682790377675402,0.944
75,trim_5bp,CK4+P_declared,250,147,1.0,0.9899406765120602,0.9868466391255054,0.14084814250363692,0.16219328221868376,0.17974932720786424,1.0
75,trim_5bp,CK4+P_property_only,250,144,1.0,0.9899592070075816,0.9868652949307906,0.1407137382249793,0.16207822863812565,0.1797435666251426,1.0
75,trim_5bp,CK4+P_auxiliary_only,250,139,1.0,0.989813581998368,0.9867569060657821,0.141770563302097,0.16274574861955898,0.17952003759646235,1.0
75,trim_5bp,CK4+P_train_zscore,250,147,1.0,0.9228017126720461,0.8432995994022612,0.37701463125489537,0.5598217050636398,0.21344816588166762,1.0
75,trim_5bp,CK4+P_unit_range,250,147,1.0,0.9898485334434262,0.9867478521793176,0.14150013010465526,0.16280139618895273,0.18103053324414775,1.0
75,trim_5bp,CK4P-MSP_declared,250,222,1.0,0.9929497241226501,0.9908463222352908,0.11795358151203214,0.1353034482425983,0.12124070178956063,1.0
75,trim_5bp,CK4P-MSP_property_only,250,219,1.0,0.992962077786331,0.9908595164583426,0.11784670190318337,0.13520580577876157,0.12123666178111882,1.0
75,trim_5bp,CK4P-MSP_auxiliary_only,250,214,1.0,0.9928649944468554,0.990775485090677,0.1186875371595234,0.13582494170528114,0.12110025782009007,1.0
75,trim_5bp,CK4P-MSP_train_zscore,250,222,1.0,0.9047612744476892,0.8163007355286932,0.42172028983207516,0.6061057543594298,0.2292450798943416,1.0
75,trim_5bp,CK4P-MSP_unit_range,250,222,1.0,0.9910527878570153,0.9876045358148844,0.1328348959979631,0.15745028857426083,0.129308123740881,1.0
75,substitution_1pct_N_3pct,P_declared,250,11,0.064,0.9982749043563147,0.9978494800995442,0.058653804840804,0.06558230746934027,-0.0002700729958804251,0.064
75,substitution_1pct_N_3pct,P_property_only,250,8,0.084,0.998390153953024,0.9979563245827152,0.0566549774294662,0.06393231481437349,-0.00017307254729476184,0.08
