target_label,representation,representation_label,n_features,baseline_macro_f1,mean_shifted_macro_f1,worst_shifted_macro_f1,mean_retention,worst_retention
tax_434085,ck4_p,CK4+P,147,0.7700714145250394,0.7391713354390672,0.7137789082164402,0.9598737487158506,0.9268996287268773
tax_434085,ck4p_msp,CK4P-MSP,222,0.7658831763309699,0.7389268203036331,0.7205287258515642,0.9648035668357756,0.9407815031312216
tax_434085,ck5,CK5,512,0.779779167442908,0.7449424593413704,0.7279669564382114,0.9553249053629171,0.9335552767143013
tax_434085,pseeiip,PseEIIP,64,0.7642735740767685,0.7249052301990827,0.692763219610114,0.9484891991388786,0.9064335639852025
tax_434085,pseknc_k3_l3,PseKNC,67,0.7608430595184619,0.7273086323325401,0.7069294203987337,0.9559246460010481,0.9291396058027392
tax_552396,ck4,CK4,136,0.8225247115503346,0.8124275249118532,0.805826726048317,0.9877241540628613,0.9796991077987864
tax_552396,ck4_msp,CK4+MSP,211,0.8175947349873391,0.8090477582722355,0.8044216756245918,0.9895461940380084,0.9838880330327086
tax_552396,ck4_p,CK4+P,147,0.8167314985397758,0.8087116877227738,0.8036313265013109,0.9901806030117114,0.9839602463454801
tax_552396,ck4p_msp,CK4P-MSP,222,0.8186112423240435,0.8072776617986804,0.8042366350545471,0.9861551125376841,0.9824402518237024
tax_552396,ck5,CK5,512,0.8145400787576698,0.8089633637839697,0.800231846442655,0.9931535413429802,0.9824339738606386
tax_552396,pseeiip,PseEIIP,64,0.7999831921585305,0.7907317219580708,0.7817695892306282,0.9884354192798762,0.977232517999837
tax_552396,pseknc_k3_l3,PseKNC,67,0.7987098590671351,0.7884695223061694,0.78024671414526,0.9871789027708685,0.9768837898865561
