target_label,length,condition,comparator,absolute_f1_difference,absolute_ci_low,absolute_ci_high,relative_drop_difference,relative_drop_ci_low,relative_drop_ci_high
tax_434085,75,substitution_1pct,ck4,-0.0007210327969205954,-0.010056668102210247,0.007534498677115397,0.01105920226831969,-0.0008581891142687588,0.022469965298665517
tax_434085,75,substitution_1pct,ck4_p,-0.001853699333999148,-0.006758817333766176,0.0030844751430336996,0.00233453886007029,-0.004333936350586607,0.00942881205014172
tax_434085,75,substitution_1pct,ck4_msp,0.00031040413745531126,-0.005432624752836482,0.004824384229397181,0.004088758222012601,-0.003006318110363704,0.010424751296030486
tax_434085,75,substitution_1pct,ck5,-0.007526365585802108,-0.020813453100234355,0.004592346649754267,0.006369625526135958,-0.006849301901073149,0.021593841946224615
tax_434085,75,substitution_1pct,pseknc_k3_l3,0.015604650493231564,0.0021884279100979898,0.027118740957039776,0.01056453368072352,-0.0038699284933445123,0.025625727471260386
tax_434085,75,substitution_1pct,pseeiip,0.01240114800504355,-0.0016246627177200403,0.028906180179557317,0.01079154575084218,-0.005689937173017156,0.027992910549736547
tax_434085,100,N_3pct,ck4,-0.001494492140826864,-0.009756192484795007,0.006394899220210937,0.010285742924413421,0.0007279898742916735,0.021010758978816508
tax_434085,100,N_3pct,ck4_p,-0.0067205155166172315,-0.011293223796726384,-0.0017161951525214848,-0.0025322773225477935,-0.008870197784507266,0.0036467768724310376
tax_434085,100,N_3pct,ck4_msp,0.00019154541991039942,-0.004791446665383605,0.006641507593428629,0.003969899504467689,-0.0023272337697746613,0.010602622218994958
tax_434085,100,N_3pct,ck5,-0.006487266179955098,-0.020013909463664086,0.006479429158744887,0.0074087249319829684,-0.00404921510332216,0.019469311645782562
tax_434085,100,N_3pct,pseknc_k3_l3,0.007583045564870772,-0.004357844922550849,0.021750638911581018,0.0025429287523627275,-0.009329699190128556,0.014857168727186744
tax_434085,100,N_3pct,pseeiip,0.006013159181741168,-0.00878285523364349,0.020358632681862655,0.004403556927539798,-0.008067129997569278,0.017051639063103065
tax_434085,100,clean,ck4,-0.011780235065240285,-0.01975914397991403,-0.004212443500528438,0.0,0.0,0.0
tax_434085,100,clean,ck4_p,-0.004188238194069438,-0.00877757209216561,0.0008373830534787995,0.0,0.0,0.0
tax_434085,100,clean,ck4_msp,-0.0037783540845572894,-0.008814628361104576,0.001669046424225526,0.0,0.0,0.0
tax_434085,100,clean,ck5,-0.013895991111938066,-0.025964593942079953,-0.0039440858367435026,0.0,0.0,0.0
tax_434085,100,clean,pseknc_k3_l3,0.005040116812508044,-0.006582849825788969,0.018347572939367122,0.0,0.0,0.0
tax_434085,100,clean,pseeiip,0.00160960225420137,-0.013333755233651103,0.014506963700537015,0.0,0.0,0.0
tax_434085,100,substitution_1pct,ck4,-0.005981671387341847,-0.01350768293237479,0.0007771536485507078,0.005798563677898438,-0.0020376606612707154,0.014081396472105365
tax_434085,100,substitution_1pct,ck4_p,-0.0025760415751115984,-0.006715093520570437,0.001607941710884059,0.0016121966189578396,-0.002622643528567997,0.006218351486560361
