target_label,representation,representation_label,n_features,c_value,length,condition,n_test_sources,accuracy,balanced_accuracy,mcc,macro_f1,auroc,auprc,macro_f1_ci_low,macro_f1_ci_high,baseline_macro_f1,delta_macro_f1,label_retention_ratio
tax_1122939,pseeiip,PseEIIP,64,10.0,100,N_3pct,2400,0.9095833333333333,0.9095833333333333,0.8212294597421138,0.9094697776290572,0.9589652777777777,0.9400850125052629,,,0.9073326195440514,0.002137158085005808,1.0023554295734234
tax_1122939,pseeiip,PseEIIP,64,10.0,100,clean,2400,0.9075,0.9075,0.8179602379825073,0.9073326195440514,0.9612784722222223,0.9446935165696807,,,0.9073326195440514,0.0,1.0
tax_1122939,pseeiip,PseEIIP,64,10.0,100,substitution_1pct,2400,0.9070833333333334,0.9070833333333334,0.816314870780118,0.9069610743701229,0.9596506944444445,0.943248803643574,,,0.9073326195440514,-0.0003715451739285669,0.9995905083032116
tax_1097667,ck4,CK4,136,0.1,69,N_3pct,2400,0.8766666666666667,0.8766666666666667,0.7570021186207004,0.8763678030015614,0.9423333333333334,0.9285890155502183,,,0.8837350635495957,-0.007367260548034382,0.9916634963894686
tax_1097667,ck4,CK4,136,0.1,69,clean,2400,0.87875,0.87875,0.7630913158882164,0.8783057950243729,0.9445590277777778,0.9300119699904733,,,0.8837350635495957,-0.005429268525222852,0.9938564522907852
tax_1097667,ck4,CK4,136,0.1,69,substitution_1pct,2400,0.8791666666666667,0.8791666666666667,0.7633981044319634,0.8787658362126447,0.9438666666666666,0.9289605064002415,,,0.8837350635495957,-0.004969227336951043,0.9943770168889852
tax_1097667,ck4,CK4,136,0.1,75,N_3pct,2400,0.8791666666666667,0.8791666666666667,0.7629633096606236,0.8788000367779198,0.9418597222222223,0.9235237666845086,,,0.8837350635495957,-0.004935026771675899,0.9944157169097105
tax_1097667,ck4,CK4,136,0.1,75,clean,2400,0.8808333333333334,0.8808333333333334,0.768528667140787,0.8803013392857143,0.9455104166666667,0.930419803378288,,,0.8837350635495957,-0.0034337242638814436,0.9961145320520727
tax_1097667,ck4,CK4,136,0.1,75,substitution_1pct,2400,0.8804166666666666,0.8804166666666666,0.7662937396641646,0.8799906125061002,0.9432444444444446,0.9259468369039908,,,0.8837350635495957,-0.0037444510434955225,0.9957629257931041
tax_1097667,ck4,CK4,136,0.1,100,N_3pct,2400,0.8879166666666667,0.8879166666666667,0.7860666796647169,0.8871871238151022,0.9505638888888889,0.9396200429546191,,,0.8837350635495957,0.0034520602655064847,1.0039062162495183
tax_1097667,ck4,CK4,136,0.1,100,clean,2400,0.8845833333333334,0.8845833333333333,0.7806421529723688,0.8837350635495957,0.9527222222222222,0.9419829352658405,,,0.8837350635495957,0.0,1.0
tax_1097667,ck4,CK4,136,0.1,100,substitution_1pct,2400,0.88625,0.88625,0.7829059604437887,0.8854940820258739,0.9511416666666668,0.9406698968176251,,,0.8837350635495957,0.0017590184762781291,1.00199043644281
tax_1097667,ck4,CK4,136,1.0,69,N_3pct,2400,0.8883333333333333,0.8883333333333334,0.7773417356047747,0.8882848458532349,0.9530027777777779,0.9452677594844711,0.8777995252596102,0.9000169478565385,0.9005415193884836,-0.01225667353524873,0.9863896630290054
tax_1097667,ck4,CK4,136,1.0,69,clean,2400,0.8945833333333333,0.8945833333333333,0.7905516196350449,0.8944909946361043,0.9557479166666666,0.9482757225615419,0.8834830859458936,0.90573530285323,0.9005415193884836,-0.006050524752379327,0.9932812373198651
tax_1097667,ck4,CK4,136,1.0,69,substitution_1pct,2400,0.8925,0.8925,0.785918533271615,0.8924371803254539,0.9546527777777778,0.9467024744667665,0.881069609606023,0.9058338152581512,0.9005415193884836,-0.008104339063029653,0.9910005936555453
tax_1097667,ck4,CK4,136,1.0,75,N_3pct,2400,0.8866666666666667,0.8866666666666667,0.7742382153673659,0.8866004381725716,0.9530055555555556,0.9423241053434115,0.8748594092362755,0.8990669928591823,0.9005415193884836,-0.013941081215911977,0.984519224360273
tax_1097667,ck4,CK4,136,1.0,75,clean,2400,0.8908333333333334,0.8908333333333334,0.7840759568673062,0.8906656113440687,0.9567902777777778,0.9488212748873395,0.8793041515619291,0.9035460880479598,0.9005415193884836,-0.00987590804441485,0.9890333673331119
tax_1097667,ck4,CK4,136,1.0,75,substitution_1pct,2400,0.89125,0.8912500000000001,0.7837967868260224,0.8911600369680563,0.9539055555555555,0.9436821106290503,0.8802416251162432,0.9033216158098937,0.9005415193884836,-0.009381482420427245,0.9895823987917872
tax_1097667,ck4,CK4,136,1.0,100,N_3pct,2400,0.8995833333333333,0.8995833333333333,0.803260619821887,0.8993274397648606,0.9618777777777778,0.9549683931117995,0.8894533417708964,0.9107081432727229,0.9005415193884836,-0.0012140796236229656,0.9986518338161161
tax_1097667,ck4,CK4,136,1.0,100,clean,2400,0.9008333333333334,0.9008333333333334,0.8064127073471791,0.9005415193884836,0.9642770833333333,0.9584172137399736,0.8905922517480288,0.9102112028784348,0.9005415193884836,0.0,1.0
tax_1097667,ck4,CK4,136,1.0,100,substitution_1pct,2400,0.9025,0.9025000000000001,0.8091928159225517,0.90224740457808,0.9627680555555557,0.9575225245735073,0.8892641258447962,0.913230487915423,0.9005415193884836,0.0017058851895963567,1.0018942882175546
tax_1097667,ck4,CK4,136,10.0,69,N_3pct,2400,0.8891666666666667,0.8891666666666667,0.778386308648699,0.8891628951262924,0.9551229166666667,0.9473119631378618,,,0.9048601973455439,-0.015697302219251474,0.9826522348255561
tax_1097667,ck4,CK4,136,10.0,69,clean,2400,0.8954166666666666,0.8954166666666667,0.7911325369027236,0.895396890141209,0.9583840277777778,0.9522176847179247,,,0.9048601973455439,-0.009463307204334859,0.9895416913771917
tax_1097667,ck4,CK4,136,10.0,69,substitution_1pct,2400,0.8908333333333334,0.8908333333333334,0.7817980632164007,0.8908241595300717,0.9567055555555557,0.9498600517555875,,,0.9048601973455439,-0.014036037815472246,0.9844881697121304
