split,classifier,accuracy,macro_f1,n_features,task,length,condition,representation,n_samples,n_classes,accuracy_std,macro_f1_std
holdout,logistic,0.4722222222222222,0.46862859362859366,222,motif_jitter_position,69,clean,ckmer4_property_multiscale_mean_l2,240,3,,
5fold_cv,nearest_centroid,0.3416666666666667,0.3398449617151443,222,motif_jitter_position,69,clean,ckmer4_property_multiscale_mean_l2,240,3,0.042898458920779176,0.042319820815165346
5fold_cv,logistic,0.3916666666666666,0.3864045102943931,222,motif_jitter_position,69,clean,ckmer4_property_multiscale_mean_l2,240,3,0.05170697352496191,0.056858796191211806
holdout,nearest_centroid,0.5694444444444444,0.5650352733686067,345,motif_jitter_position,69,clean,one_hot,240,3,,
holdout,logistic,0.5694444444444444,0.5666666666666665,345,motif_jitter_position,69,clean,one_hot,240,3,,
5fold_cv,nearest_centroid,0.5333333333333334,0.5317622018976466,345,motif_jitter_position,69,clean,one_hot,240,3,0.04859126579037753,0.045873474100908945
5fold_cv,logistic,0.5916666666666667,0.5861274781908781,345,motif_jitter_position,69,clean,one_hot,240,3,0.05682575707077439,0.057653751074208386
holdout,nearest_centroid,0.5694444444444444,0.5613186813186813,345,motif_jitter_position,69,clean,property_channels,240,3,,
holdout,logistic,0.5416666666666666,0.5386033201159252,345,motif_jitter_position,69,clean,property_channels,240,3,,
5fold_cv,nearest_centroid,0.5375,0.5351790278437534,345,motif_jitter_position,69,clean,property_channels,240,3,0.0517069735249619,0.05408492322860583
5fold_cv,logistic,0.5166666666666666,0.5130728165950853,345,motif_jitter_position,69,clean,property_channels,240,3,0.058034951154933845,0.058412172188156454
holdout,nearest_centroid,0.5277777777777778,0.5213483009117059,690,motif_jitter_position,69,clean,base_property,240,3,,
holdout,logistic,0.5694444444444444,0.5674836601307189,690,motif_jitter_position,69,clean,base_property,240,3,,
5fold_cv,nearest_centroid,0.55,0.5482458293973158,690,motif_jitter_position,69,clean,base_property,240,3,0.058333333333333334,0.056522519990384455
5fold_cv,logistic,0.5666666666666667,0.5609740914143728,690,motif_jitter_position,69,clean,base_property,240,3,0.05951190357119041,0.06125537496537633
holdout,nearest_centroid,0.5277777777777778,0.5267672286305827,1104,motif_jitter_position,69,clean,rope_onehot,240,3,,
holdout,logistic,0.5694444444444444,0.5663480316579298,1104,motif_jitter_position,69,clean,rope_onehot,240,3,,
5fold_cv,nearest_centroid,0.525,0.5226739630107751,1104,motif_jitter_position,69,clean,rope_onehot,240,3,0.06095307849303248,0.057829135344581915
5fold_cv,logistic,0.5583333333333333,0.5543342640116833,1104,motif_jitter_position,69,clean,rope_onehot,240,3,0.0650854139658888,0.06347263436765438
holdout,nearest_centroid,0.5694444444444444,0.5670445956160242,1104,motif_jitter_position,69,clean,rope_property,240,3,,
holdout,logistic,0.5555555555555556,0.5512820512820512,1104,motif_jitter_position,69,clean,rope_property,240,3,,
5fold_cv,nearest_centroid,0.5249999999999999,0.5216064707138123,1104,motif_jitter_position,69,clean,rope_property,240,3,0.0689706056551952,0.06608531291053686
5fold_cv,logistic,0.5708333333333333,0.5651356236244675,1104,motif_jitter_position,69,clean,rope_property,240,3,0.07523112535528245,0.07784130299462488
holdout,nearest_centroid,0.3333333333333333,0.33495213834979626,512,motif_jitter_position,69,clean,ckmer5_count_l2,240,3,,
holdout,logistic,0.2916666666666667,0.2932461873638344,512,motif_jitter_position,69,clean,ckmer5_count_l2,240,3,,
5fold_cv,nearest_centroid,0.29583333333333334,0.2949062632019185,512,motif_jitter_position,69,clean,ckmer5_count_l2,240,3,0.0868027777333319,0.08877574837503849
5fold_cv,logistic,0.32916666666666666,0.3230511362324488,512,motif_jitter_position,69,clean,ckmer5_count_l2,240,3,0.04039733214513607,0.036572266605079604
holdout,nearest_centroid,0.7361111111111112,0.7358212560386473,1040,motif_jitter_position,69,clean,kmer_property,240,3,,
holdout,logistic,0.7083333333333334,0.705420276637787,1040,motif_jitter_position,69,clean,kmer_property,240,3,,
5fold_cv,nearest_centroid,0.5708333333333333,0.5649989349898605,1040,motif_jitter_position,69,clean,kmer_property,240,3,0.02124591463996994,0.026687545414700246
5fold_cv,logistic,0.5916666666666667,0.585579770329102,1040,motif_jitter_position,69,clean,kmer_property,240,3,0.0408248290463863,0.052233091653513655
holdout,nearest_centroid,0.3194444444444444,0.31453225169385957,222,motif_jitter_position,69,N_3pct,ckmer4_property_multiscale_mean_l2,240,3,,
holdout,logistic,0.375,0.37567987567987565,222,motif_jitter_position,69,N_3pct,ckmer4_property_multiscale_mean_l2,240,3,,
5fold_cv,nearest_centroid,0.3375,0.331648850175166,222,motif_jitter_position,69,N_3pct,ckmer4_property_multiscale_mean_l2,240,3,0.07021791477646964,0.07708396712231143
5fold_cv,logistic,0.35833333333333334,0.3543157412114423,222,motif_jitter_position,69,N_3pct,ckmer4_property_multiscale_mean_l2,240,3,0.04448782605013046,0.045321615193435805
holdout,nearest_centroid,0.5555555555555556,0.5506172839506173,345,motif_jitter_position,69,N_3pct,one_hot,240,3,,
holdout,logistic,0.5277777777777778,0.5245223654050599,345,motif_jitter_position,69,N_3pct,one_hot,240,3,,
5fold_cv,nearest_centroid,0.55,0.547411207052257,345,motif_jitter_position,69,N_3pct,one_hot,240,3,0.056825757070774405,0.05261603116943701
5fold_cv,logistic,0.5541666666666666,0.5492949820408514,345,motif_jitter_position,69,N_3pct,one_hot,240,3,0.05833333333333332,0.06040715532321646
holdout,nearest_centroid,0.5416666666666666,0.5303176906950492,345,motif_jitter_position,69,N_3pct,property_channels,240,3,,
holdout,logistic,0.5555555555555556,0.5499999999999999,345,motif_jitter_position,69,N_3pct,property_channels,240,3,,
5fold_cv,nearest_centroid,0.525,0.5254744177463866,345,motif_jitter_position,69,N_3pct,property_channels,240,3,0.04823265376162594,0.05004616132305023
5fold_cv,logistic,0.5125,0.5068820039068027,345,motif_jitter_position,69,N_3pct,property_channels,240,3,0.02825970826302193,0.030027669785675247
holdout,nearest_centroid,0.5555555555555556,0.5527317845377144,690,motif_jitter_position,69,N_3pct,base_property,240,3,,
holdout,logistic,0.5277777777777778,0.5215682662491173,690,motif_jitter_position,69,N_3pct,base_property,240,3,,
5fold_cv,nearest_centroid,0.5458333333333333,0.5431807677591555,690,motif_jitter_position,69,N_3pct,base_property,240,3,0.04448782605013045,0.042456011009857984
5fold_cv,logistic,0.5458333333333334,0.5393276754981539,690,motif_jitter_position,69,N_3pct,base_property,240,3,0.044487826050130456,0.047107116849423855
holdout,nearest_centroid,0.5555555555555556,0.5510457803130028,1104,motif_jitter_position,69,N_3pct,rope_onehot,240,3,,
holdout,logistic,0.5555555555555556,0.5571390338552121,1104,motif_jitter_position,69,N_3pct,rope_onehot,240,3,,
5fold_cv,nearest_centroid,0.5208333333333333,0.5183378584296271,1104,motif_jitter_position,69,N_3pct,rope_onehot,240,3,0.08640183897219883,0.0829425581003731
5fold_cv,logistic,0.575,0.5730620584222625,1104,motif_jitter_position,69,N_3pct,rope_onehot,240,3,0.07523112535528244,0.07527928496239712
holdout,nearest_centroid,0.5555555555555556,0.5506319448262381,1104,motif_jitter_position,69,N_3pct,rope_property,240,3,,
holdout,logistic,0.5833333333333334,0.5826478188174495,1104,motif_jitter_position,69,N_3pct,rope_property,240,3,,
5fold_cv,nearest_centroid,0.5541666666666667,0.5523705002800512,1104,motif_jitter_position,69,N_3pct,rope_property,240,3,0.04677071733467426,0.04391871675700021
5fold_cv,logistic,0.5708333333333333,0.5689901057392716,1104,motif_jitter_position,69,N_3pct,rope_property,240,3,0.06263873490988713,0.06386186650451924
holdout,nearest_centroid,0.2916666666666667,0.2919254658385093,512,motif_jitter_position,69,N_3pct,ckmer5_count_l2,240,3,,
holdout,logistic,0.2638888888888889,0.2664356285149719,512,motif_jitter_position,69,N_3pct,ckmer5_count_l2,240,3,,
5fold_cv,nearest_centroid,0.3541666666666667,0.3556390873398333,512,motif_jitter_position,69,N_3pct,ckmer5_count_l2,240,3,0.06038073644245599,0.06509589654110289
5fold_cv,logistic,0.32083333333333336,0.3192066212598831,512,motif_jitter_position,69,N_3pct,ckmer5_count_l2,240,3,0.050346024889977394,0.04705531332456118
holdout,nearest_centroid,0.6944444444444444,0.6901778385772914,1040,motif_jitter_position,69,N_3pct,kmer_property,240,3,,
holdout,logistic,0.6805555555555556,0.6771059431524549,1040,motif_jitter_position,69,N_3pct,kmer_property,240,3,,
5fold_cv,nearest_centroid,0.6000000000000001,0.5953722423172139,1040,motif_jitter_position,69,N_3pct,kmer_property,240,3,0.03818813079129868,0.03932243641606877
5fold_cv,logistic,0.5791666666666667,0.5746574882696958,1040,motif_jitter_position,69,N_3pct,kmer_property,240,3,0.04249182927993987,0.04853764143786134
holdout,nearest_centroid,0.3472222222222222,0.34306449852668336,222,motif_jitter_position,100,clean,ckmer4_property_multiscale_mean_l2,240,3,,
holdout,logistic,0.375,0.3682972661696066,222,motif_jitter_position,100,clean,ckmer4_property_multiscale_mean_l2,240,3,,
5fold_cv,nearest_centroid,0.35000000000000003,0.34462018503228775,222,motif_jitter_position,100,clean,ckmer4_property_multiscale_mean_l2,240,3,0.033333333333333326,0.040032176924891714
5fold_cv,logistic,0.4541666666666666,0.4520449467300544,222,motif_jitter_position,100,clean,ckmer4_property_multiscale_mean_l2,240,3,0.0664057393771218,0.06290372107765262
holdout,nearest_centroid,0.4722222222222222,0.46840275868809594,500,motif_jitter_position,100,clean,one_hot,240,3,,
holdout,logistic,0.4861111111111111,0.4836690669340382,500,motif_jitter_position,100,clean,one_hot,240,3,,
5fold_cv,nearest_centroid,0.5666666666666667,0.5629349395181313,500,motif_jitter_position,100,clean,one_hot,240,3,0.035843021946010946,0.035487058576272705
5fold_cv,logistic,0.5041666666666667,0.49913289502244557,500,motif_jitter_position,100,clean,one_hot,240,3,0.0306186217847897,0.031739004183480336
holdout,nearest_centroid,0.3888888888888889,0.38871399623679254,500,motif_jitter_position,100,clean,property_channels,240,3,,
holdout,logistic,0.3888888888888889,0.38817838246409675,500,motif_jitter_position,100,clean,property_channels,240,3,,
5fold_cv,nearest_centroid,0.5458333333333334,0.5436629269018198,500,motif_jitter_position,100,clean,property_channels,240,3,0.06095307849303249,0.06311286788789873
5fold_cv,logistic,0.5458333333333333,0.5443362289037221,500,motif_jitter_position,100,clean,property_channels,240,3,0.048232653761625936,0.04732371476224775
holdout,nearest_centroid,0.4722222222222222,0.4710655328880941,1000,motif_jitter_position,100,clean,base_property,240,3,,
holdout,logistic,0.4305555555555556,0.42975451049985214,1000,motif_jitter_position,100,clean,base_property,240,3,,
5fold_cv,nearest_centroid,0.55,0.546217997559254,1000,motif_jitter_position,100,clean,base_property,240,3,0.03385016001931651,0.036481002738863705
5fold_cv,logistic,0.5416666666666667,0.5414176543719174,1000,motif_jitter_position,100,clean,base_property,240,3,0.03952847075210474,0.040402564620875006
holdout,nearest_centroid,0.4166666666666667,0.4124779541446208,1600,motif_jitter_position,100,clean,rope_onehot,240,3,,
