representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ckmer4_property_l2,mlp,160,2,147,0.7291666666666666,0.7281045751633988,target_background,69,substitution_1pct,target_binary
ckmer4_property_multiscale_mean_l2,nearest_centroid,160,2,222,0.7708333333333334,0.7699346405228757,target_background,69,substitution_1pct,target_binary
ckmer4_property_multiscale_mean_l2,logistic,160,2,222,0.875,0.8747826086956522,target_background,69,substitution_1pct,target_binary
ckmer4_property_multiscale_mean_l2,mlp,160,2,222,0.75,0.7495652173913043,target_background,69,substitution_1pct,target_binary
ckmer4_property_multiscale_l2,nearest_centroid,160,2,297,0.7708333333333334,0.7699346405228757,target_background,69,substitution_1pct,target_binary
ckmer4_property_multiscale_l2,logistic,160,2,297,0.8958333333333334,0.8957881024750325,target_background,69,substitution_1pct,target_binary
ckmer4_property_multiscale_l2,mlp,160,2,297,0.7708333333333334,0.7707338254450716,target_background,69,substitution_1pct,target_binary
ckmer4_property_moment_l2,nearest_centroid,160,2,187,0.7916666666666666,0.791304347826087,target_background,69,substitution_1pct,target_binary
ckmer4_property_moment_l2,logistic,160,2,187,0.7916666666666666,0.791304347826087,target_background,69,substitution_1pct,target_binary
ckmer4_property_moment_l2,mlp,160,2,187,0.6458333333333334,0.6444444444444444,target_background,69,substitution_1pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.7916666666666666,0.7883597883597884,target_background,69,substitution_1pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.8125,0.8104431768319438,target_background,69,substitution_1pct,target_binary
ckmer5_count_l2,mlp,160,2,512,0.7291666666666666,0.7141548327989007,target_background,69,substitution_1pct,target_binary
ckmer5_property_multiscale_l2,nearest_centroid,160,2,672,0.8125,0.8104431768319438,target_background,69,substitution_1pct,target_binary
ckmer5_property_multiscale_l2,logistic,160,2,672,0.8333333333333334,0.8321678321678322,target_background,69,substitution_1pct,target_binary
ckmer5_property_multiscale_l2,mlp,160,2,672,0.7708333333333334,0.7707338254450716,target_background,69,substitution_1pct,target_binary
cspaced_property_l2,nearest_centroid,160,2,147,0.7916666666666666,0.7902097902097902,target_background,69,substitution_1pct,target_binary
cspaced_property_l2,logistic,160,2,147,0.7916666666666666,0.7916666666666666,target_background,69,substitution_1pct,target_binary
cspaced_property_l2,mlp,160,2,147,0.5208333333333334,0.46897546897546893,target_background,69,substitution_1pct,target_binary
ckmer4_count_l2,nearest_centroid,2252,30,136,0.3091715976331361,0.28977362526975164,label_probe,75,clean,label
ckmer4_count_l2,logistic,2252,30,136,0.24260355029585798,0.23363240303273758,label_probe,75,clean,label
ckmer4_count_l2,mlp,2252,30,136,0.23520710059171598,0.2160300652834644,label_probe,75,clean,label
ckmer4_property_l2,nearest_centroid,2252,30,147,0.3180473372781065,0.30034088120111385,label_probe,75,clean,label
ckmer4_property_l2,logistic,2252,30,147,0.2470414201183432,0.23727309665342233,label_probe,75,clean,label
ckmer4_property_l2,mlp,2252,30,147,0.2514792899408284,0.23720268115100837,label_probe,75,clean,label
ckmer4_property_multiscale_mean_l2,nearest_centroid,2252,30,222,0.3210059171597633,0.3045348296981128,label_probe,75,clean,label
ckmer4_property_multiscale_mean_l2,logistic,2252,30,222,0.23964497041420119,0.23201515988728263,label_probe,75,clean,label
ckmer4_property_multiscale_mean_l2,mlp,2252,30,222,0.2440828402366864,0.21850644590719961,label_probe,75,clean,label
ckmer4_property_multiscale_l2,nearest_centroid,2252,30,297,0.3180473372781065,0.30156607245118316,label_probe,75,clean,label
ckmer4_property_multiscale_l2,logistic,2252,30,297,0.2485207100591716,0.23681304053604704,label_probe,75,clean,label
ckmer4_property_multiscale_l2,mlp,2252,30,297,0.2440828402366864,0.2267764435411659,label_probe,75,clean,label
ckmer4_property_moment_l2,nearest_centroid,2252,30,187,0.31952662721893493,0.30392555740777044,label_probe,75,clean,label
ckmer4_property_moment_l2,logistic,2252,30,187,0.2529585798816568,0.24515194242290544,label_probe,75,clean,label
ckmer4_property_moment_l2,mlp,2252,30,187,0.2559171597633136,0.23958878333918976,label_probe,75,clean,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.3062130177514793,0.28779975218956505,label_probe,75,clean,label
ckmer5_count_l2,logistic,2252,30,512,0.2485207100591716,0.23645129626563405,label_probe,75,clean,label
ckmer5_count_l2,mlp,2252,30,512,0.20857988165680474,0.19160552477556042,label_probe,75,clean,label
ckmer5_property_multiscale_l2,nearest_centroid,2252,30,673,0.3210059171597633,0.30066533334956974,label_probe,75,clean,label
ckmer5_property_multiscale_l2,logistic,2252,30,673,0.2514792899408284,0.23951860823580892,label_probe,75,clean,label
ckmer5_property_multiscale_l2,mlp,2252,30,673,0.21745562130177515,0.21011911344208825,label_probe,75,clean,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.17455621301775148,0.1589858005710169,label_probe,75,clean,label
cspaced_property_l2,logistic,2252,30,147,0.11982248520710059,0.11219545217671589,label_probe,75,clean,label
cspaced_property_l2,mlp,2252,30,147,0.14940828402366865,0.14125749067941487,label_probe,75,clean,label
ckmer4_count_l2,nearest_centroid,160,2,136,0.75,0.7428571428571429,target_background,75,clean,target_binary
ckmer4_count_l2,logistic,160,2,136,0.7708333333333334,0.7658536585365854,target_background,75,clean,target_binary
ckmer4_count_l2,mlp,160,2,136,0.7708333333333334,0.7699346405228757,target_background,75,clean,target_binary
ckmer4_property_l2,nearest_centroid,160,2,147,0.7708333333333334,0.7658536585365854,target_background,75,clean,target_binary
ckmer4_property_l2,logistic,160,2,147,0.75,0.746031746031746,target_background,75,clean,target_binary
ckmer4_property_l2,mlp,160,2,147,0.6875,0.6873643074250977,target_background,75,clean,target_binary
ckmer4_property_multiscale_mean_l2,nearest_centroid,160,2,222,0.7708333333333334,0.7658536585365854,target_background,75,clean,target_binary
ckmer4_property_multiscale_mean_l2,logistic,160,2,222,0.7708333333333334,0.7699346405228757,target_background,75,clean,target_binary
ckmer4_property_multiscale_mean_l2,mlp,160,2,222,0.7708333333333334,0.7658536585365854,target_background,75,clean,target_binary
