split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std,mutation_fraction
5fold_grouped_cv,nearest_centroid,0.513888888888889,0.510790078256441,100,right,ck4,360,136,0.051219691429404954,0.05209001687816144,0.01
5fold_grouped_cv,logistic,0.5777777777777777,0.571995783361593,100,right,ck4,360,136,0.042673031932603404,0.04346486510404666,0.01
holdout,nearest_centroid,0.5083333333333333,0.5080258494892642,100,right,ck4_p,360,147,,,0.01
holdout,logistic,0.7,0.699666295884316,100,right,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.5222222222222223,0.5198049161817277,100,right,ck4_p,360,147,0.04859126579037753,0.04892198647290466,0.01
5fold_grouped_cv,logistic,0.7777777777777779,0.776539072095659,100,right,ck4_p,360,147,0.038289024311361726,0.03856318969616764,0.01
holdout,nearest_centroid,0.525,0.5247029393370857,100,right,ck4_msp,360,211,,,0.01
holdout,logistic,0.9583333333333334,0.9582608695652174,100,right,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.5666666666666667,0.5648097478039114,100,right,ck4_msp,360,211,0.04427049291808117,0.0453938129430035,0.01
5fold_grouped_cv,logistic,0.9805555555555557,0.9805195480103148,100,right,ck4_msp,360,211,0.018839805508681317,0.018905275876668428,0.01
holdout,nearest_centroid,0.525,0.5247029393370857,100,right,ck4p_msp,360,222,,,0.01
holdout,logistic,0.95,0.949874686716792,100,right,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.5666666666666667,0.5648097478039114,100,right,ck4p_msp,360,222,0.04427049291808117,0.0453938129430035,0.01
5fold_grouped_cv,logistic,0.9833333333333332,0.9832978617282387,100,right,ck4p_msp,360,222,0.02041241452319316,0.02047781500234627,0.01
holdout,nearest_centroid,0.7583333333333333,0.7583165497604001,150,center,ck4,360,136,,,0.01
holdout,logistic,0.7333333333333333,0.7332592386774104,150,center,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.8027777777777778,0.8021224195095922,150,center,ck4,360,136,0.04249182927993988,0.042630972522728225,0.01
5fold_grouped_cv,logistic,0.7833333333333334,0.7821595520366074,150,center,ck4,360,136,0.05800170282728082,0.05850616299584795,0.01
holdout,nearest_centroid,0.7583333333333333,0.7583165497604001,150,center,ck4_p,360,147,,,0.01
holdout,logistic,0.75,0.75,150,center,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.8027777777777778,0.8021224195095922,150,center,ck4_p,360,147,0.04249182927993988,0.042630972522728225,0.01
5fold_grouped_cv,logistic,0.7805555555555556,0.7797634940918522,150,center,ck4_p,360,147,0.03333333333333334,0.03295762338888054,0.01
holdout,nearest_centroid,0.7833333333333333,0.7833333333333333,150,center,ck4_msp,360,211,,,0.01
holdout,logistic,0.9916666666666667,0.9916660879227724,150,center,ck4_msp,360,211,,,0.01
