length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets,mutation_fraction
100,left,ck4_p,0.152128045717,0.15624884616197546,0.004120800444975439,0.0017158650397740016,0.006604536049054074,1.0435305585147723,1.0209675972614094,1.0713246053830872,0.9882851275908111,0.9877510631978276,147,0.5371504157218443,78.96111111111111,180,0.01
100,left,ck4_msp,0.1522883196849479,0.15648082593749632,0.004192506252548387,0.0017884469421949024,0.006675531236279614,1.0438456237369886,1.0214380430211272,1.0714051573777634,0.9882611728426519,0.9877148979206449,211,0.6111901000526593,128.9611111111111,180,0.01
100,left,ck4p_msp,0.12436378521265594,0.1277964571814317,0.0034326719687757527,0.001468824735376344,0.005459711924876373,1.0438998942148385,1.0215139484823192,1.0714264888392009,0.9921715566717637,0.9918060582712614,222,0.625950950950951,138.9611111111111,180,0.01
100,right,ck4,0.21148568537487805,0.2180256595647085,0.0065399741898304565,0.0022113188138326743,0.011765974913635678,1159862920.560413,1.0259314813343383,3479588759.6012278,0.9771931492766252,0.9761153580817657,136,0.5025871459694989,68.35185185185185,180,0.01
100,right,ck4_p,0.14958162587958468,0.15420548093808095,0.0046238550584962726,0.00157548710517421,0.0082934178885861,1.390091804741994,1.0259997748081937,2.0901353864117973,0.9885927812264003,0.9880518373906954,147,0.5330057949105568,78.35185185185185,180,0.01
100,right,ck4_msp,0.14975531222780392,0.15443778020761537,0.004682467979811454,0.0016582286381723113,0.008347213289397996,1.1883928913154216,1.0263854235895864,1.484198082434678,0.9885696483857004,0.988016160449369,211,0.6083026154116201,128.35185185185185,180,0.01
100,right,ck4p_msp,0.12229767028977853,0.1261289385492305,0.0038312682594519466,0.0013637993549429305,0.006823610334253657,1.177259463431364,1.0264534826038791,1.4506691012941884,0.9923772366491922,0.9920068791994543,222,0.6232065398732065,138.35185185185185,180,0.01
150,center,ck4,0.2228687406900927,0.17730668131612198,-0.04556205937397072,-0.05014557663470722,-0.04092351194739049,0.8052919390916103,0.7846813722279626,0.82363165775346,0.9749009889859088,0.9840133516411512,136,0.6554193899782135,89.13703703703703,180,0.01
150,center,ck4_p,0.15761427826677388,0.12544731050293795,-0.032166967763835944,-0.03539052180622307,-0.028920125161641073,0.8056279601688954,0.7851110405008517,0.8239611840037225,0.9874470420471713,0.9920018401157112,147,0.6744016124968506,99.13703703703703,180,0.01
150,center,ck4_msp,0.15776001971603004,0.12577323858162565,-0.03198678113440442,-0.03517171585468484,-0.028790075734596528,0.8069046839016872,0.7868867837676572,0.8251795402641819,0.9874244253362248,0.991968680699621,211,0.7068106020712656,149.13703703703703,180,0.01
